candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_return_neutral_3pct,policy_return_tiered,policy_uplift_vs_sell_50_neutral_3pct,avg_hold_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
live_production_ensemble,live_ensemble,ensemble,VOO,13,,0.02947636698533833,0.03077597541836657,0.01867936623087898,0.0048456122442700885,0.6157407407407407,108,0.08404546190707556,0.4537037037037037,0.19762661115492192,-1.4652626294530915,0.08404546190707556,0.5517265618162276,
ridge_lean_v1,model,ridge,VOO,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.04232026291612196,0.041233821350506156,0.024287647936417973,0.015303458176409667,0.6574074074074074,108,0.32848419026932274,0.5740740740740741,0.15378816281765198,-0.45340948172318973,0.32848419026932274,0.004486403903089164,
gbt_lean_plus_two,model,gbt,VOO,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.0457970214204665,0.04625701318089192,0.02447179374245637,0.020326650006795434,0.8333333333333334,108,0.11275401816443709,0.5925925925925926,0.1393427882422982,-0.19087942493517973,0.11275401816443709,0.3750194717448066,
elasticnet_lean_v1,model,elasticnet,VOO,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.022800775220663684,0.021459454678635463,0.016629705731224874,-0.004470908495461019,0.5601851851851852,108,0.15203209308066243,0.42592592592592593,0.18252909291683594,-1.0782531909306736,0.15203209308066243,0.3551331482324946,
ensemble_ridge_gbt,ensemble,ridge+gbt,VOO,26,"ridge_lean_v1,gbt_lean_plus_two",0.04473470675861518,0.04489114773513664,0.024175872457761968,0.018960784561040164,0.7083333333333334,108,0.26184419865291,0.6018518518518519,0.13541605306741103,-0.13831597140777707,0.26184419865291,0.02758041001353666,
baseline_historical_mean,baseline,baseline,VOO,0,,0.017055814216141222,0.019484042540006533,0.006665364977103103,-0.006446320634089951,0.6944444444444444,108,-0.31313990675372155,0.4166666666666667,0.1661429675649001,-0.5115917712132123,-0.31313990675372155,0.03137841234964962,historical_mean
live_production_ensemble,live_ensemble,ensemble,VXUS,13,,0.06602688042461373,0.06168142315562837,0.024225340808369872,0.02238418700514901,0.7777777777777778,108,0.062457724808749414,0.6203703703703703,0.16441987733544666,-0.2909064633165275,0.062457724808749414,0.7135174761275459,
ridge_lean_v1,model,ridge,VXUS,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.08464142323787795,0.08382644066065545,0.050131885505100046,0.04452920451017608,0.7268518518518519,108,0.41492087989558624,0.7037037037037037,0.1431198192577981,-0.026757702810232153,0.41492087989558624,0.0268279882978242,
gbt_lean_plus_two,model,gbt,VXUS,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.07956515744916165,0.07679098471093827,0.03991527591550308,0.03749374856045891,0.8981481481481481,108,0.21319811463822066,0.7037037037037037,0.14281684217800727,-0.053915284640039474,0.21319811463822066,0.12719517638902858,
elasticnet_lean_v1,model,elasticnet,VXUS,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.08788178127713653,0.08197019059181523,0.04563590913293062,0.04267295444133586,0.8703703703703703,108,0.18591508753466218,0.7407407407407407,0.14377211196514111,-0.04395174183287898,0.18591508753466218,0.2125945051522118,
ensemble_ridge_gbt,ensemble,ridge+gbt,VXUS,26,"ridge_lean_v1,gbt_lean_plus_two",0.07496101922918978,0.0783502482767539,0.04662645547353459,0.039053012126274524,0.7916666666666666,108,0.3406594453494908,0.6481481481481481,0.13796831731471357,0.1127162949862609,0.3406594453494908,0.035802475166949954,
baseline_historical_mean,baseline,baseline,VXUS,0,,0.07859447230095874,0.07859447230095874,0.03929723615047937,0.03929723615047937,1.0,108,-0.3761686155902567,0.7037037037037037,0.14765615964826645,-0.11278975223046794,-0.3761686155902567,0.01761210420579981,historical_mean
live_production_ensemble,live_ensemble,ensemble,VWO,13,,0.058509328478906546,0.061276679238200016,0.02934108576954768,0.02113630715219992,0.7155172413793104,174,0.10817733990147782,0.5459770114942529,0.15295784912488244,-0.3025672535513717,0.10817733990147782,0.3871571405893921,
