candidate_name,operation,feature,n_features,mean_policy_return_neutral_3pct,mean_oos_r2,diversification_aware_utility
ridge_lean_v1,add,high_52w,13,0.07015615622163651,-0.20470187241513502,0.07084110917696879
ridge_lean_v1,add,investment_book_yield,13,0.07212432622942494,-51837.91287736165,0.07261861501632268
ridge_lean_v1,add,buyback_yield,13,0.071951345126362,-22.040812271908145,0.07240034174182543
ridge_lean_v1,drop,mom_3m,12,0.07067141671628721,-0.6474362129999187,0.07114560038593064
ridge_lean_v1,drop,mom_6m,12,0.07067141671628721,-0.6474362129999187,0.07114560038593064
ridge_lean_v1,drop,vmt_yoy,12,0.07067141671628721,-0.6474362129999187,0.07114560038593064
gbt_lean_plus_two,add,underwriting_income_growth_yoy,14,0.07015615622163651,-0.20470187241513502,0.07084110917696879
gbt_lean_plus_two,add,investment_income_growth_yoy,14,0.07015615622163651,-0.20470187241513502,0.07084110917696879
gbt_lean_plus_two,add,buyback_yield,14,0.07015615622163651,-0.20470187241513502,0.07084110917696879
gbt_lean_plus_two,drop,vmt_yoy,12,0.07015615622163651,-0.20470187241513502,0.07084110917696879
gbt_lean_plus_two,drop,vol_63d,12,0.07015615622163651,-0.20470187241513502,0.07084110917696879
