candidate_name,candidate_type,model_type,n_benchmarks,n_features,mean_ic,mean_hit_rate,mean_oos_r2,mean_mae,mean_policy_return_sign,mean_policy_return_neutral_3pct,mean_policy_return_tiered,mean_policy_uplift_vs_sell_50_neutral_3pct,mean_avg_hold_neutral_3pct,weighted_policy_return,contextual_penalty,diversification_aware_utility,mean_diversification_score,gate_status
ridge_lean_v1,model,ridge,8,12,0.2732250280641005,0.649967159277504,-0.6474362129999187,0.16520452911613076,0.07196645370878535,0.07067141671628721,0.03770307539798012,0.03013899413762563,0.7145092136471447,0.07114560038593064,0.0,0.07114560038593064,0.4585199670345559,FAIL
baseline_historical_mean,baseline,baseline,8,0,-0.14237015009642612,0.6373530149607736,-0.20470187241513502,0.1503402438180013,0.07038680020763428,0.07015615622163651,0.03189472456627467,0.029623733642974936,0.8724213191023535,0.07084110917696879,0.0,0.07084110917696879,0.4585199670345559,FAIL
live_production_ensemble,live_ensemble,ensemble,8,13,0.10348537088458805,0.5939051952198504,-0.7285316133753885,0.17462835449531855,0.06382084713331992,0.06291418113050079,0.030125077109286656,0.022381758551839208,0.7152316525269111,0.06339584830420773,0.0,0.06339584830420773,0.4585199670345559,FAIL
