slice_name,path_name,review_months,mean_predicted,mean_ic,mean_hit_rate,mean_aggregate_oos_r2,mean_sell_pct,signal_changes,mode_changes,signal_agreement_with_shadow_rate,mode_agreement_with_shadow_rate,sell_agreement_with_shadow_rate,signal_agreement_with_live_rate,mode_agreement_with_live_rate,sell_agreement_with_live_rate,outperform_rate,neutral_rate,underperform_rate
full_history,shadow_baseline,108,0.09104204919196712,0.006112551800283931,0.635665322214254,-0.28228114386161,0.5,0,0,1.0,1.0,1.0,0.6296296296296297,1.0,1.0,1.0,0.0,0.0
full_history,ensemble_ridge_gbt_v18,108,0.09079370645109125,0.1434297389326662,0.7257681945568015,-0.3610418543846784,0.5,15,0,0.8425925925925926,1.0,1.0,0.7314814814814815,1.0,1.0,0.8425925925925926,0.08333333333333333,0.07407407407407407
full_history,ensemble_ridge_gbt_v16,108,0.0847183395527721,0.14088449691118013,0.7217340658001674,-0.3451624045161409,0.5,13,0,0.8055555555555556,1.0,1.0,0.8240740740740741,1.0,1.0,0.8055555555555556,0.12037037037037036,0.07407407407407407
full_history,ensemble_ridge_gbt_v20_best,108,0.08148611932773078,0.09710127551066076,0.7030497049180455,-0.3776198530846126,0.5,17,0,0.7870370370370371,1.0,1.0,0.7222222222222222,1.0,1.0,0.7870370370370371,0.1388888888888889,0.07407407407407407
full_history,ensemble_ridge_gbt_v20_value,108,0.07856866696689845,0.12999350284927358,0.7135086168602347,-0.377407414767528,0.5,19,0,0.75,1.0,1.0,0.8148148148148148,1.0,1.0,0.75,0.17592592592592593,0.07407407407407407
full_history,live_production_ensemble_reduced,108,0.0681784715768973,0.14794970505767122,0.6206366651569775,-0.6639564913706502,0.5,16,0,0.6296296296296297,1.0,1.0,1.0,1.0,1.0,0.6296296296296297,0.25,0.12037037037037036
pre_2020,shadow_baseline,39,0.0800319982437517,0.14852294955354084,0.6235633885865526,-0.3715621664688855,0.5,0,0,1.0,1.0,1.0,0.41025641025641024,1.0,1.0,1.0,0.0,0.0
pre_2020,ensemble_ridge_gbt_v18,39,0.09188027164119693,0.12669376922566278,0.7469308707918308,-0.5393910587954204,0.5,4,0,0.9230769230769231,1.0,1.0,0.48717948717948717,1.0,1.0,0.9230769230769231,0.07692307692307693,0.0
pre_2020,ensemble_ridge_gbt_v20_best,39,0.08585456171276683,0.03233202633319535,0.7253221196791986,-0.5647192661622294,0.5,4,0,0.8974358974358975,1.0,1.0,0.4358974358974359,1.0,1.0,0.8974358974358975,0.10256410256410256,0.0
pre_2020,ensemble_ridge_gbt_v16,39,0.07132980879461931,0.1280039813925447,0.7438704151966703,-0.48937758690990296,0.5,6,0,0.8205128205128205,1.0,1.0,0.5897435897435898,1.0,1.0,0.8205128205128205,0.1794871794871795,0.0
pre_2020,ensemble_ridge_gbt_v20_value,39,0.06947693878691677,0.07570401798410988,0.7351647201137933,-0.5500261901349526,0.5,8,0,0.717948717948718,1.0,1.0,0.6153846153846154,1.0,1.0,0.717948717948718,0.28205128205128205,0.0
pre_2020,live_production_ensemble_reduced,39,0.03204280574094185,0.23775610352900392,0.6097829576891832,-0.7785947073120228,0.5,10,0,0.41025641025641024,1.0,1.0,1.0,1.0,1.0,0.41025641025641024,0.46153846153846156,0.1282051282051282
post_2020,shadow_baseline,69,0.09726512146704534,-0.07438028171242651,0.6425055455690419,-0.23181795717054127,0.5,0,0,1.0,1.0,1.0,0.7536231884057971,1.0,1.0,1.0,0.0,0.0
post_2020,ensemble_ridge_gbt_v18,69,0.0901795609088576,0.15288920007140722,0.7138066819022196,-0.2602357823264331,0.5,11,0,0.7971014492753623,1.0,1.0,0.8695652173913043,1.0,1.0,0.7971014492753623,0.08695652173913043,0.11594202898550725
post_2020,ensemble_ridge_gbt_v16,69,0.09228576998129322,0.14816478829127838,0.7092222161412745,-0.26364947533705796,0.5,7,0,0.7971014492753623,1.0,1.0,0.9565217391304348,1.0,1.0,0.7971014492753623,0.08695652173913043,0.11594202898550725
post_2020,ensemble_ridge_gbt_v20_value,69,0.08370746985123592,0.16067886386001828,0.7012682106734408,-0.2798402808642012,0.5,11,0,0.7681159420289855,1.0,1.0,0.927536231884058,1.0,1.0,0.7681159420289855,0.11594202898550725,0.11594202898550725
