report_period,filing_date,filing_type,accession_number,net_premiums_written,net_premiums_earned,combined_ratio,avg_diluted_equivalent_shares,investment_income,total_net_realized_gains,service_revenues,fees_and_other_revenues,total_revenues,losses_lae,policy_acquisition_costs,other_underwriting_expenses,interest_expense,total_expenses,income_before_income_taxes,provision_for_income_taxes,net_income,total_comprehensive_income,eps_basic,eps_diluted,comprehensive_eps_diluted,avg_shares_basic,avg_shares_diluted,loss_lae_ratio,expense_ratio,pif_agency_auto,pif_direct_auto,pif_special_lines,pif_property,pif_total_personal_lines,pif_commercial_lines,pif_total,npw_agency,npw_direct,npw_property,npw_commercial,npe_agency,npe_direct,npe_property,npe_commercial,total_investments,total_assets,loss_lae_reserves,unearned_premiums,debt,total_liabilities,shareholders_equity,common_shares_outstanding,shares_repurchased,avg_cost_per_share,book_value_per_share,roe_net_income_trailing_12m,roe_comprehensive_trailing_12m,debt_to_total_capital,fixed_income_duration,fte_return_fixed_income,fte_return_common_stocks,fte_return_total_portfolio,investment_book_yield,net_unrealized_gains_fixed,weighted_avg_credit_quality
2016-10,2016-11-16,monthly_results,0000080661-16-000131,2259.2,2232.2,97.1,583.4,38.1,5.2,9.4,32.8,2317.7,1756.7,183.9,260.7,12.4,2224.3,93.4,27.5,70.7,1.4,0.12,0.12,0.0,580.2,583.4,78.6,18.5,5022.7,5352.5,4282.3,1188.2,14657.5,613.1,15270.6,1004.6,931.5,74.4,248.7,970.7,936.3,76.3,248.9,23925.3,34155.5,11508.6,7827.2,3152.0,25606.4,8082.7,580.3,0.5,31.91,13.93,12.4,13.3,28.1,1.9,,,,,1517.1,A+
2016-11,2016-12-14,monthly_results,0000080661-16-000133,1683.3,1813.7,90.9,582.8,42.6,38.7,7.9,26.1,1929.0,1300.0,152.2,222.2,12.4,1697.1,231.9,74.6,150.6,76.5,0.26,0.26,0.13,579.5,582.8,71.7,19.2,5041.6,5359.9,4271.3,1194.6,14672.8,610.6,15283.4,751.7,707.6,69.0,155.0,784.8,754.6,73.5,200.8,23705.4,33767.8,11393.1,7690.9,3150.1,25147.6,8149.8,579.9,0.4,31.28,14.05,13.1,13.4,27.9,2.1,,,,,1395.8,A+
2016-12,2017-01-25,quarterly_earnings,0000080661-17-000004,1609.0,1825.5,88.9,582.9,45.5,21.8,8.3,25.4,1882.9,1268.3,153.1,226.9,12.3,1670.7,212.2,37.3,161.9,195.4,0.28,0.28,0.34,579.5,582.9,69.5,19.4,5045.4,5348.3,4263.1,1201.9,14656.8,607.9,15264.7,722.9,671.2,75.8,139.1,790.7,758.9,76.7,199.2,23482.6,33427.5,11368.0,7468.3,3148.2,24986.7,7957.1,579.9,0.0,0.0,13.72,13.2,14.9,28.3,2.2,,,,,1449.1,A+
2017-01,2017-02-15,monthly_results,0000080661-17-000007,2241.9,2279.1,89.7,582.6,40.1,9.4,9.5,31.0,2369.1,1569.9,189.3,316.6,12.4,2099.2,269.9,85.6,182.1,244.7,0.31,0.31,0.42,580.3,582.6,68.9,20.8,5085.7,5402.9,4226.3,1243.7,14714.9,605.4,15320.3,966.5,979.0,61.3,235.1,996.3,956.9,77.2,248.7,24151.6,34030.2,11356.4,7424.3,3146.3,25355.3,8188.3,580.8,0.5,35.53,14.1,14.2,17.4,27.8,2.3,,,,,1546.4,A+
2017-02,2017-03-17,monthly_results,0000080661-17-000014,2201.3,1854.8,90.4,583.2,43.8,2.4,8.6,26.7,1936.5,1296.7,154.8,252.1,12.3,1724.9,211.6,72.2,134.5,231.7,0.23,0.23,0.4,580.3,583.2,69.9,20.5,5161.2,5493.3,4241.3,1252.7,14895.8,605.1,15500.9,961.2,968.9,69.2,202.0,809.4,777.4,70.3,197.7,24029.7,34143.4,11424.3,7770.5,3118.2,25233.0,8418.2,580.9,0.06,38.43,14.49,14.5,19.3,27.0,2.3,,,,,1696.8,A+
2017-03,2017-04-18,quarterly_earnings,0000080661-17-000023,2047.8,1892.8,95.4,583.5,45.3,40.1,10.4,27.5,2016.1,1396.8,158.8,276.9,12.1,1856.1,160.0,53.4,107.7,82.0,0.19,0.18,0.14,580.4,583.5,73.8,21.6,5228.3,5570.7,4255.4,1265.3,15054.4,607.5,15661.9,893.0,844.7,86.3,223.8,825.8,789.4,78.5,199.1,24303.0,34810.5,11628.9,7945.0,3111.7,25793.4,8522.9,580.9,0.0,0.0,14.67,14.9,17.4,26.7,2.3,,,,,1653.0,A+
2017-04,2017-05-17,monthly_results,0000080661-17-000039,2704.0,2388.3,88.9,583.6,42.9,9.5,11.2,34.0,2485.9,1650.2,190.4,316.3,14.5,2184.1,301.8,104.2,196.6,245.4,0.34,0.34,0.42,580.4,583.6,69.1,19.8,5283.1,5632.0,4293.9,1279.4,15209.0,615.0,15824.0,1178.0,1087.4,88.6,350.0,1048.4,1010.0,78.1,251.8,25811.6,36351.0,11709.9,8291.3,3950.9,27076.8,8776.9,580.9,0.0,0.0,15.11,16.5,19.2,31.0,2.3,,,,,1742.2,A+
2017-05,2017-06-14,monthly_results,0000080661-17-000041,2013.2,1953.8,96.4,583.8,48.8,17.2,9.9,27.0,2056.7,1490.8,161.6,257.6,15.4,1934.7,122.0,38.7,81.4,134.3,0.14,0.14,0.23,580.5,583.8,76.3,20.1,5318.2,5666.7,4325.8,1293.9,15310.7,620.8,15931.5,864.9,798.8,97.3,252.2,848.0,817.2,80.9,207.7,26368.5,37015.0,11923.1,8347.9,3949.0,27598.8,8915.7,581.0,0.0,0.0,15.35,16.4,19.6,30.7,2.3,,,,,1826.0,AA-
2017-06,2017-07-18,quarterly_earnings,0000080661-17-000047,2028.9,1971.2,95.3,584.0,47.1,5.4,11.6,27.8,2063.1,1473.9,162.2,271.1,13.5,1932.3,130.8,39.0,89.6,71.1,0.15,0.15,0.12,580.5,584.0,74.8,20.5,5350.3,5692.6,4356.3,1311.1,15399.2,625.7,16024.9,873.5,795.5,105.0,254.9,856.1,822.8,80.1,212.2,25978.4,36689.8,12060.4,8407.7,3383.4,27196.5,8991.5,581.0,0.0,0.0,15.48,16.6,18.9,27.3,2.3,,,,,1795.6,A+
2017-07,2017-08-16,monthly_results,0000080661-17-000057,2708.7,2475.8,90.1,585.8,45.4,0.9,12.4,34.9,2569.4,1732.6,203.0,329.7,12.3,2290.9,278.5,77.2,199.3,262.1,0.34,0.34,0.45,581.1,585.8,70.0,20.1,5415.4,5771.0,4382.8,1327.8,15569.2,630.6,16199.8,1155.5,1146.4,96.8,310.0,1080.6,1040.5,84.5,270.2,26348.4,37175.6,12137.2,8643.1,3381.4,27432.3,9238.5,581.9,0.6,45.58,15.88,17.9,19.7,26.8,2.2,,,,,1893.3,A+
2017-08,2017-09-19,monthly_results,0000080661-17-000060,2211.8,2019.6,103.8,,50.4,11.7,10.9,27.6,2096.8,1688.5,166.6,268.3,12.1,2146.3,49.5,29.8,16.8,4.9,0.03,0.03,0.01,581.4,585.6,83.6,20.2,5463.9,5819.1,4391.3,1349.0,15674.3,634.0,16308.3,934.4,917.0,105.2,255.2,873.8,840.7,85.5,219.6,26525.4,37710.1,12560.8,8835.5,3370.4,27956.4,9250.6,581.9,0.0,0.0,15.9,16.9,19.1,26.7,2.2,,,,,1928.0,A+
2017-09,2017-10-17,quarterly_earnings,0000080661-17-000063,2221.9,2048.6,99.9,,47.1,13.9,10.0,33.8,2125.6,1629.4,170.5,279.7,13.0,2103.2,22.4,10.8,41.5,32.5,0.07,0.07,0.06,581.3,585.5,79.6,20.3,5515.3,5889.6,4396.1,1375.6,15801.0,638.6,16439.6,938.9,923.8,98.7,260.5,885.6,853.6,85.2,224.2,26994.7,38932.6,13353.3,9005.3,3312.2,29145.0,9289.4,581.6,0.2,46.25,15.97,16.3,18.4,26.3,2.2,,,,,1911.9,A+
2017-10,2017-11-15,monthly_results,0000080661-17-000069,2758.2,2587.7,92.5,,46.9,2.2,10.4,40.1,2687.3,1872.9,213.1,347.5,11.9,2456.2,231.1,71.8,160.1,190.4,0.28,0.27,0.33,581.2,585.6,72.4,20.1,5590.0,5974.7,4385.7,1409.4,15950.4,643.5,16593.9,1188.5,1125.0,95.9,348.8,1123.7,1086.2,89.0,288.8,27157.7,39447.5,13621.2,9196.6,3310.3,29464.7,9485.3,581.6,0.0,0.0,16.31,17.1,20.3,25.9,2.2,,,,,1958.6,A+
2017-11,2017-12-13,monthly_results,0000080661-17-000073,2022.1,2113.5,90.9,,51.9,0.7,10.3,30.8,2206.0,1486.3,176.2,289.0,11.9,1974.4,231.6,73.1,154.9,161.7,0.27,0.26,0.28,581.3,585.7,70.3,20.6,5627.4,5980.3,4373.2,1436.5,15980.9,644.6,16625.5,875.5,840.4,90.6,215.6,909.7,881.1,87.6,235.1,28718.1,40457.9,13178.7,9085.5,3308.3,30302.1,9653.9,581.6,0.0,0.0,16.6,16.9,21.0,25.5,2.5,,,,,1966.6,AA-
2017-12,2018-01-24,quarterly_earnings,0000080661-18-000002,1972.3,2144.7,90.7,585.9,53.4,12.6,11.6,29.4,2226.5,1520.0,178.4,275.9,11.7,1997.8,228.7,33.8,261.3,280.2,0.45,0.45,0.48,581.3,585.9,70.9,19.8,5670.7,6039.1,4365.7,1461.7,16075.5,646.8,16722.3,855.5,816.1,96.1,204.6,920.2,893.8,91.9,238.8,27274.7,38701.2,13086.9,8903.5,3306.3,28912.7,9284.8,581.7,0.0,0.0,15.96,17.8,21.7,26.3,2.5,,,,,1997.6,AA-
2018-01,2018-02-14,monthly_results,0000080661-18-000006,2729.2,2689.6,87.4,585.5,51.1,181.1,11.5,35.6,2968.9,1798.0,221.4,366.2,11.8,2409.1,559.8,107.9,448.3,341.1,0.77,0.77,0.58,582.0,585.5,66.9,20.5,5730.0,6145.3,4269.6,1579.8,16144.9,649.8,16794.7,1144.1,1190.6,81.6,312.9,1158.1,1133.8,96.7,301.0,27993.4,39243.2,13084.6,8935.9,3304.4,29137.8,9600.9,582.3,0.6,55.72,16.49,20.5,22.5,25.6,2.5,,,,,147.9,AA-
2018-02,2018-03-14,monthly_results,0000080661-18-000013,2700.9,2204.7,87.8,585.6,53.9,139.6,9.6,31.8,2160.4,1484.0,183.6,299.9,11.9,1989.7,170.7,35.1,129.1,68.0,0.22,0.22,0.12,581.9,585.6,67.3,20.5,5822.0,6279.9,4274.8,1612.1,16376.7,653.4,17030.1,1121.3,1155.2,96.2,328.2,942.1,927.7,88.6,246.3,27469.8,39499.2,13103.2,9599.8,3302.4,29326.0,9663.9,582.4,0.07,57.06,16.59,20.2,20.4,25.5,2.6,,,,,227.4,AA-
2018-03,2018-04-17,quarterly_earnings,0000080661-18-000022,2538.7,2279.7,90.3,585.7,61.3,89.7,13.1,36.4,2300.8,1588.8,191.2,314.1,13.1,2120.5,180.3,38.0,140.6,158.6,0.24,0.24,0.27,582.0,585.7,69.7,20.6,5909.1,6385.6,4286.2,1651.0,16580.9,659.0,17239.9,1069.9,1063.7,119.3,285.8,963.6,954.8,100.0,261.3,29251.6,41330.9,13329.0,9837.8,3859.2,30493.5,10323.2,582.4,0.0,0.0,16.88,20.3,21.0,27.2,2.6,,,,,204.1,AA-
2018-04,2018-05-16,monthly_results,0000080661-18-000032,3226.9,2882.9,89.9,585.8,57.7,6.6,15.2,44.2,2993.4,2009.0,234.2,391.8,13.8,2664.4,329.0,68.9,260.6,173.0,0.44,0.44,0.29,582.0,585.8,69.7,20.2,6014.3,6506.7,4318.5,1688.6,16839.5,667.4,17506.9,1368.9,1311.5,121.0,425.5,1227.8,1220.0,100.4,334.7,29441.4,41735.9,13549.4,10174.3,3859.3,31002.9,10512.8,582.3,0.0,0.0,17.21,20.7,20.0,26.9,2.6,,,,,316.2,AA-
2018-05,2018-06-13,monthly_results,0000080661-18-000034,2412.8,2359.6,90.3,585.8,66.5,55.7,12.9,34.5,2529.2,1635.0,197.2,332.7,13.9,2191.7,337.5,70.7,268.6,320.7,0.46,0.45,0.54,582.1,585.8,69.3,21.0,6054.1,6564.3,4357.6,1727.8,16976.0,673.1,17649.1,1002.2,971.3,132.9,306.4,994.1,989.3,104.9,271.3,29598.5,42514.2,13773.4,10206.2,3859.4,31460.9,10834.2,582.5,0.0,0.0,17.75,22.4,21.7,26.3,2.6,,,,,249.4,AA-
2018-06,2018-07-17,quarterly_earnings,0000080661-18-000036,2455.6,2391.7,92.6,585.8,67.9,16.3,14.8,37.3,2495.4,1731.3,199.4,322.4,14.0,2281.8,213.6,39.3,175.0,161.2,0.3,0.29,0.27,582.1,585.8,72.4,20.2,6107.4,6650.9,4387.4,1766.6,17145.7,678.9,17824.6,1013.5,985.5,143.3,313.3,1003.8,1002.5,107.1,278.3,30921.2,43363.5,14070.8,10245.9,3859.5,32144.5,11000.8,582.5,0.0,0.0,18.04,23.0,22.3,26.0,2.6,,,,,267.3,AA-
2018-07,2018-08-15,monthly_results,0000080661-18-000041,3285.8,3001.2,88.8,586.6,68.4,107.0,15.1,46.0,3237.7,2061.2,249.8,398.8,14.0,2738.4,499.3,94.9,403.7,385.8,0.69,0.68,0.65,582.5,586.6,68.7,20.1,6160.4,6745.1,4410.8,1803.8,17316.3,684.2,18000.5,1343.1,1408.2,133.6,400.9,1265.2,1269.0,111.8,355.2,31590.4,44158.9,14250.2,10506.3,3859.7,32582.8,11357.3,583.1,0.65,59.26,18.63,24.8,23.3,25.4,2.6,,,,,290.3,AA-
2018-08,2018-09-13,monthly_results,0000080661-18-000045,2591.3,2453.2,92.3,,76.2,76.4,13.6,36.7,2656.1,1751.0,205.2,344.2,14.0,2327.8,328.3,52.7,274.7,323.3,0.47,0.46,0.55,582.8,586.5,71.4,20.9,6209.9,6808.8,4419.9,1839.1,17438.6,688.8,18127.4,1059.8,1080.7,139.6,311.2,1021.9,1027.9,113.3,290.1,32054.8,44737.0,14410.6,10619.6,3859.8,32845.0,11671.9,583.1,0.0,0.0,19.17,27.3,26.1,24.9,2.6,,,,,228.4,AA-
2018-09,2018-10-16,quarterly_earnings,0000080661-18-000047,2726.9,2476.1,90.1,586.6,73.5,1.3,13.8,39.9,2602.0,1710.9,207.7,352.9,14.0,2299.1,302.9,52.7,250.0,180.9,0.43,0.42,0.3,582.8,586.6,69.1,21.0,6249.3,6875.8,4418.9,1867.0,17544.0,691.9,18235.9,1101.4,1129.3,,,1031.1,1040.3,110.4,294.3,32350.6,45543.7,14620.8,11009.2,3859.9,33467.5,11858.8,583.1,0.0,0.0,19.49,28.9,27.1,24.6,2.6,,,,,316.7,AA-
2018-10,2018-11-14,monthly_results,0000080661-18-000052,3251.4,3110.4,95.9,,77.0,259.9,13.6,47.0,2988.1,2371.4,257.7,400.6,14.3,3057.5,69.4,32.3,31.7,80.3,0.06,0.06,0.14,582.8,586.7,76.2,19.7,6309.9,6947.2,4406.3,1893.0,17663.4,696.2,18359.6,1370.6,1336.8,126.1,417.9,1302.0,1316.9,118.4,373.1,33443.4,46756.0,15019.7,11148.3,4404.6,34760.2,11784.1,583.1,0.0,0.0,19.36,26.6,24.0,27.2,2.7,,,,,378.8,AA-
2018-11,2018-12-12,monthly_results,0000080661-18-000054,2328.0,2530.0,91.3,586.7,81.1,18.5,12.5,45.1,2687.2,1796.9,212.4,346.0,15.9,2384.0,303.2,60.6,242.4,291.8,0.41,0.41,0.49,582.8,586.7,71.0,20.3,6330.0,6973.6,4392.0,1915.4,17695.6,697.0,18392.6,976.6,966.6,116.7,268.1,1050.7,1063.4,114.6,301.3,33831.6,47046.7,15240.2,10909.9,4404.7,34748.1,12086.1,583.2,0.0,0.0,19.88,27.0,24.9,26.7,2.8,,,,,315.8,AA-
2018-12,2019-01-23,quarterly_earnings,0000080661-19-000003,2362.4,2554.2,89.5,586.6,85.9,330.8,12.8,37.7,2359.8,1783.5,213.9,326.2,15.8,2351.4,8.4,45.9,54.0,196.0,0.09,0.09,0.33,582.8,586.6,69.8,19.7,6358.3,7018.5,4382.2,1936.5,17759.0,696.9,18455.9,990.9,995.9,121.0,254.6,1056.8,1071.9,121.5,304.0,33567.4,46575.0,15400.8,10686.5,4404.9,35538.7,10821.8,583.2,0.0,0.0,17.71,24.7,23.8,28.9,2.8,,,,,134.2,AA-
2019-01,2019-02-13,monthly_results,0000080661-19-000005,3173.2,3189.9,88.6,586.4,84.3,269.5,14.9,46.4,3605.0,2151.1,268.4,452.5,15.8,2902.7,702.3,142.2,556.0,680.7,0.95,0.94,1.16,583.5,586.4,67.5,21.1,6413.5,7086.6,4379.4,1957.2,17879.5,700.3,18579.8,1295.5,1383.3,100.7,393.7,1330.9,1353.3,123.2,382.5,34823.1,48051.5,15540.5,10634.2,4405.1,36346.5,11485.5,583.9,0.4,59.26,18.82,25.5,26.7,27.7,2.6,,,,,24.8,AA-
2019-02,2019-03-13,monthly_results,0000080661-19-000010,3107.0,2601.3,90.9,586.6,81.8,109.9,12.6,40.5,2846.1,1829.2,218.5,357.0,15.8,2433.5,412.6,85.9,327.6,325.2,0.56,0.55,0.55,583.5,586.6,70.3,20.6,6497.4,7189.9,4380.7,1978.1,18068.0,703.8,18771.8,1258.2,1321.1,112.8,414.9,1079.3,1098.5,112.7,310.8,34157.8,48159.2,15682.2,11336.3,4405.3,36212.0,11729.0,584.0,0.05,71.38,19.24,27.0,28.8,27.3,2.6,,,,,21.1,AA-
2019-03,2019-04-16,quarterly_earnings,0000080661-19-000020,2959.7,2668.6,87.0,586.6,86.8,35.1,15.1,43.3,2848.9,1778.7,223.7,361.7,15.8,2396.3,452.6,256.6,194.8,371.5,0.33,0.33,0.63,583.5,586.6,66.7,20.3,6609.1,7335.3,4402.1,2002.3,18346.5,711.6,19058.1,1212.7,1251.7,138.7,356.6,1098.3,1124.5,126.1,319.7,34512.5,48850.3,15876.6,11603.6,4405.4,36518.4,12110.7,584.0,0.0,0.0,19.89,27.1,30.4,26.7,2.6,,,,,246.9,AA-
2019-05,2019-06-12,monthly_results,0000080661-19-000029,2662.7,2731.4,91.6,586.9,88.7,204.3,15.3,41.6,2672.7,1924.9,228.5,389.7,15.8,2575.0,97.7,20.7,78.5,255.7,0.13,0.13,0.43,583.6,586.9,70.5,21.1,6732.4,7467.5,4477.4,2047.9,18677.3,728.2,19405.5,1098.4,1070.9,155.8,337.6,1121.2,1149.9,130.0,330.3,36071.2,50545.1,16316.7,11780.9,4405.8,37519.6,12807.4,584.1,0.0,0.0,21.08,26.7,31.7,25.6,2.8,,,,,466.6,AA-
2019-06,2019-07-17,quarterly_earnings,0000080661-19-000032,2794.0,2745.0,92.7,587.0,91.7,252.6,16.5,42.4,3148.2,1981.0,229.3,377.7,15.8,2620.7,527.5,113.4,413.1,516.2,0.7,0.7,0.88,583.6,587.0,72.1,20.6,6783.7,7528.4,4510.2,2071.6,18822.3,734.2,19556.5,1143.8,1130.7,161.0,358.5,1128.4,1157.1,126.0,333.5,36814.6,51324.2,16568.6,11796.7,4406.0,37773.3,13330.8,584.1,0.0,0.0,21.98,28.3,34.3,24.8,2.7,,,,,598.1,AA-
2019-07,2019-08-14,monthly_results,0000080661-19-000036,3675.6,3426.9,90.3,587.4,89.6,49.0,18.5,51.9,3635.9,2401.1,286.4,457.8,15.8,3180.1,455.8,70.3,384.9,338.9,0.66,0.65,0.57,583.9,587.4,70.1,20.2,6832.8,7599.2,4545.2,2095.5,18977.2,740.5,19717.7,1495.5,1590.5,154.4,435.2,1417.8,1453.7,133.6,421.8,37337.3,52014.0,16882.2,12012.2,4406.2,38163.3,13630.4,584.6,0.64,81.09,22.47,27.7,33.3,24.4,2.7,,,,,539.4,AA
2019-08,2019-09-13,monthly_results,0000080661-19-000038,2921.3,2784.4,93.4,587.0,89.5,33.7,16.7,42.7,2899.6,2029.4,232.5,382.3,15.8,2678.1,221.5,45.3,175.9,411.0,0.3,0.3,0.7,584.2,587.0,72.9,20.5,6862.4,7641.9,4562.6,2124.4,19066.9,744.6,19811.5,1191.7,1232.3,162.7,334.6,1139.6,1170.1,134.1,340.6,38207.1,52998.8,17091.3,12120.7,4406.3,38807.3,13968.6,584.6,0.09,76.55,23.05,26.4,33.5,24.0,2.9,,,,,839.8,AA
2019-09,2019-10-16,quarterly_earnings,0000080661-19-000041,3024.3,2800.9,92.3,587.0,83.9,50.1,16.3,43.8,2995.0,1995.8,232.6,400.2,15.9,2662.0,333.0,51.1,280.9,149.2,0.48,0.47,0.25,584.2,587.0,71.3,21.0,6903.8,7716.0,4567.6,2144.3,19187.4,748.7,19936.1,1189.1,1257.4,143.0,434.8,1146.0,1180.2,130.2,344.5,38573.7,54008.1,17370.0,12526.5,4406.5,39661.9,14123.3,584.6,0.0,0.0,23.31,26.3,32.7,23.8,2.9,,,,,671.7,AA
2019-10,2019-11-13,monthly_results,0000080661-19-000045,3655.7,3507.2,94.0,586.9,94.7,93.6,18.0,54.5,3768.0,2579.9,292.4,479.0,15.8,3385.2,382.8,77.7,304.7,322.3,0.52,0.52,0.55,584.2,586.9,73.6,20.4,6949.9,7774.4,4560.8,2163.4,19285.1,752.9,20038.0,1500.1,1503.8,143.0,508.8,1441.4,1488.3,137.8,439.7,39186.3,54814.3,17590.8,12711.5,4406.7,40144.0,14446.8,584.6,0.0,0.0,23.87,28.6,35.5,23.4,2.9,,,,,693.9,AA
2019-11,2019-12-11,monthly_results,0000080661-19-000048,2596.1,2845.8,94.1,587.0,85.0,150.3,14.1,52.6,3147.8,2089.6,236.4,403.6,15.8,2760.9,386.9,79.1,306.1,200.9,0.52,0.52,0.34,584.2,587.0,73.5,20.6,6986.4,7841.2,4554.4,2184.6,19382.0,753.8,20135.8,1073.9,1098.7,132.4,291.1,1158.5,1198.6,134.2,354.5,39939.2,55315.6,17763.1,12416.0,4406.9,40428.4,14662.8,584.6,0.0,0.0,24.24,28.6,34.1,23.1,3.0,,,,,559.7,AA
2019-12,2020-01-29,quarterly_earnings,0000080661-20-000002,3338.5,3542.7,89.4,587.0,85.1,125.5,18.8,53.2,3825.3,2477.6,293.7,449.5,15.8,3256.1,569.2,107.5,460.0,378.8,0.78,0.78,0.64,584.2,587.0,69.9,19.5,6994.3,7866.5,4547.8,2202.1,19408.6,751.4,20160.0,1344.3,1417.1,137.7,439.4,1452.7,1505.3,141.7,443.0,39254.3,54895.3,18105.4,12388.8,4407.1,40996.5,13673.2,584.6,0.0,0.0,22.54,31.3,35.0,24.4,3.0,,,,,459.4,AA
2020-01,2020-02-19,monthly_results,0000080661-20-000004,3606.3,3579.1,92.1,586.8,84.4,32.5,18.2,57.7,3771.9,2535.1,297.2,521.9,15.8,3387.1,384.8,75.1,307.0,570.1,0.52,0.52,0.97,584.8,586.8,70.8,21.3,7060.5,7957.3,4553.9,2221.2,19571.7,756.8,20328.5,1465.8,1565.5,117.3,457.7,1458.9,1515.4,142.2,462.6,39199.6,54797.4,18204.3,12333.1,4407.3,40351.7,14215.0,585.3,0.3,73.87,23.44,28.8,33.5,23.7,3.0,,,,,795.4,AA
2020-02,2020-03-17,monthly_results,0000080661-20-000008,3404.2,2915.1,90.3,586.9,78.1,257.0,16.4,49.9,2802.5,2033.5,242.3,407.1,15.9,2715.3,87.2,17.5,67.1,307.4,0.11,0.11,0.52,584.7,586.9,69.7,20.6,7148.1,8095.1,4570.7,2243.7,19813.9,764.0,20577.9,1339.6,1461.8,129.0,473.8,1179.2,1229.5,133.8,372.6,39472.1,55872.0,18445.4,13016.4,4407.4,41184.7,14452.0,585.3,0.0,0.0,23.85,26.3,32.8,23.4,3.0,,,,,1102.0,AA
2020-03,2020-04-15,quarterly_earnings,0000080661-20-000018,2860.8,2936.5,77.1,587.0,78.7,329.1,17.0,45.9,2749.0,1586.6,243.3,480.9,16.3,2346.3,402.7,83.0,318.6,122.3,0.54,0.54,0.21,584.7,587.0,54.0,23.1,7164.6,8126.3,4574.5,2264.1,19865.4,759.7,20625.1,1221.1,1270.1,157.0,212.6,1190.6,1247.5,144.6,353.8,40342.3,56265.2,18306.5,12641.1,5394.0,41688.1,14351.5,585.3,0.0,0.0,23.68,26.8,28.5,27.3,3.0,,,,,538.9,AA-
2020-04,2020-05-20,monthly_results,0000080661-20-000026,3764.2,3634.3,83.4,587.2,82.7,537.3,20.7,44.3,4319.3,1743.8,298.5,525.4,18.8,3112.1,1207.2,254.6,952.6,1201.3,1.63,1.62,2.04,584.8,587.2,48.0,35.4,7237.1,8269.2,4618.1,2282.7,20124.4,764.6,20889.0,1570.8,1630.5,155.2,407.7,1490.0,1573.0,143.3,428.0,41273.1,56838.7,18136.8,12725.1,5394.2,41276.3,15562.4,585.3,0.0,0.0,25.74,29.8,33.4,25.7,3.0,,,,,853.7,AA-
2020-05,2020-06-17,monthly_results,0000080661-20-000028,3174.2,2991.2,93.7,587.2,84.1,210.6,18.7,41.4,3346.0,1648.0,246.1,440.8,18.8,2882.1,463.9,97.0,366.9,558.9,0.62,0.62,0.95,584.9,587.2,55.1,38.6,7336.7,8434.4,4715.7,2305.9,20486.8,776.6,21263.4,1272.1,1347.4,174.3,380.4,1208.6,1287.8,148.0,346.8,42709.8,58324.8,18311.2,12835.8,5394.4,42257.9,16066.9,585.4,0.0,0.0,26.6,31.4,35.0,25.1,3.0,,,,,1096.7,AA-
2020-06,2020-07-15,quarterly_earnings,0000080661-20-000030,3201.6,3023.1,86.9,587.3,77.0,142.9,19.6,43.8,3306.4,1929.6,250.9,472.7,18.8,2708.7,597.7,126.8,470.9,597.8,0.8,0.8,1.01,584.9,587.3,63.9,23.0,7362.5,8507.6,4790.5,2336.1,20660.6,775.8,21436.4,1261.8,1348.9,183.9,407.0,1220.4,1307.1,141.4,354.2,43777.9,59406.1,18512.0,13055.6,5394.7,42735.5,16670.6,585.4,0.0,0.0,27.63,31.2,34.9,24.4,3.0,,,,,1257.1,AA-
2020-07,2020-08-19,monthly_results,0000080661-20-000034,4109.3,3781.4,83.5,587.8,75.0,333.4,22.7,56.1,4268.6,2432.6,315.6,450.8,18.8,3254.4,1014.2,202.2,812.0,929.3,1.38,1.38,1.58,585.0,587.8,64.3,19.2,7435.4,8634.4,4854.8,2368.3,20924.6,785.7,21710.3,1626.6,1786.7,175.3,520.7,1532.3,1644.8,150.4,453.9,44262.6,60328.0,18835.5,13373.3,5394.9,42750.0,17578.0,585.6,0.43,87.87,29.17,33.5,38.3,23.5,3.0,,,,,1405.5,AA-
2020-08,2020-09-17,monthly_results,0000080661-20-000036,3437.7,3088.9,92.6,587.7,80.1,330.9,19.1,47.2,3566.2,2207.3,259.1,429.6,18.8,2946.0,620.2,132.8,487.4,408.3,0.83,0.83,0.69,585.2,587.7,71.5,21.1,7487.0,8714.3,4891.1,2395.4,21092.4,795.4,21887.8,1314.0,1444.1,181.6,498.0,1233.3,1330.3,150.8,374.5,45660.5,62259.9,19314.1,13812.2,5395.1,44340.2,17919.7,585.6,0.0,0.0,29.76,34.9,37.4,23.1,3.0,,,,,1305.4,AA-
2020-09,2020-10-14,quarterly_earnings,0000080661-20-000038,3468.1,3103.2,88.3,587.8,75.4,-131.7,17.0,48.5,3112.4,2073.2,260.5,450.5,18.8,2823.3,289.1,57.7,231.4,168.8,0.39,0.39,0.28,585.2,587.8,66.8,21.5,7527.1,8774.3,4905.8,2421.0,21207.2,803.9,22011.1,1311.1,1402.2,163.6,591.2,1236.0,1334.7,146.1,386.4,45764.3,62890.8,19589.2,14199.3,5395.4,44803.6,18087.2,585.6,0.08,93.99,30.04,33.8,36.7,23.0,3.0,,,,,1226.1,AA-
