variant,review_months,mean_hold_fraction,hold_fraction_changes,defer_rate,sell_all_rate,hold_all_rate,mean_policy_return,capture_ratio,agreement_with_regression_rate,mean_abs_hold_diff_vs_regression,selected_variant,selected_next
classifier_only_benchmark_panel,162,1.0,1,0.0,0.0,1.0,0.08207591357069297,0.8372906637816842,0.4506172839506173,0.3055555555555556,classifier_only_benchmark_panel,True
classifier_only_best_basket,162,0.9012345679012346,15,0.1728395061728395,0.012345679012345678,0.8148148148148148,0.07802883731011129,0.7960047490573978,0.5432098765432098,0.24382716049382716,classifier_only_benchmark_panel,False
hybrid_benchmark_panel_30_70,162,0.7191358024691358,17,0.5617283950617284,0.0,0.4382716049382716,0.06839088732509113,0.6976839970927959,0.9259259259259259,0.037037037037037035,classifier_only_benchmark_panel,False
hybrid_benchmark_panel_35_65,162,0.7253086419753086,17,0.5493827160493827,0.0,0.4506172839506173,0.06808926929136705,0.6946070655951301,0.9382716049382716,0.030864197530864196,classifier_only_benchmark_panel,False
hybrid_best_basket_35_65,162,0.7006172839506173,23,0.5740740740740741,0.012345679012345678,0.41358024691358025,0.06790739868582081,0.6927517276108746,0.9135802469135802,0.043209876543209874,classifier_only_benchmark_panel,False
regression_only_quality_weighted,162,0.6944444444444444,21,0.4876543209876543,0.06172839506172839,0.4506172839506173,0.06758803977853373,0.6894938140545828,1.0,0.0,classifier_only_benchmark_panel,False
