variant,n_benchmarks,consensus,mean_predicted_return,mean_ic,mean_hit_rate,mean_prob_outperform,confidence_tier,weight_mode,score_col,lambda_mix,top_benchmark,top_benchmark_weight,recommendation_mode,recommended_sell_pct,is_live_path
equal_weight,8,NEUTRAL,-0.044965356842112135,0.06864056238832512,0.6400510480174105,0.5,LOW,equal,,0.0,VOO,0.125,DEFER-TO-TAX-DEFAULT,0.5,False
quality_weighted,8,NEUTRAL,-0.04655999295848967,0.099324585825715,0.6486323872601873,0.5,LOW,shrink_to_equal,nw_ic,0.25,BND,0.16994716767261808,DEFER-TO-TAX-DEFAULT,0.5,True
