fold,train_start,train_end,train_obs,test_date,y_true,path_b_prob,path_a_prob,path_a_available_benchmarks,path_a_weight_sum,path_b_raw_v126,path_b_platt_prob,path_b_temp_prob,path_b_temp_temperature
6,2013-08-30,2018-07-31,60,2019-09-30,0,0.0119245253140826,0.2232401205887491,6,1.0,0.0119245253140826,0.24445925031329005,0.141495597296737,2.45
7,2014-02-28,2019-01-31,60,2019-10-31,0,0.0145867730177662,0.1998563477940575,6,1.0,0.0145867730177662,0.21325827297744854,0.14273675997123386,2.35
7,2014-02-28,2019-01-31,60,2019-11-29,0,0.0215101141027294,0.181662179360326,6,1.0,0.0215101141027294,0.1763300616890561,0.15979192832557923,2.3
7,2014-02-28,2019-01-31,60,2019-12-31,0,0.0525069019981678,0.1477441442079674,6,1.0,0.0525069019981678,0.1212953552806282,0.216577747284816,2.25
7,2014-02-28,2019-01-31,60,2020-01-31,0,0.0419691671270412,0.1518648856842575,6,1.0,0.0419691671270412,0.12880051726238428,0.18925503871384206,2.1500000000000004
7,2014-02-28,2019-01-31,60,2020-02-28,0,0.0249863137317856,0.1652950164657375,6,1.0,0.0249863137317856,0.15340010507025628,0.14870166186662104,2.1
7,2014-02-28,2019-01-31,60,2020-03-31,1,0.0172300654172055,0.1694812330111713,6,1.0,0.0172300654172055,0.1709019889694481,0.1221156893149433,2.05
8,2014-08-29,2019-07-31,60,2020-04-30,1,0.0265056793753953,0.1857830611868995,6,1.0,0.0265056793753953,0.16988181851018777,0.18220607262260669,2.4000000000000004
8,2014-08-29,2019-07-31,60,2020-05-29,1,0.4727673810040657,0.1352394790882855,6,1.0,0.4727673810040657,0.040756901615715074,0.4899052255670789,2.7
8,2014-08-29,2019-07-31,60,2020-06-30,0,0.9548176764609172,0.183909067315054,6,1.0,0.9548176764609172,0.04899386927988213,0.7558262177516499,2.7
8,2014-08-29,2019-07-31,60,2020-07-31,1,0.9580250973979452,0.1675337309976,6,1.0,0.9580250973979452,0.042703766172482054,0.7427425015235308,2.95
8,2014-08-29,2019-07-31,60,2020-08-31,1,0.9356947767794848,0.335823139235008,6,1.0,0.9356947767794848,0.18954853730109575,0.7190038570302997,2.85
8,2014-08-29,2019-07-31,60,2020-09-30,1,0.9546257243371324,0.4607028734103298,6,1.0,0.9546257243371324,0.32535595227889785,0.7480031727496127,2.8
9,2015-02-27,2020-01-31,60,2020-10-30,1,0.7977591468338623,0.3821993069287552,6,1.0,0.7977591468338623,0.3596330785369518,0.6244024329572968,2.7
9,2015-02-27,2020-01-31,60,2020-11-30,0,0.9051747166168684,0.5134597305361893,6,1.0,0.9051747166168684,0.45818465273870773,0.7008513988386994,2.6500000000000004
9,2015-02-27,2020-01-31,60,2020-12-31,1,0.3823747323876421,0.2201022672656374,6,1.0,0.3823747323876421,0.2919070550421179,0.45729352377201843,2.8
9,2015-02-27,2020-01-31,60,2021-01-29,1,0.907404714888684,0.4734090149130089,6,1.0,0.907404714888684,0.44717739249208566,0.6901508606551972,2.85
9,2015-02-27,2020-01-31,60,2021-02-26,0,0.8331782885039273,0.4317846456251591,6,1.0,0.8331782885039273,0.45564214579502665,0.6421813313294383,2.75
9,2015-02-27,2020-01-31,60,2021-03-31,1,0.471077019023617,0.2603556141883823,6,1.0,0.471077019023617,0.3358113962086325,0.4898416414831529,2.85
10,2015-08-31,2020-07-31,60,2021-04-30,1,0.9153483055954564,0.5436476267354519,6,1.0,0.9153483055954564,0.49916537923527715,0.6974858600099734,2.85
10,2015-08-31,2020-07-31,60,2021-05-31,1,0.7814414099216799,0.5082603137607895,6,1.0,0.7814414099216799,0.4647429107252285,0.6118346677246278,2.8
10,2015-08-31,2020-07-31,60,2021-06-30,0,0.6008966893019995,0.4181769137520162,6,1.0,0.6008966893019995,0.4286234046738136,0.5371317585680204,2.75
10,2015-08-31,2020-07-31,60,2021-07-30,0,0.6373577823742009,0.4563846774328312,6,1.0,0.6373577823742009,0.4252059688431491,0.5501800051936082,2.8
10,2015-08-31,2020-07-31,60,2021-08-31,0,0.3409262754691838,0.3095194287091137,6,1.0,0.3409262754691838,0.3348884593852835,0.4414159298539501,2.8
10,2015-08-31,2020-07-31,60,2021-09-30,0,0.1957153038022018,0.2505391909483767,6,1.0,0.1957153038022018,0.28558480938244485,0.3764257031860199,2.8
11,2016-02-29,2021-01-29,60,2021-10-29,0,0.1001525025805423,0.2143479500878112,6,1.0,0.1001525025805423,0.24030620082506682,0.3103732292746657,2.75
11,2016-02-29,2021-01-29,60,2021-11-30,0,0.0499916182537243,0.1918730866762387,6,1.0,0.0499916182537243,0.2010886889742114,0.24765177754525158,2.6500000000000004
11,2016-02-29,2021-01-29,60,2021-12-31,0,0.0317196427989823,0.1820254001084972,6,1.0,0.0317196427989823,0.1766454563512195,0.21167796552181467,2.6
11,2016-02-29,2021-01-29,60,2022-01-31,0,0.0439317197536944,0.1833961614365014,6,1.0,0.0439317197536944,0.1863204378816562,0.23006951714133347,2.55
11,2016-02-29,2021-01-29,60,2022-02-28,0,0.0125862137083882,0.1664123044482338,6,1.0,0.0125862137083882,0.13321548880474132,0.14867960653327908,2.5
11,2016-02-29,2021-01-29,60,2022-03-31,0,0.0119582925049299,0.1629382220657799,6,1.0,0.0119582925049299,0.12761893334281066,0.14163755474396067,2.45
12,2016-08-31,2021-07-30,60,2022-04-29,0,0.0522185328956679,0.1713807218534896,6,1.0,0.0522185328956679,0.18297150230937947,0.23009302069617102,2.4000000000000004
12,2016-08-31,2021-07-30,60,2022-05-31,0,0.0196790338904098,0.1547983778197096,6,1.0,0.0196790338904098,0.1380037638253113,0.15934394714696398,2.35
12,2016-08-31,2021-07-30,60,2022-06-30,0,0.045286383404275,0.1597619360225232,6,1.0,0.045286383404275,0.16928345952776688,0.20992235754831273,2.3
12,2016-08-31,2021-07-30,60,2022-07-29,0,0.0149600842101201,0.1476835160726801,6,1.0,0.0149600842101201,0.12150937212420425,0.1345841260617351,2.25
12,2016-08-31,2021-07-30,60,2022-08-31,0,0.0220945882715826,0.1486136039513492,6,1.0,0.0220945882715826,0.13270045705080233,0.1565031395587902,2.25
12,2016-08-31,2021-07-30,60,2022-09-30,0,0.0186881455111511,0.1427083290766632,6,1.0,0.0186881455111511,0.12351918981168757,0.1417956920222899,2.2
13,2017-02-28,2022-01-31,60,2022-10-31,1,0.0405413742479223,0.1465728611694097,6,1.0,0.0405413742479223,0.15217258893410365,0.18669204662910774,2.1500000000000004
13,2017-02-28,2022-01-31,60,2022-11-30,1,0.022541786984703,0.1445562101867283,6,1.0,0.022541786984703,0.1434510640452336,0.16260800133882464,2.3
13,2017-02-28,2022-01-31,60,2022-12-30,1,0.0167721805304651,0.1547765666802031,6,1.0,0.0167721805304651,0.15031101844664288,0.16404312121550582,2.5
13,2017-02-28,2022-01-31,60,2023-01-31,1,0.0133641850288518,0.1665547023132397,6,1.0,0.0133641850288518,0.16124883497834688,0.1689298595085019,2.7
13,2017-02-28,2022-01-31,60,2023-02-28,1,0.0248103967852752,0.1839688262704029,6,1.0,0.0248103967852752,0.2025925983200769,0.22364812692923156,2.95
13,2017-02-28,2022-01-31,60,2023-03-31,1,0.0132867631072704,0.1961408557226212,6,1.0,0.0132867631072704,0.19697287153284207,0.19218565690577294,3.0
14,2017-08-31,2022-07-29,60,2023-04-28,0,0.0137063511525368,0.2043782500557846,6,1.0,0.0137063511525368,0.21659362320440564,0.19382190800187651,3.0
14,2017-08-31,2022-07-29,60,2023-05-31,0,0.0093697467732575,0.2000727648080096,6,1.0,0.0093697467732575,0.20014579040862776,0.17456426876140327,3.0
14,2017-08-31,2022-07-29,60,2023-06-30,0,0.0058022747760558,0.1956206821570971,6,1.0,0.0058022747760558,0.18115825024141635,0.15257293652765772,3.0
14,2017-08-31,2022-07-29,60,2023-07-31,0,0.0055977536211569,0.1921007927370662,6,1.0,0.0055977536211569,0.17513285162202083,0.15102400159392243,3.0
14,2017-08-31,2022-07-29,60,2023-08-31,0,0.0021014348561798,0.1874273451364479,6,1.0,0.0021014348561798,0.14395928008003675,0.11361420456016784,3.0
14,2017-08-31,2022-07-29,60,2023-09-29,0,0.0021211174949745,0.1839251125419292,6,1.0,0.0021211174949745,0.13953978139265902,0.11392819469019845,3.0
