candidate_name,candidate_type,model_type,n_benchmarks,mean_current_predicted_return,mean_ic,mean_hit_rate,mean_oos_r2,mean_nw_ic,mean_policy_return_sign,mean_policy_return_neutral_3pct,mean_mae
ensemble_ridge_gbt_v18,ensemble,ensemble,8,0.09384292950028798,0.1911005419965415,0.6857258027732166,-0.14241425593684032,0.1911005419965415,0.07981739921042233,0.07745167013584062,0.14829575030816067
ensemble_ridge_gbt_v16,ensemble,ensemble,8,0.10511183828897111,0.16571046452791197,0.678798006750593,-0.1607844968036985,0.16571046452791197,0.07867256153113517,0.07483609203694148,0.14993989352208284
ensemble_ridge_gbt_v20_value,ensemble,ensemble,8,0.10422456208709609,0.18885911828207114,0.6738738368910783,-0.17086766680754512,0.18885911828207114,0.07769421944378532,0.07472721704736393,0.1502020427229811
ensemble_ridge_gbt_v20_best,ensemble,ensemble,8,0.08406980885221918,0.1888651553320395,0.6664424831235176,-0.1664719817525987,0.1888651553320395,0.07681276467279433,0.07507989220179682,0.14974203949712672
baseline_historical_mean,baseline,baseline,8,0.10099784840060741,-0.14237015009642612,0.6373530149607736,-0.20470187241513502,-0.14237015009642612,0.07038680020763428,0.07015615622163651,0.1503402438180013
live_production_ensemble_reduced,ensemble,ensemble,8,0.12498990351995348,0.110060344888251,0.6046987319832147,-0.699397325283843,0.110060344888251,0.06804086993395418,0.06465556159563308,0.17067745211820828
