slice_name,path_name,review_months,mean_predicted,mean_ic,mean_hit_rate,mean_aggregate_oos_r2,mean_sell_pct,signal_changes,mode_changes,signal_agreement_with_shadow_rate,mode_agreement_with_shadow_rate,sell_agreement_with_shadow_rate,signal_agreement_with_live_rate,mode_agreement_with_live_rate,sell_agreement_with_live_rate,outperform_rate,neutral_rate,underperform_rate
full_history,shadow_baseline,108,0.09104204919196712,0.006112551800283931,0.635665322214254,-0.28228114386161,0.5,0,0,1.0,1.0,1.0,0.6481481481481481,1.0,1.0,1.0,0.0,0.0
full_history,ensemble_ridge_gbt_v18,108,0.09678914545507637,0.16714682404413,0.6943648537259636,-0.4735896094354514,0.5,16,0,0.8148148148148148,1.0,1.0,0.7037037037037037,1.0,1.0,0.8148148148148148,0.12962962962962962,0.05555555555555555
full_history,ensemble_ridge_gbt_v16,108,0.08849058294562487,0.1842476749684808,0.7015154394817278,-0.43601682233887984,0.5,14,0,0.7870370370370371,1.0,1.0,0.7314814814814815,1.0,1.0,0.7870370370370371,0.12037037037037036,0.09259259259259259
full_history,ensemble_ridge_gbt_v20_best,108,0.08606900857986714,0.1936813616187331,0.6998735564534323,-0.42512523816863174,0.5,20,0,0.7777777777777778,1.0,1.0,0.6851851851851852,1.0,1.0,0.7777777777777778,0.14814814814814814,0.07407407407407407
full_history,ensemble_ridge_gbt_v20_value,108,0.08305100044605752,0.19894616278776248,0.6990497457907728,-0.4568855117631675,0.5,17,0,0.75,1.0,1.0,0.7314814814814815,1.0,1.0,0.75,0.17592592592592593,0.07407407407407407
full_history,live_production_ensemble_reduced,108,0.056408615908380005,0.15140054474699677,0.6573073287286689,-0.8137004197057243,0.5,18,0,0.6481481481481481,1.0,1.0,1.0,1.0,1.0,0.6481481481481481,0.25925925925925924,0.09259259259259259
pre_2020,shadow_baseline,39,0.0800319982437517,0.14852294955354084,0.6235633885865526,-0.3715621664688855,0.5,0,0,1.0,1.0,1.0,0.48717948717948717,1.0,1.0,1.0,0.0,0.0
pre_2020,ensemble_ridge_gbt_v20_best,39,0.10776996421524146,0.14267654697027868,0.7281945925604728,-0.611520982380718,0.5,6,0,0.9230769230769231,1.0,1.0,0.5128205128205128,1.0,1.0,0.9230769230769231,0.07692307692307693,0.0
pre_2020,ensemble_ridge_gbt_v18,39,0.11473626707433879,0.1473672674736811,0.7254020739847353,-0.6572093721893693,0.5,4,0,0.9230769230769231,1.0,1.0,0.5641025641025641,1.0,1.0,0.9230769230769231,0.07692307692307693,0.0
pre_2020,ensemble_ridge_gbt_v16,39,0.0900414859023426,0.18825062161548908,0.7291743675844108,-0.5795868560374785,0.5,5,0,0.8717948717948718,1.0,1.0,0.5641025641025641,1.0,1.0,0.8717948717948718,0.07692307692307693,0.05128205128205128
pre_2020,ensemble_ridge_gbt_v20_value,39,0.09086667175302618,0.1863160474911479,0.7295333303334036,-0.6398063893392594,0.5,6,0,0.7948717948717948,1.0,1.0,0.5897435897435898,1.0,1.0,0.7948717948717948,0.20512820512820512,0.0
