as_of,path_name,candidate_name,consensus,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow
2025-12-31,candidate_v16,ensemble_ridge_gbt_v16,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,False,True,True
2025-12-31,candidate_v18,ensemble_ridge_gbt_v18,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.16253902729713487,0.223182281648366,0.6606449553001277,-0.19226394410286152,False,True,True
2026-01-30,shadow_baseline,baseline_historical_mean,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,True,True,True
2026-01-30,candidate_v16,ensemble_ridge_gbt_v16,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,False,True,True
2026-01-30,candidate_v18,ensemble_ridge_gbt_v18,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.16253902729713487,0.223182281648366,0.6606449553001277,-0.19226394410286152,False,True,True
2026-02-27,shadow_baseline,baseline_historical_mean,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,True,True,True
2026-02-27,candidate_v16,ensemble_ridge_gbt_v16,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,False,True,True
2026-02-27,candidate_v18,ensemble_ridge_gbt_v18,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.16253902729713487,0.223182281648366,0.6606449553001277,-0.19226394410286152,False,True,True
2026-03-31,shadow_baseline,baseline_historical_mean,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,True,True,True
2026-03-31,candidate_v16,ensemble_ridge_gbt_v16,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,False,True,True
2026-03-31,candidate_v18,ensemble_ridge_gbt_v18,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.16253902729713487,0.223182281648366,0.6606449553001277,-0.19226394410286152,False,True,True
