variant,n_obs,avg_hold_fraction,mean_policy_return,median_policy_return,cumulative_policy_return,positive_utility_rate,regret_vs_oracle,uplift_vs_sell_all,uplift_vs_sell_50,uplift_vs_hold_all,capture_ratio,hold_fraction_changes,review_months,mean_hold_fraction,defer_rate,sell_all_rate,hold_all_rate,gate_style,threshold,agreement_with_regression_rate,mean_abs_hold_diff_vs_regression,unnecessary_action_rate,action_month_rate
permission_overlay_0.50,162,0.5,0.0410379567853465,0.04615924634855016,6.648148999226132,0.7283950617283951,0.05698763590428313,0.0410379567853465,0.0,-0.0410379567853465,0.41864533189084197,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.5,0.4876543209876543,0.25617283950617287,0.0,0.0
permission_overlay_0.55,162,0.5,0.0410379567853465,0.04615924634855016,6.648148999226132,0.7283950617283951,0.05698763590428313,0.0410379567853465,0.0,-0.0410379567853465,0.41864533189084197,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.55,0.4876543209876543,0.25617283950617287,0.0,0.0
permission_overlay_0.60,162,0.5,0.0410379567853465,0.04615924634855016,6.648148999226132,0.7283950617283951,0.05698763590428313,0.0410379567853465,0.0,-0.0410379567853465,0.41864533189084197,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.6,0.4876543209876543,0.25617283950617287,0.0,0.0
permission_overlay_0.65,162,0.5,0.0410379567853465,0.04615924634855016,6.648148999226132,0.7283950617283951,0.05698763590428313,0.0410379567853465,0.0,-0.0410379567853465,0.41864533189084197,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.65,0.4876543209876543,0.25617283950617287,0.0,0.0
permission_overlay_0.70,162,0.5,0.0410379567853465,0.04615924634855016,6.648148999226132,0.7283950617283951,0.05698763590428313,0.0410379567853465,0.0,-0.0410379567853465,0.41864533189084197,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.7,0.4876543209876543,0.25617283950617287,0.0,0.0
permission_overlay_0.75,162,0.5,0.0410379567853465,0.04615924634855016,6.648148999226132,0.7283950617283951,0.05698763590428313,0.0410379567853465,0.0,-0.0410379567853465,0.41864533189084197,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.75,0.4876543209876543,0.25617283950617287,0.0,0.0
