date,current_bvps,bvps_change,bvps_pct_change,monthly_dividend,has_dividend_support
2004-12-31,24.07,-4.18,-0.14796460176991144,0.03,True
2006-07-31,8.24,-24.619999999999997,-0.7492391965916008,0.0,False
2007-09-28,7.55,-2.05,-0.21354166666666663,0.0,False
2008-11-28,6.31,-0.6600000000000001,-0.09469153515064566,0.0,False
2010-12-31,9.31,-0.8099999999999987,-0.08003952569169948,1.0,True
2012-12-31,9.93,-0.9100000000000001,-0.08394833948339486,0.0,False
2014-02-28,10.39,-1.459999999999999,-0.12320675105485224,0.0,False
2019-02-28,17.71,-2.169999999999998,-0.10915492957746475,2.514,True
2021-02-26,28.27,-3.370000000000001,-0.10651074589127685,0.0,False
2022-11-30,24.41,-2.530000000000001,-0.09391239792130668,0.0,False
2026-02-27,51.74,-12.300000000000004,-0.19206745783885082,0.0,False
