universe_name,candidate_type,candidate_name,policy_name,horizon_months,n_benchmarks,mean_policy_return,median_policy_return,mean_positive_utility_rate,mean_regret_vs_oracle,mean_uplift_vs_sell_all,mean_uplift_vs_sell_50,mean_uplift_vs_hold_all,mean_capture_ratio,mean_hold_fraction
balanced_core7,baseline,historical_mean,sign_hold_vs_sell,6,7,0.07179496221907641,0.07621055564082996,0.6060332809716111,0.03515278907274701,0.07179496221907641,0.03555085948605229,-0.0006932432469718454,0.6542617274757018,0.8554531490015361
balanced_core7,model,gbt,sign_hold_vs_sell,6,7,0.06334416161567245,0.06792995773093462,0.5170414294750157,0.043603589676150974,0.06334416161567245,0.027100058882648326,-0.00914404385037581,0.5733327243349858,0.7417299583191425
balanced_core7,ensemble,ensemble,sign_hold_vs_sell,6,7,0.06270233143039221,0.06816842503800762,0.5041573527674097,0.044245419861431226,0.06270233143039221,0.026458228697368073,-0.009785874035656061,0.5741802087189318,0.7135649992006728
balanced_core7,model,elasticnet,sign_hold_vs_sell,6,7,0.06105185068011547,0.0672387586739379,0.4852293605614289,0.04589590061170796,0.06105185068011547,0.024807747947091337,-0.011436354785932796,0.5573963510533223,0.6797173451680092
balanced_core7,model,bayesian_ridge,sign_hold_vs_sell,6,7,0.05435780731894167,0.04643050319404253,0.40562896622668915,0.05258994397288177,0.05435780731894167,0.018113704585917528,-0.018130398147106604,0.505541433544984,0.5775885341729744
balanced_core7,model,ridge,sign_hold_vs_sell,6,7,0.052797937186519754,0.050407411953185925,0.4496226248977672,0.05414981410530367,0.052797937186519754,0.016553834453495626,-0.019690268279528512,0.477213016413969,0.6565347023838485
balanced_core7,heuristic,always_hold_100,always_hold_100,6,7,0.04980444968022626,0.061997996637709135,0.6418284485335987,0.04468923042909824,0.04980444968022626,0.02490222484011313,0.0,0.4814353605857916,1.0
balanced_core7,baseline,last_value,sign_hold_vs_sell,6,7,0.04757100683363139,0.051176180142967716,0.4796087061789149,0.059376744458192035,0.04757100683363139,0.011326904100607266,-0.024917198632416867,0.4291701056244142,0.7249642040439003
balanced_core7,model,bayesian_ridge,tiered_25_50_100,6,7,0.03363863255809411,0.02938747072905211,0.33961670524289117,0.07330911873372933,0.03363863255809411,-0.0026054701749300274,-0.03884957290795416,0.308449986985162,0.2900875190853843
balanced_core7,model,gbt,tiered_25_50_100,6,7,0.032077918998144106,0.02808430991836353,0.40439960103147954,0.07486983229367931,0.032077918998144106,-0.004166183734880024,-0.040410286467904157,0.2886654321529055,0.34930016009712406
balanced_core7,baseline,historical_mean,tiered_25_50_100,6,7,0.029895241452324865,0.023395571626712977,0.49685253340376684,0.07705250983949856,0.029895241452324865,-0.006348861280699266,-0.0425929640137234,0.2662028914791029,0.35125960061443934
balanced_core7,ensemble,ensemble,tiered_25_50_100,6,7,0.028999030044660427,0.025135744652719214,0.3467022772715373,0.07794872124716301,0.028999030044660427,-0.007245072688363705,-0.04348917542138784,0.2649708156772274,0.2948972647371604
balanced_core7,model,elasticnet,tiered_25_50_100,6,7,0.027846858481267663,0.02746014144825904,0.3708301360246331,0.07910089281055577,0.027846858481267663,-0.008397244251756468,-0.0446413469847806,0.2555599716520766,0.2925459062864187
balanced_core7,model,ridge,tiered_25_50_100,6,7,0.026358169819740308,0.02286699887488946,0.36065141110207527,0.08058958147208313,0.026358169819740308,-0.009885932913283825,-0.04613003564630796,0.23762890290444297,0.2918416990452095
balanced_core7,heuristic,always_sell_50,always_sell_50,6,7,0.02490222484011313,0.030998998318854568,0.6418284485335987,0.06959145526921139,0.02490222484011313,0.0,-0.02490222484011313,0.2407176802928958,0.5
balanced_core7,baseline,last_value,tiered_25_50_100,6,7,0.023571651279101182,0.021337178701311216,0.41058567513026706,0.08337610001272223,0.023571651279101182,-0.012672451453922947,-0.04891655418694708,0.21723520513924544,0.38940349340728847
balanced_core7,heuristic,always_sell_100,always_sell_100,6,7,0.0,0.0,0.0,0.0944936801093245,0.0,-0.02490222484011313,-0.04980444968022626,0.0,0.0
balanced_core7,baseline,zero,sign_hold_vs_sell,6,7,0.0,0.0,0.0,0.10694775129182342,0.0,-0.036244102733024135,-0.07248820546604827,0.0,0.0
balanced_core7,baseline,zero,tiered_25_50_100,6,7,0.0,0.0,0.0,0.10694775129182342,0.0,-0.036244102733024135,-0.07248820546604827,0.0,0.0
