candidate_name,model_type,policy_name,threshold,n_features,n_benchmarks,mean_regression_ic,mean_regression_oos_r2,mean_brier_score,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,mean_policy_return,mean_uplift_vs_sell_50,mean_uplift_vs_regression_sign,mean_avg_hold_fraction,notes
ridge_lean_v1,ridge,regression_sign,,12,7,0.34416509131330436,-0.24135688947362957,0.2970813252387544,0.6113718457468458,0.6206942670337169,0.7634278011503269,0.5949835961913686,0.06985643506118112,0.03410864046054672,0.0,0.6544022181522181,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.
gbt_lean_plus_two,gbt,regression_sign,,13,7,0.20153083766377627,-0.2757465004226178,0.3196025473067506,0.563232091982092,0.523618259754396,0.6845350530956936,0.6364845807949625,0.06515498463819343,0.02940719003755903,0.0,0.7377978734228733,Adds the two strongest v9 GBT add-one winners.
elasticnet_lean_v1,elasticnet,regression_sign,,13,7,0.20386353851037922,-0.36657611587314154,0.35450967174537623,0.5303774928774929,0.5641745873018307,0.737357813831981,0.4669788195753319,0.06362175637802228,0.02787396177738787,0.0,0.682250457875458,Drops weaker macro features and adds the strongest v9 add-one winners.
ridge_lean_v1,ridge,classifier_only_0.50,0.5,12,7,0.34416509131330436,-0.24135688947362957,0.2970813252387544,0.6113718457468458,0.6206942670337169,0.7634278011503269,0.5949835961913686,0.060973987550899375,0.025226192950264962,-0.008882447510281754,0.5213074888074889,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.
ridge_lean_v1,ridge,classifier_only_0.55,0.55,12,7,0.34416509131330436,-0.24135688947362957,0.2970813252387544,0.6113718457468458,0.6206942670337169,0.7634278011503269,0.5949835961913686,0.05951710946508997,0.023769314864455566,-0.010339325596091157,0.4993800875050875,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.
ridge_lean_v1,ridge,hybrid_confirm_0.50,0.5,12,7,0.34416509131330436,-0.24135688947362957,0.2970813252387544,0.6113718457468458,0.6206942670337169,0.7634278011503269,0.5949835961913686,0.059259721972148634,0.02351192737151423,-0.010596713089032487,0.4559238909238909,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.
ridge_lean_v1,ridge,hybrid_confirm_0.55,0.55,12,7,0.34416509131330436,-0.24135688947362957,0.2970813252387544,0.6113718457468458,0.6206942670337169,0.7634278011503269,0.5949835961913686,0.057588197807568416,0.021840403206934002,-0.01226823725361272,0.44376831501831504,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.
ridge_lean_v1,ridge,classifier_only_0.60,0.6,12,7,0.34416509131330436,-0.24135688947362957,0.2970813252387544,0.6113718457468458,0.6206942670337169,0.7634278011503269,0.5949835961913686,0.0572470902419327,0.021499295641298294,-0.01260934481924843,0.46645553520553523,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.
ridge_lean_v1,ridge,hybrid_confirm_0.60,0.6,12,7,0.34416509131330436,-0.24135688947362957,0.2970813252387544,0.6113718457468458,0.6206942670337169,0.7634278011503269,0.5949835961913686,0.0550851774526967,0.01933738285206229,-0.01477125760848443,0.41917709605209597,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.
elasticnet_lean_v1,elasticnet,classifier_only_0.55,0.55,13,7,0.20386353851037922,-0.36657611587314154,0.35450967174537623,0.5303774928774929,0.5641745873018307,0.737357813831981,0.4669788195753319,0.04836458536030606,0.012616790759671644,-0.01525717101771623,0.3804850936100936,Drops weaker macro features and adds the strongest v9 add-one winners.
gbt_lean_plus_two,gbt,hybrid_confirm_0.50,0.5,13,7,0.20153083766377627,-0.2757465004226178,0.3196025473067506,0.563232091982092,0.523618259754396,0.6845350530956936,0.6364845807949625,0.04938003010352299,0.01363223550288858,-0.015774954534670444,0.5537456756206757,Adds the two strongest v9 GBT add-one winners.
gbt_lean_plus_two,gbt,classifier_only_0.50,0.5,13,7,0.20153083766377627,-0.2757465004226178,0.3196025473067506,0.563232091982092,0.523618259754396,0.6845350530956936,0.6364845807949625,0.0486435411203618,0.012895746519727396,-0.016511443517831625,0.6204983211233212,Adds the two strongest v9 GBT add-one winners.
elasticnet_lean_v1,elasticnet,classifier_only_0.60,0.6,13,7,0.20386353851037922,-0.36657611587314154,0.35450967174537623,0.5303774928774929,0.5641745873018307,0.737357813831981,0.4669788195753319,0.04671700478626247,0.010969210185628065,-0.0169047515917598,0.3586701261701262,Drops weaker macro features and adds the strongest v9 add-one winners.
elasticnet_lean_v1,elasticnet,classifier_only_0.50,0.5,13,7,0.20386353851037922,-0.36657611587314154,0.35450967174537623,0.5303774928774929,0.5641745873018307,0.737357813831981,0.4669788195753319,0.046367420004034134,0.010619625403399715,-0.017254336373988148,0.42008623321123323,Drops weaker macro features and adds the strongest v9 add-one winners.
gbt_lean_plus_two,gbt,hybrid_confirm_0.55,0.55,13,7,0.20153083766377627,-0.2757465004226178,0.3196025473067506,0.563232091982092,0.523618259754396,0.6845350530956936,0.6364845807949625,0.04784602702078805,0.012098232420153638,-0.01730895761740538,0.5404756817256817,Adds the two strongest v9 GBT add-one winners.
gbt_lean_plus_two,gbt,classifier_only_0.55,0.55,13,7,0.20153083766377627,-0.2757465004226178,0.3196025473067506,0.563232091982092,0.523618259754396,0.6845350530956936,0.6364845807949625,0.04683885353151055,0.011091058930876132,-0.01831613110668288,0.5981608669108669,Adds the two strongest v9 GBT add-one winners.
gbt_lean_plus_two,gbt,hybrid_confirm_0.60,0.6,13,7,0.20153083766377627,-0.2757465004226178,0.3196025473067506,0.563232091982092,0.523618259754396,0.6845350530956936,0.6364845807949625,0.0460636316774222,0.010315837076787793,-0.01909135296077123,0.5215404965404965,Adds the two strongest v9 GBT add-one winners.
elasticnet_lean_v1,elasticnet,hybrid_confirm_0.55,0.55,13,7,0.20386353851037922,-0.36657611587314154,0.35450967174537623,0.5303774928774929,0.5641745873018307,0.737357813831981,0.4669788195753319,0.044492374711762206,0.008744580111127793,-0.019129381666260076,0.33385810948310946,Drops weaker macro features and adds the strongest v9 add-one winners.
gbt_lean_plus_two,gbt,classifier_only_0.60,0.6,13,7,0.20153083766377627,-0.2757465004226178,0.3196025473067506,0.563232091982092,0.523618259754396,0.6845350530956936,0.6364845807949625,0.04516704022750708,0.009419245626872672,-0.019987944410686354,0.5719009462759462,Adds the two strongest v9 GBT add-one winners.
elasticnet_lean_v1,elasticnet,hybrid_confirm_0.60,0.6,13,7,0.20386353851037922,-0.36657611587314154,0.35450967174537623,0.5303774928774929,0.5641745873018307,0.737357813831981,0.4669788195753319,0.04300130516232891,0.007253510561694496,-0.020620451215693367,0.31730107855107853,Drops weaker macro features and adds the strongest v9 add-one winners.
elasticnet_lean_v1,elasticnet,hybrid_confirm_0.50,0.5,13,7,0.20386353851037922,-0.36657611587314154,0.35450967174537623,0.5303774928774929,0.5641745873018307,0.737357813831981,0.4669788195753319,0.04252533611530484,0.006777541514670423,-0.02109642026271744,0.36305911680911684,Drops weaker macro features and adds the strongest v9 add-one winners.
