experiment_mode,model_type,feature,feature_in_baseline,horizon_months,n_benchmarks,mean_n_features,mean_ic,median_ic,mean_hit_rate,mean_oos_r2,mean_mae,mean_delta_ic,median_delta_ic,mean_delta_hit_rate,mean_delta_oos_r2,mean_delta_mae,positive_delta_ic_rate,positive_delta_oos_r2_rate,gate_pass_rate
add_to_baseline,bayesian_ridge,npw_growth_yoy,False,6,8,17.0,0.26256807256796405,0.2898844614545716,0.582570060572907,-7.619313707143489,0.20808963976157197,0.03759820470660927,0.03879878862678197,0.033022199144115645,-0.4211144253575584,-0.01110248589769262,0.875,0.75,0.0
add_to_baseline,bayesian_ridge,roe,False,6,8,17.0,0.23077079467319295,0.25199958033637687,0.5537639940699712,-7.286667626009736,0.21639476028025664,0.00580092681183814,0.005107026151119812,0.004216132641180072,-0.08846834422380609,-0.002797365379007953,0.875,0.75,0.0
add_to_baseline,bayesian_ridge,high_52w,False,6,8,17.0,0.22838167242366292,0.20390208928216375,0.5806605134546311,-17.853165027742065,0.24814638237138564,0.003411804562308109,0.005934833418856575,0.03111265202583987,-10.654965745956133,0.028954256712121054,0.5,0.125,0.0
add_to_baseline,bayesian_ridge,underwriting_income,False,6,8,17.0,0.2268038686252572,0.24753566766762292,0.5544486398162869,-11.987972808817673,0.23178682859447658,0.0018340007639023933,0.011418740042951334,0.004900778387495655,-4.789773527031743,0.01259470293521199,0.625,0.25,0.0
add_to_baseline,bayesian_ridge,pgr_vs_vfh_6m,False,6,8,17.0,0.2196329571857854,0.22893015492635985,0.5725171067652093,-7.15236714813871,0.22260622340755537,-0.00533691067556942,-0.010601588678382942,0.02296924533641801,0.04583213364721961,0.003414097748290792,0.375,0.75,0.0
add_to_baseline,bayesian_ridge,underwriting_income_3m,False,6,8,17.0,0.2178054551697522,0.22420916690366405,0.5578220654240578,-7.734866889218466,0.22622568145616423,-0.007164412691602593,0.008420201429662107,0.008274203995266613,-0.5366676074325365,0.007033555796899637,0.625,0.25,0.0
add_to_baseline,bayesian_ridge,investment_book_yield,False,6,8,17.0,0.21545046244756466,0.23904849918183346,0.5504243831117646,-5944.622691641744,1.0912624759197347,-0.009519405413790118,-0.009529368862566001,0.000876521682973308,-5937.424492359958,0.8720703502604699,0.25,0.0,0.0
add_to_baseline,bayesian_ridge,medical_cpi_yoy,False,6,8,17.0,0.21490860238793258,0.22896694342417978,0.5400816922235327,-6.947388228186936,0.22193659027628604,-0.010061265473422213,0.0007778313990262631,-0.009466169205258376,0.2508110535989941,0.0027444646170214394,0.5,0.375,0.0
add_to_baseline,bayesian_ridge,pe_ratio,False,6,8,17.0,0.2068253151884859,0.2006936729560937,0.5350477754794642,-9.772446774500448,0.24083824367144444,-0.018144552672868908,-0.033092636793719696,-0.01450008594932694,-2.574247492714518,0.02164611801217984,0.25,0.25,0.0
add_to_baseline,bayesian_ridge,unearned_premium_to_npw_ratio,False,6,8,17.0,0.2055725924087431,0.24200425515080504,0.5464134248100092,-13.774996393681501,0.23209338966170748,-0.019397275452611735,-0.009977660293774018,-0.0031344366187819606,-6.576797111895571,0.012901264002442878,0.25,0.25,0.0
add_to_baseline,bayesian_ridge,pgr_vs_kie_6m,False,6,8,17.0,0.20017173218180478,0.1870308212343064,0.5506894489366027,-923.4114825547746,0.4964227775745352,-0.024798135679550023,-0.016558058668685705,0.0011415875078114174,-916.2132832729887,0.27723065191527063,0.125,0.625,0.0
add_to_baseline,bayesian_ridge,channel_mix_agency_pct,False,6,8,17.0,0.1987281830338361,0.22447765493443678,0.5494722497639956,-11.719199934988774,0.23497371012815726,-0.02624168482751867,-0.024683322372722805,-7.56116647957078e-05,-4.521000653202844,0.015781584468892693,0.25,0.5,0.0
add_to_baseline,bayesian_ridge,underwriting_income_growth_yoy,False,6,8,17.0,0.19613785854475246,0.22601247652738862,0.5434364867714014,-8.125797987236414,0.22952499253412137,-0.028832009316602333,-0.02604781243555765,-0.006111374657389833,-0.927598705450484,0.010332866874856773,0.0,0.75,0.0
add_to_baseline,bayesian_ridge,gainshare_est,False,6,8,17.0,0.19024068441223355,0.19763044370495866,0.5293372760806347,-6.198244602457931,0.22013031338140338,-0.03472918344912125,-0.03432469659266998,-0.020210585348156507,0.9999546793279981,0.0009381877221387551,0.0,0.875,0.0
add_to_baseline,bayesian_ridge,pif_growth_yoy,False,6,8,17.0,0.189437648786726,0.20100390411011543,0.563478791884864,-21.516164720158095,0.25246027145404815,-0.03553221907462879,-0.04456032279445962,0.013930930456072778,-14.317965438372166,0.03326814579478352,0.25,0.0,0.0
add_to_baseline,bayesian_ridge,pgr_vs_peers_6m,False,6,8,17.0,0.1854975078273619,0.18274878797238142,0.5434128554550757,-6.692977585334559,0.22406620264575533,-0.03947236003399289,-0.016439748213268976,-0.006135005973715642,0.5052216964513709,0.004874076986490727,0.125,0.625,0.0
add_to_baseline,bayesian_ridge,cr_acceleration,False,6,8,17.0,0.17113925560878657,0.17378545777425775,0.5500121492460203,-6.399520217878777,0.2205105884191908,-0.053830612252568244,-0.027604785044384378,0.0004642878172290074,0.7986790639071526,0.0013184627599262047,0.125,0.375,0.0
add_to_baseline,bayesian_ridge,unearned_premium_growth_yoy,False,6,8,17.0,0.1707963208460972,0.21065876518822596,0.5320328345423222,-31.580239818323427,0.2717725812321916,-0.05417354701525759,-0.057118545050800065,-0.017515026886469005,-24.382040536537495,0.052580455572927044,0.125,0.125,0.0
add_to_baseline,bayesian_ridge,used_car_cpi_yoy,False,6,8,17.0,0.16673536282738194,0.1690820058645207,0.5233721886022644,-7.576000627517255,0.23309164004521132,-0.05823450503397283,-0.06893717219521961,-0.026175672826526712,-0.3778013457313246,0.013899514385946735,0.125,0.25,0.0
add_to_baseline,bayesian_ridge,ppi_auto_ins_yoy,False,6,8,17.0,0.16445691137533935,0.228655653192077,0.5280023548216148,-11.414975486268396,0.2299471840620167,-0.06051295648601546,-0.061467698192670325,-0.02154550660717644,-4.216776204482464,0.010755058402752104,0.25,0.25,0.0
add_to_baseline,bayesian_ridge,pb_ratio,False,6,8,17.0,0.14819712822675746,0.17034584577580877,0.5183889202295274,-10.730613094983894,0.2549398262836124,-0.07677273963459733,-0.07376258837754066,-0.03115894119926378,-3.5324138131979654,0.0357477006243478,0.0,0.25,0.0
add_to_baseline,bayesian_ridge,roe_trend,False,6,8,17.0,0.12682822156934895,0.17362568709817286,0.5253360476225751,-6.896963470376546,0.23303778346408088,-0.09814164629200586,-0.05516005589979624,-0.024211813806216086,0.3012358114093845,0.013845657804816273,0.0,0.75,0.0
add_to_baseline,elasticnet,cr_acceleration,False,6,8,15.0,0.11404068798698892,0.12126801078556253,0.5679997098616644,-0.9152137711086864,0.1661357296781777,0.013966882280403069,0.020946766788300042,0.0016756937202857397,-0.050132680124112566,0.00205745365131468,0.625,0.375,0.0
add_to_baseline,elasticnet,medical_cpi_yoy,False,6,8,15.0,0.10820308025206006,0.12918526718726772,0.560630780210951,-0.7892962722423529,0.16357803050690825,0.008129274545474203,0.0067333146228828675,-0.005693235930427594,0.0757848187422209,-0.0005002455199547701,0.5,0.5,0.0
add_to_baseline,elasticnet,roe,False,6,8,15.0,0.10699010487737774,0.11699477991961976,0.5728266478053006,-0.7846621620757954,0.16104711972919394,0.006916299170791888,0.012753852276961753,0.006502631663921989,0.08041892890877847,-0.003031156297669084,0.75,0.875,0.0
add_to_baseline,elasticnet,pgr_vs_peers_6m,False,6,8,15.0,0.10389107372771281,0.10342417273557916,0.5560971716498282,-0.9790133873005538,0.16832760826835177,0.003817268021126966,0.0046847236312911635,-0.010226844491550383,-0.11393229631597987,0.004249332241488751,0.625,0.375,0.0
add_to_baseline,elasticnet,npw_growth_yoy,False,6,8,15.0,0.10375069382594387,0.1041115431783534,0.571996180240962,-0.8341075456934692,0.16396730123027387,0.0036768881193580015,0.0019095568385311262,0.005672164099583453,0.030973545291104604,-0.0001109747965891486,0.5,0.625,0.0
add_to_baseline,elasticnet,unearned_premium_to_npw_ratio,False,6,8,15.0,0.09905678406094204,0.11512638513054027,0.5667184024631842,-0.9030977988119753,0.1644339570113839,-0.0010170216456438083,-0.002212707037390682,0.00039438632180566896,-0.038016707827401436,0.0003556809845208994,0.25,0.125,0.0
add_to_baseline,elasticnet,buyback_acceleration,False,6,8,15.0,0.09731333818290315,0.08839652615488708,0.5667675645284753,-0.8734080906153856,0.1646478153178425,-0.002760467523682709,-0.0031341474310416367,0.00044354838709675937,-0.008326999630811682,0.0005695392909794844,0.25,0.375,0.0
add_to_baseline,elasticnet,gainshare_est,False,6,8,15.0,0.09710615575378692,0.10070413330930976,0.5685612533786158,-0.8368232573696139,0.16298099783275682,-0.002967649952798926,-0.0016875516533955016,0.002237237237237226,0.028257833614959926,-0.0010972781941062208,0.25,0.75,0.0
add_to_baseline,elasticnet,buyback_yield,False,6,8,15.0,0.09704364000106015,0.10472555102922204,0.5697269043236786,-0.8906721517348265,0.16427270927287868,-0.0030301657055257095,-0.00344728935326636,0.0034028881822999388,-0.025591060750252637,0.00019443324601566003,0.25,0.25,0.0
add_to_baseline,elasticnet,underwriting_income_3m,False,6,8,15.0,0.09441500530464199,0.08413408941505209,0.5565113571826096,-0.9115680653663546,0.16594225750139002,-0.005658800401943877,-0.015998270714401852,-0.00981265895876901,-0.04648697438178073,0.0018639814745270052,0.375,0.375,0.0
