universe_name,benchmark,horizon_months,candidate_type,candidate_name,policy_name,n_obs,avg_hold_fraction,mean_policy_return,median_policy_return,cumulative_policy_return,positive_utility_rate,regret_vs_oracle,uplift_vs_sell_all,uplift_vs_sell_50,uplift_vs_hold_all,capture_ratio
balanced_core7,VXUS,6,heuristic,always_sell_100,always_sell_100,175,0.0,0.0,0.0,0.0,0.0,0.1074644469887055,0.0,-0.036072372882336806,-0.07214474576467361,0.0
balanced_core7,VXUS,6,heuristic,always_sell_50,always_sell_50,175,0.5,0.036072372882336806,0.05360403330247998,6.312665254408941,0.6914285714285714,0.07139207410636868,0.036072372882336806,0.0,-0.036072372882336806,0.33566797106514684
balanced_core7,VXUS,6,heuristic,always_hold_100,always_hold_100,175,1.0,0.07214474576467361,0.10720806660495996,12.625330508817882,0.6914285714285714,0.035319701224031864,0.07214474576467361,0.036072372882336806,0.0,0.6713359421302937
balanced_core7,VXUS,6,baseline,historical_mean,sign_hold_vs_sell,102,1.0,0.07849062551106312,0.11985165033789058,8.006043802128438,0.696078431372549,0.04392036310632715,0.07849062551106312,0.03924531275553156,0.0,0.6412057152515503
balanced_core7,VXUS,6,baseline,historical_mean,tiered_25_50_100,102,0.5,0.03924531275553156,0.05992582516894529,4.003021901064219,0.696078431372549,0.08316567586185872,0.03924531275553156,0.0,-0.03924531275553156,0.3206028576257752
balanced_core7,VXUS,6,baseline,last_value,sign_hold_vs_sell,102,0.8235294117647058,0.05434486964678225,0.06770020206607741,5.543176703971789,0.5588235294117647,0.06806611897060803,0.05434486964678225,0.015099556891250686,-0.024145755864280874,0.44395417650488417
balanced_core7,VXUS,6,baseline,last_value,tiered_25_50_100,102,0.45588235294117646,0.023447836040889302,0.0,2.391679276170709,0.46078431372549017,0.09896315257650094,0.023447836040889302,-0.015797476714642256,-0.05504278947017381,0.19155009126001124
balanced_core7,VXUS,6,baseline,zero,sign_hold_vs_sell,102,0.0,0.0,0.0,0.0,0.0,0.12241098861739028,0.0,-0.03924531275553156,-0.07849062551106312,0.0
balanced_core7,VXUS,6,baseline,zero,tiered_25_50_100,102,0.0,0.0,0.0,0.0,0.0,0.12241098861739028,0.0,-0.03924531275553156,-0.07849062551106312,0.0
balanced_core7,VXUS,6,model,elasticnet,sign_hold_vs_sell,102,0.8235294117647058,0.07140693629746311,0.09022755674149929,7.283507502341237,0.5980392156862745,0.05100405231992717,0.07140693629746311,0.03216162354193155,-0.007083689213600015,0.5833376325441971
balanced_core7,VXUS,6,model,elasticnet,tiered_25_50_100,102,0.4019607843137255,0.02746014144825904,0.0017269027501445322,2.800934427722422,0.5098039215686274,0.09495084716913123,0.02746014144825904,-0.011785171307272522,-0.05103048406280408,0.22432742156906268
balanced_core7,VXUS,6,model,ridge,sign_hold_vs_sell,102,0.7745098039215687,0.050407411953185925,0.0034538055002890644,5.141556019224964,0.5098039215686274,0.07200357666420436,0.050407411953185925,0.011162099197654369,-0.028083213557877195,0.4117882922319999
