experiment_mode,feature,feature_in_baseline,benchmark,horizon_months,model_type,n_features,feature_columns,gate_status,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value
single_feature,npw_growth_yoy,False,VHT,6,gbt,1,npw_growth_yoy,FAIL,186,0.0383632645079196,0.553763440860215,0.157588267299173,-1.3013741442755293,0.0383632645079196,0.7471252746904407
add_to_baseline,npw_growth_yoy,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,npw_growth_yoy",FAIL,186,0.14388524092142116,0.6129032258064516,0.1472989747356692,-0.6277359769918376,0.14388524092142116,0.19038505594917832
single_feature,underwriting_income,False,VHT,6,gbt,1,underwriting_income,FAIL,186,0.031228523387045813,0.4946236559139785,0.14002071851834064,-0.448947852493107,0.031228523387045813,0.7981462202623174
add_to_baseline,underwriting_income,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,underwriting_income",FAIL,186,0.17738436527421986,0.5967741935483871,0.13767358359946968,-0.444140846009625,0.17738436527421986,0.11478358946347847
single_feature,underwriting_income_3m,False,VHT,6,gbt,1,underwriting_income_3m,FAIL,186,0.15921153918317651,0.5698924731182796,0.13460429464729487,-0.4475302055401782,0.15921153918317651,0.18103838424644997
add_to_baseline,underwriting_income_3m,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,underwriting_income_3m",FAIL,186,0.21072757814874146,0.6451612903225806,0.13322860257921273,-0.3345587226646114,0.21072757814874146,0.061184429715256276
single_feature,underwriting_income_growth_yoy,False,VHT,6,gbt,1,underwriting_income_growth_yoy,FAIL,186,0.26310587277062,0.6129032258064516,0.13588036825581817,-0.5975239722981145,0.26310587277062,0.008447232685027539
add_to_baseline,underwriting_income_growth_yoy,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,underwriting_income_growth_yoy",FAIL,186,0.14549898106363351,0.6075268817204301,0.1354258750099875,-0.4093473895919222,0.14549898106363351,0.1699645605712757
single_feature,unearned_premium_growth_yoy,False,VHT,6,gbt,1,unearned_premium_growth_yoy,FAIL,186,0.26790769328495495,0.6451612903225806,0.15767050993623724,-1.5187058422594015,0.26790769328495495,0.016416856121286842
add_to_baseline,unearned_premium_growth_yoy,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,unearned_premium_growth_yoy",FAIL,186,0.15245048674217385,0.6129032258064516,0.1473276458049628,-0.6355410161177244,0.15245048674217385,0.20504664792836044
single_feature,unearned_premium_to_npw_ratio,False,VHT,6,gbt,1,unearned_premium_to_npw_ratio,FAIL,186,0.15889248310879056,0.553763440860215,0.13469194502977277,-0.3680843484945908,0.15889248310879056,0.11898861537427487
add_to_baseline,unearned_premium_to_npw_ratio,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,unearned_premium_to_npw_ratio",FAIL,186,0.15544100876843248,0.6021505376344086,0.13435038985254158,-0.384397684366623,0.15544100876843248,0.15518890648233236
single_feature,roe_net_income_ttm,False,VHT,6,gbt,1,roe_net_income_ttm,FAIL,186,0.005204243363942359,0.5483870967741935,0.1517759154420303,-0.721265101348568,0.005204243363942359,0.9667456062479401
add_to_baseline,roe_net_income_ttm,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,roe_net_income_ttm",FAIL,186,0.1603618674148551,0.6182795698924731,0.13511935565041863,-0.41066210757517485,0.1603618674148551,0.15067048490334364
single_feature,roe_trend,False,VHT,6,gbt,1,roe_trend,FAIL,186,0.081657930140956,0.5967741935483871,0.13840292213350042,-0.6574125648331597,0.081657930140956,0.5582215200307128
add_to_baseline,roe_trend,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,roe_trend",FAIL,186,0.152606491007859,0.6075268817204301,0.13425238076378182,-0.3682095173491027,0.152606491007859,0.19628922218856784
single_feature,investment_income_growth_yoy,False,VHT,6,gbt,1,investment_income_growth_yoy,FAIL,186,0.0759907197082339,0.532258064516129,0.12855181588606682,-0.23447058812336574,0.0759907197082339,0.4746986987853014
add_to_baseline,investment_income_growth_yoy,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy",FAIL,186,0.09507762442668412,0.5645161290322581,0.13476126068520122,-0.34760229263025866,0.09507762442668412,0.3909517770899591
single_feature,investment_book_yield,False,VHT,6,gbt,1,investment_book_yield,FAIL,186,-0.005677485674267279,0.5913978494623656,0.12720155827048574,-0.18418304037631383,-0.005677485674267279,0.966001497699498
add_to_baseline,investment_book_yield,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_book_yield",FAIL,186,0.15178061908191437,0.5860215053763441,0.13487814205821297,-0.4029307211776234,0.15178061908191437,0.19219937642402457
single_feature,buyback_yield,False,VHT,6,gbt,1,buyback_yield,FAIL,186,-0.11771661802286873,0.4946236559139785,0.1396877857024938,-0.5193158557723674,-0.11771661802286873,0.27299495928415873
add_to_baseline,buyback_yield,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,buyback_yield",FAIL,186,0.14628517506308106,0.6021505376344086,0.1358980971602187,-0.43677737348886847,0.14628517506308106,0.21127590007842936
single_feature,buyback_acceleration,False,VHT,6,gbt,1,buyback_acceleration,FAIL,186,-0.03734930115831859,0.553763440860215,0.13451057804359426,-0.37992750211204385,-0.03734930115831859,0.7168582524157181
add_to_baseline,buyback_acceleration,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,buyback_acceleration",FAIL,186,0.125968994960999,0.6182795698924731,0.13532451885798488,-0.4150170836841516,0.125968994960999,0.2595714370215042
single_feature,yield_slope,True,VHT,6,gbt,1,yield_slope,FAIL,186,0.3180923757084668,0.6612903225806451,0.12013942461454749,-0.01863936892616147,0.3180923757084668,0.00281789341960603
drop_from_baseline,yield_slope,True,VHT,6,gbt,10,"mom_3m,mom_6m,mom_12m,vol_63d,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy",FAIL,186,0.07053094960552884,0.5591397849462365,0.15591702414903869,-0.8198426236222347,0.07053094960552884,0.5403303536508185
single_feature,yield_curvature,True,VHT,6,gbt,1,yield_curvature,FAIL,186,0.22743565541190416,0.5967741935483871,0.12135484488991004,-0.23643235906930538,0.22743565541190416,0.0787999225518829
drop_from_baseline,yield_curvature,True,VHT,6,gbt,10,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy",FAIL,186,0.16628078613589295,0.6075268817204301,0.13794557287331413,-0.417636297514405,0.16628078613589295,0.15430608232210202
single_feature,real_rate_10y,True,VHT,6,gbt,1,real_rate_10y,FAIL,186,0.11552997468257852,0.5913978494623656,0.13127537584950025,-0.3678198580694525,0.11552997468257852,0.37134419475681113
drop_from_baseline,real_rate_10y,True,VHT,6,gbt,10,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,vmt_yoy",FAIL,186,0.10819112198780474,0.5645161290322581,0.1368356957891359,-0.4442577856682719,0.10819112198780474,0.3339612716262546
single_feature,credit_spread_hy,True,VHT,6,gbt,1,credit_spread_hy,FAIL,186,-0.11012938836472196,0.489247311827957,0.143346351667852,-0.6358545416211496,-0.11012938836472196,0.4451670710934969
drop_from_baseline,credit_spread_hy,True,VHT,6,gbt,10,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,nfci,vix,vmt_yoy",FAIL,186,0.11028526617721203,0.6075268817204301,0.1416020401851612,-0.4705185225965469,0.11028526617721203,0.3063942467388027
single_feature,nfci,True,VHT,6,gbt,1,nfci,FAIL,186,0.04636533985615499,0.5752688172043011,0.13922523622844943,-0.5727749427838176,0.04636533985615499,0.6681384504558562
drop_from_baseline,nfci,True,VHT,6,gbt,10,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,vix,vmt_yoy",FAIL,186,0.15562219506100922,0.6129032258064516,0.13724844739060543,-0.4084325289364845,0.15562219506100922,0.1856531807367844
single_feature,vix,True,VHT,6,gbt,1,vix,FAIL,186,-0.06351568746605357,0.510752688172043,0.13788932253631775,-0.4417253018692715,-0.06351568746605357,0.5122412544388587
drop_from_baseline,vix,True,VHT,6,gbt,10,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vmt_yoy",FAIL,186,0.1673315874693559,0.6075268817204301,0.13347946630403038,-0.3994631386637013,0.1673315874693559,0.15083205932094362
single_feature,vmt_yoy,True,VHT,6,gbt,1,vmt_yoy,FAIL,186,-0.008369141145179162,0.5698924731182796,0.1468938427227623,-0.694773333694116,-0.008369141145179162,0.9389941757320571
drop_from_baseline,vmt_yoy,True,VHT,6,gbt,10,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix",FAIL,186,0.1281144763193602,0.6397849462365591,0.13476431447323775,-0.37043552845549566,0.1281144763193602,0.28374785332184116
single_feature,used_car_cpi_yoy,False,VHT,6,gbt,1,used_car_cpi_yoy,FAIL,186,0.012573155865842426,0.5,0.1339646726495905,-0.4035733993548354,0.012573155865842426,0.9158897149875331
add_to_baseline,used_car_cpi_yoy,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,used_car_cpi_yoy",FAIL,186,0.12675459434260591,0.5806451612903226,0.13774901712972934,-0.43006358216862384,0.12675459434260591,0.29333182888437503
single_feature,medical_cpi_yoy,False,VHT,6,gbt,1,medical_cpi_yoy,FAIL,186,0.15161274287772078,0.5806451612903226,0.12911359223673105,-0.21977043606058788,0.15161274287772078,0.21138050998632787
add_to_baseline,medical_cpi_yoy,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,medical_cpi_yoy",FAIL,186,0.20735155689707843,0.6290322580645161,0.13195163894512968,-0.3731653696997188,0.20735155689707843,0.0670471923328957
single_feature,ppi_auto_ins_yoy,False,VHT,6,gbt,1,ppi_auto_ins_yoy,FAIL,186,0.10656579847721188,0.5698924731182796,0.13548087202254674,-0.38564229900526525,0.10656579847721188,0.36703191416584646
add_to_baseline,ppi_auto_ins_yoy,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,ppi_auto_ins_yoy",FAIL,186,0.22527642624109412,0.6612903225806451,0.12625172285289954,-0.21542233219028373,0.22527642624109412,0.061170023968337324
single_feature,pgr_vs_kie_6m,False,VHT,6,gbt,1,pgr_vs_kie_6m,FAIL,186,-0.016255143634898835,0.510752688172043,0.1334381677132604,-0.30512063021805846,-0.016255143634898835,0.8835407926373766
add_to_baseline,pgr_vs_kie_6m,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pgr_vs_kie_6m",FAIL,186,0.1285255452411704,0.5752688172043011,0.13651590471344455,-0.42059205006214007,0.1285255452411704,0.27463851586785176
single_feature,pgr_vs_peers_6m,False,VHT,6,gbt,1,pgr_vs_peers_6m,FAIL,186,0.2548892354231008,0.5860215053763441,0.1297346714473504,-0.4562052225304427,0.2548892354231008,0.012089617936736338
add_to_baseline,pgr_vs_peers_6m,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pgr_vs_peers_6m",FAIL,186,0.14642338298656432,0.6129032258064516,0.13623549681759967,-0.4442608868554063,0.14642338298656432,0.2026106457659382
single_feature,pgr_vs_vfh_6m,False,VHT,6,gbt,1,pgr_vs_vfh_6m,FAIL,186,-0.009643243840268888,0.5483870967741935,0.13452005528890434,-0.34078262119503044,-0.009643243840268888,0.9345446366433956
add_to_baseline,pgr_vs_vfh_6m,False,VHT,6,gbt,12,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pgr_vs_vfh_6m",FAIL,186,0.12257718304129593,0.6182795698924731,0.1357972500740435,-0.4377177938213983,0.12257718304129593,0.2884668608956902
baseline,__baseline__,True,GLD,6,elasticnet,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income",FAIL,180,0.19473345290442312,0.6,0.17236836315883944,-0.6460493850593165,0.19473345290442312,0.14727434007739967
single_feature,mom_3m,True,GLD,6,elasticnet,1,mom_3m,FAIL,180,0.17162369583050333,0.6444444444444445,0.15199449678455204,-0.17785271634471167,0.17162369583050333,0.22201296833533601
drop_from_baseline,mom_3m,True,GLD,6,elasticnet,13,"mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income",FAIL,180,0.16393421025908217,0.5888888888888889,0.17577024750193052,-0.7329644164552827,0.16393421025908217,0.22051377676952166
