universe_name,candidate_type,candidate_name,policy_name,horizon_months,n_benchmarks,mean_policy_return,median_policy_return,mean_positive_utility_rate,mean_regret_vs_oracle,mean_uplift_vs_sell_all,mean_uplift_vs_sell_50,mean_uplift_vs_hold_all,mean_capture_ratio,mean_hold_fraction
full21,baseline,historical_mean,sign_hold_vs_sell,6,21,0.06013139525845418,0.05464608331292158,0.5581795346314032,0.04698028552259736,0.06013139525845418,0.02574325113729623,-0.00864489298386172,0.5227594480889672,0.8231705201830738
full21,model,gbt,sign_hold_vs_sell,6,21,0.05855549618844008,0.05612032658707107,0.4964164339758461,0.04855618459261146,0.05855549618844008,0.024167352067282134,-0.010220792053875815,0.5230795350318488,0.7182788234638122
full21,ensemble,ensemble,sign_hold_vs_sell,6,21,0.053508738419536454,0.04595756334380477,0.45552217862009625,0.053602942361515096,0.053508738419536454,0.019120594298378486,-0.015267549822779456,0.4792669213042562,0.668712206307279
full21,model,elasticnet,sign_hold_vs_sell,6,21,0.05168923619583364,0.046317968672292494,0.45439797996596765,0.05542244458521789,0.05168923619583364,0.017301092074675704,-0.017087052046482244,0.45817908284588427,0.6720741769439942
full21,model,bayesian_ridge,sign_hold_vs_sell,6,21,0.04985617984261652,0.04405427868347653,0.39352693333912603,0.057255500938435025,0.04985617984261652,0.015468035721458575,-0.01892010839969937,0.4557443398764697,0.5721484542929913
full21,model,ridge,sign_hold_vs_sell,6,21,0.04464473065843501,0.034481693807942984,0.4126392203911212,0.06246695012261653,0.04464473065843501,0.01025658653727707,-0.024131557583880876,0.3912714743864753,0.6313682504371415
full21,baseline,last_value,sign_hold_vs_sell,6,21,0.04400265202678393,0.04627487231122126,0.46011542307989794,0.0631090287542676,0.04400265202678393,0.009614507905625983,-0.024773636215531962,0.3756855148977149,0.695856944124783
full21,heuristic,always_hold_100,always_hold_100,6,21,0.0367368332193797,0.025390507614616024,0.6204470818322516,0.05506720156185292,0.0367368332193797,0.01836841660968985,0.0,0.3520768121415857,1.0
full21,model,bayesian_ridge,tiered_25_50_100,6,21,0.029784244152973434,0.028381834016309653,0.3279695133590425,0.0773274366280781,0.029784244152973434,-0.004603899968184516,-0.038992044089342454,0.27214349478712485,0.29417189102552266
full21,model,gbt,tiered_25_50_100,6,21,0.02850871799043687,0.02685493940450325,0.37690613087009406,0.07860296279061467,0.02850871799043687,-0.005879426130721073,-0.04026757025187901,0.25208776075448075,0.3212423249853498
full21,ensemble,ensemble,tiered_25_50_100,6,21,0.025362238964255327,0.021124664130000744,0.3262121853148622,0.08174944181679622,0.025362238964255327,-0.009025905156902629,-0.04341404927806057,0.22816596382036597,0.27805396132932486
full21,model,elasticnet,tiered_25_50_100,6,21,0.022872785747612215,0.0184896738599015,0.3227837847990206,0.08423889503343933,0.022872785747612215,-0.011515358373545732,-0.04590350249470369,0.2004452152958204,0.2759859000437588
full21,baseline,historical_mean,tiered_25_50_100,6,21,0.022145413143450615,0.016231011327860787,0.4086679954740054,0.08496626763760093,0.022145413143450615,-0.01224273097770733,-0.04663087509886527,0.18853778562916693,0.30892973780686317
full21,baseline,last_value,tiered_25_50_100,6,21,0.02144806212713342,0.021337178701311216,0.37662506512264365,0.08566361865391811,0.02144806212713342,-0.012940081994024527,-0.04732822611518247,0.18418024262296404,0.36112126343611767
full21,model,ridge,tiered_25_50_100,6,21,0.02099390415524481,0.019458506175403695,0.3075560715307362,0.08611777662580675,0.02099390415524481,-0.013394239965913136,-0.047782384087071084,0.18680016474654926,0.26290558103595096
full21,heuristic,always_sell_50,always_sell_50,6,21,0.01836841660968985,0.012695253807308012,0.6204470818322516,0.07343561817154277,0.01836841660968985,0.0,-0.01836841660968985,0.17603840607079285,0.5
full21,heuristic,always_sell_100,always_sell_100,6,21,0.0,0.0,0.0,0.09180403478123261,0.0,-0.01836841660968985,-0.0367368332193797,0.0,0.0
full21,baseline,zero,sign_hold_vs_sell,6,21,0.0,0.0,0.0,0.10711168078105154,0.0,-0.034388144121157954,-0.06877628824231591,0.0,0.0
full21,baseline,zero,tiered_25_50_100,6,21,0.0,0.0,0.0,0.10711168078105154,0.0,-0.034388144121157954,-0.06877628824231591,0.0,0.0
