date,benchmark,model_type,predicted,realized,slice_pre_2020,slice_2020_2021,slice_post_2022,slice_trailing_36m,vix,slice_low_vix,slice_high_vix
2011-07-29,VTI,elasticnet,-0.2710407016186626,0.03205655218357051,True,False,False,False,14.75,True,False
2011-08-31,VTI,elasticnet,-0.11918221277990554,0.01724380636139866,True,False,False,False,16.52,True,False
2011-09-30,VTI,elasticnet,-0.19718522006546507,0.0661938581132493,True,False,False,False,25.25,False,True
2011-10-31,VTI,elasticnet,-0.14552112929656194,0.02105000107914523,True,False,False,False,31.62,False,True
2011-11-30,VTI,elasticnet,-0.22715667710177273,0.10221297316781408,True,False,False,False,42.96,False,True
2011-12-30,VTI,elasticnet,-0.28472029570662255,-0.005577003947328407,True,False,False,False,42.96,False,True
2012-01-31,VTI,elasticnet,-0.37700820336023405,-0.08443911471208199,True,False,False,False,27.8,False,True
2012-02-29,VTI,elasticnet,-0.3469060464049073,-0.11071146931551867,True,False,False,False,23.4,False,True
2012-03-30,VTI,elasticnet,0.028220145457367014,-0.13461276323820404,True,False,False,False,23.4,False,True
2012-04-30,VTI,elasticnet,0.028220145457367014,0.03828236144580277,True,False,False,False,18.43,True,False
2012-05-31,VTI,elasticnet,0.028220145457367014,-0.059285018618381535,True,False,False,False,15.5,True,False
2012-06-29,VTI,elasticnet,0.028220145457367014,-0.00013147394213208763,True,False,False,False,15.5,True,False
2012-07-31,VTI,elasticnet,0.028220145457367014,0.10100229964677632,True,False,False,False,24.06,False,True
2012-08-31,VTI,elasticnet,0.028220145457367014,0.2405438101905475,True,False,False,False,17.08,True,False
2012-09-28,VTI,elasticnet,0.04632892579607168,0.1758908486348847,True,False,False,False,17.08,True,False
2012-10-31,VTI,elasticnet,0.04632892579607168,0.038649367905807974,True,False,False,False,17.47,True,False
2012-11-30,VTI,elasticnet,0.04632892579607168,0.04819927840992477,True,False,False,False,15.73,True,False
2012-12-31,VTI,elasticnet,0.04632892579607168,0.07532376510603456,True,False,False,False,18.6,True,False
2013-01-31,VTI,elasticnet,0.04632892579607168,0.009077272268506853,True,False,False,False,15.87,True,False
2013-02-28,VTI,elasticnet,0.04632892579607168,-0.08338579802455781,True,False,False,False,18.02,True,False
2013-03-29,VTI,elasticnet,0.05182049581443581,-0.016927232140046877,True,False,False,False,18.02,True,False
2013-04-30,VTI,elasticnet,0.05182049581443581,-0.08561126027840893,True,False,False,False,15.51,True,False
2013-05-31,VTI,elasticnet,0.05182049581443581,-0.028678999806481364,True,False,False,False,12.7,True,False
2013-06-28,VTI,elasticnet,0.05182049581443581,-0.10240915324276378,True,False,False,False,12.7,True,False
2013-07-31,VTI,elasticnet,0.05182049581443581,-0.14179825644937782,True,False,False,False,16.3,True,False
2013-08-30,VTI,elasticnet,0.05182049581443581,-0.14430901123776607,True,False,False,False,16.3,True,False
2013-09-30,VTI,elasticnet,-0.009925177857139415,-0.19344065562557833,True,False,False,False,13.45,True,False
2013-10-31,VTI,elasticnet,0.03916822866321552,-0.12763139872059182,True,False,False,False,17.01,True,False
2013-11-29,VTI,elasticnet,0.031150658518559568,-0.12447649758898771,True,False,False,False,17.01,True,False
2013-12-31,VTI,elasticnet,-0.03960435953235534,-0.10303064757175329,True,False,False,False,13.75,True,False
2014-01-31,VTI,elasticnet,0.03214410356820598,-0.06811973509225555,True,False,False,False,13.7,True,False
2014-02-28,VTI,elasticnet,0.029562373834458498,-0.054290630300608544,True,False,False,False,13.72,True,False
