variant,n,gate_lower,gate_upper,r2,ic,hit_rate,policy_mean_return,uplift_vs_sell_50,capture_ratio,avg_hold_fraction,version
A_gate_40_60,162,0.4,0.6,-0.21343614522995846,0.17961636301982983,0.6296296296296297,0.07233552554617834,0.025203014494957522,0.6197374718138563,0.7098765432098766,v73
B_gate_35_65,162,0.35,0.65,-0.21535898899887274,0.22812116761464746,0.5617283950617284,0.07091703926574262,0.023784528214521816,0.6075845345869239,0.6882716049382716,v73
