horizon_months,model_name,target_kind,n_obs,fold_count,n_features,target_mae,target_rmse,growth_mae,growth_rmse,future_bvps_mae,future_bvps_rmse,directional_hit_rate,spearman_ic,mean_predicted_growth,mean_realized_growth,target_variant,feature_block
1,no_change_bvps,growth,186,31,0,0.027541312203044576,0.037363264805726104,0.027541312203044576,0.037363264805726104,0.7195698924731183,1.3408294656346043,0.23655913978494625,,0.0,0.009984494206776858,raw,baseline
1,drift_bvps_growth,growth,186,31,0,0.02453083503557744,0.03630330893799383,0.02453083503557744,0.03630330893799383,0.6419204596496533,1.3254844713991771,0.7311827956989247,0.07951843653360821,0.007380239713373652,0.009984494206776858,raw,baseline
1,trailing_3m_growth,growth,186,31,0,0.029470618726674964,0.043844704279225793,0.029470618726674964,0.043844704279225793,0.7783696700024697,1.5793641737645532,0.5913978494623656,-0.0875228969195761,0.012722468201172505,0.009984494206776858,raw,baseline
1,seasonal_month_drift,growth,186,31,0,0.0247413125608073,0.03763702648910089,0.0247413125608073,0.03763702648910089,0.651088721051085,1.3212313776360773,0.7419354838709677,0.062289255367168256,0.014567541157938256,0.009984494206776858,raw,baseline
1,ridge_bridge,growth,186,31,9,0.02467688382759924,0.03636812829983288,0.02467688382759924,0.03636812829983288,0.6432740192085705,1.3306751759513877,0.7258064516129032,0.09644224179328544,0.007087675672661357,0.009984494206776858,raw,bvps_lags
1,elastic_net_bridge,growth,186,31,9,0.030680564078549914,0.04231709973585191,0.030680564078549914,0.04231709973585191,0.8221310319780741,1.5226598827636757,0.5645161290322581,0.06574602893388472,0.0035970007544231398,0.009984494206776858,raw,bvps_lags
1,ridge_bridge,growth,186,31,11,0.0266462219756332,0.04165287469536276,0.0266462219756332,0.04165287469536276,0.7108267591543794,1.4799635885595257,0.6989247311827957,0.09089976642158805,0.005293104237871898,0.009984494206776858,raw,accounting_core
1,elastic_net_bridge,growth,186,31,11,0.030576670860323188,0.046051635292975464,0.030576670860323188,0.046051635292975464,0.7679297203764678,1.5276080834961048,0.6720430107526881,0.23342642280023682,0.009489959056621373,0.009984494206776858,raw,accounting_core
1,ridge_bridge,growth,186,31,6,0.02859176708108388,0.04877706660708292,0.02859176708108388,0.04877706660708292,0.7772158025723155,1.7066442855041029,0.7043010752688172,0.0901482127288579,0.0033850572796417207,0.009984494206776858,raw,logical_interactions
1,elastic_net_bridge,growth,186,31,6,0.023310211067956273,0.03622714193256371,0.023310211067956273,0.03622714193256371,0.5981960411053975,1.3149381094507113,0.7150537634408602,0.31324217092718043,0.012806266397897646,0.009984494206776858,raw,logical_interactions
1,ridge_bridge,growth,186,31,26,0.032334756972000424,0.0672469875745273,0.032334756972000424,0.0672469875745273,0.8964991521339445,2.2949694391779194,0.6935483870967742,0.11654583684944216,-0.0004782829277858477,0.009984494206776858,raw,bridge_combined
1,elastic_net_bridge,growth,186,31,26,0.8743774047048046,5.1615889945927576,0.8743774047048046,5.1615889945927576,28.74744407516738,172.34367294384694,0.6075268817204301,0.06805104224459062,-0.8323531378248694,0.009984494206776858,raw,bridge_combined
3,no_change_bvps,growth,180,30,0,0.05734220958934048,0.07022380347177538,0.05734220958934048,0.07022380347177538,1.4983333333333329,2.3280366071959526,0.25555555555555554,,0.0,0.03190318601597351,raw,baseline
3,drift_bvps_growth,growth,180,30,0,0.0496652182375334,0.0644462131467366,0.0496652182375334,0.0644462131467366,1.3176057199805766,2.236455318305588,0.7222222222222222,0.06383892969381581,0.023705160742614185,0.03190318601597351,raw,baseline
3,trailing_3m_growth,growth,180,30,0,0.05055346265912698,0.06779810851538248,0.05055346265912698,0.06779810851538248,1.3214727354992415,2.477867225480124,0.6444444444444445,0.41957296555343415,0.02343987345122752,0.03190318601597351,raw,baseline
3,seasonal_month_drift,growth,180,30,0,0.048109968509336215,0.06428390322257277,0.048109968509336215,0.06428390322257277,1.3315129461382986,2.17744291903684,0.7222222222222222,0.08879145252305494,0.033109102714960335,0.03190318601597351,raw,baseline
3,ridge_bridge,growth,180,30,9,0.049265119405050635,0.06435128565813641,0.049265119405050635,0.06435128565813641,1.3075301021031802,2.2507522411329988,0.7166666666666667,0.16023128285852442,0.023100435462343392,0.03190318601597351,raw,bvps_lags
3,elastic_net_bridge,growth,180,30,9,0.0603502277403047,0.07964445355695983,0.0603502277403047,0.07964445355695983,1.591948649698965,2.5827941041224456,0.5166666666666667,0.2226735393067687,0.014280690686569002,0.03190318601597351,raw,bvps_lags
3,ridge_bridge,growth,180,30,11,0.09017811392820628,0.25255252864244115,0.09017811392820628,0.25255252864244115,2.8354414967200134,9.344214254388488,0.7222222222222222,0.23699496898052405,0.07273546106756833,0.03190318601597351,raw,accounting_core
