model,n_obs,n_covered,coverage,balanced_accuracy_all,balanced_accuracy_covered,brier_score,log_loss,ece,base_rate_positive
path_a_investable_pool_matched_v126,84,64,0.7619,0.5353,0.5,0.2058,0.6132,0.1269,0.2738
path_b_composite_logistic_matched_v126,84,70,0.8333,0.6112,0.645,0.2188,0.8207,0.2234,0.2738
