candidate_name,model_type,candidate_feature,replace_feature,priority_rank,research_source,candidate_available_now,status,notes,n_benchmarks,mean_ic,mean_ic_delta,mean_hit_rate,mean_hit_rate_delta,mean_oos_r2,mean_oos_r2_delta,mean_policy_return_sign,mean_policy_return_sign_delta,mean_policy_return_neutral_3pct,mean_policy_return_neutral_3pct_delta,mean_mae,mean_mae_delta
gbt_lean_plus_two,gbt,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued_engineer,Highest-priority new feature,8,0.16723595077554437,0.06206720627686024,0.6526978425469805,0.030083356139390616,-0.23548369264807906,0.11737480126739387,0.07412975555836689,0.005694548897709983,0.07113736532082585,0.0016942227899440585,0.15283453138308206,-0.007992201891227168
gbt_lean_plus_two,gbt,breakeven_momentum_3m,vol_63d,32,geminipro,True,queued_engineer,Use after breakeven level,8,0.1005069801419804,-0.004661764356703749,0.6419729520160554,0.019358465608465603,-0.3396221669593326,0.013236326956140299,0.07186141028754686,0.0034262036268899645,0.0695276000242514,8.445749336961732e-05,0.16009898491719787,-0.0007277483571113477
gbt_lean_plus_two,gbt,baa10y_spread,credit_spread_hy,29,chatgpt;gemini,True,queued_engineer,Test before harder credit variants,8,0.06619295875977413,-0.038975785738910015,0.6344614349571247,0.011846948549534761,-0.36293061936058146,-0.010072125445108548,0.0709791323640071,0.0025439257033502017,0.07012452725217934,0.0006813847212975557,0.16169467202017898,0.0008679387458697813
gbt_lean_plus_two,gbt,severity_index_yoy,vmt_yoy,9,chatgpt,True,queued_engineer,Build from existing CPI components,8,0.12694639893383033,0.021777654435146208,0.6297772988505748,0.007162812442984862,-0.3025278261033296,0.05033066781214332,0.0702957303413157,0.0018605236806588004,0.07021497097690818,0.0007718284460263881,0.15750884370141072,-0.003317889572898516
gbt_lean_plus_two,gbt,duration_rate_shock_3m,real_rate_10y,18,chatgpt,True,queued_engineer,High-value benchmark-aware feature,8,0.08096407483996867,-0.02420466965871546,0.6300789089582193,0.007464422550629457,-0.3635927857815522,-0.010734291866079299,0.06981613680719423,0.001380930146537323,0.06744179691436634,-0.002001345616515447,0.16217243270911935,0.0013456994348101277
gbt_lean_plus_two,gbt,medical_cpi_yoy,vmt_yoy,3,chatgpt,True,queued_available,Pair with used car CPI later,8,0.11913965423971462,0.013970909741030496,0.6190250410509031,-0.0035894453566867046,-0.3339471971151765,0.01891129680029638,0.06959379865508057,0.0011585919944236672,0.0695199370946829,7.679456380111933e-05,0.160137768614079,-0.0006889646602301971
gbt_lean_plus_two,gbt,real_yield_change_6m,real_rate_10y,33,geminipro,True,queued_engineer,Compare to existing real rate level,8,0.0801002245138554,-0.02506851998482873,0.6282186188651706,0.005604132457580735,-0.36167220365974706,-0.008813709744274145,0.06944304673940932,0.0010078400787524294,0.07168137563423124,0.0022382331033494463,0.1608211662110144,-5.567063294818764e-06
gbt_lean_plus_two,gbt,breakeven_inflation_10y,yield_curvature,31,claude,True,queued_engineer,Level version first,8,0.0502501566073813,-0.05491858789130284,0.6288555920452472,0.006241105637657382,-0.3929927845681605,-0.04013429065268759,0.06936578302201311,0.0009305763613562086,0.0684011717980571,-0.00104197073282468,0.1645753953200288,0.003748662045719598
ridge_lean_v1,ridge,book_value_per_share_growth_yoy,roe_net_income_ttm,17,claude,True,queued_engineer,Strong balance-sheet candidate,8,0.19271791220926127,-0.08050711585483923,0.6521670315635832,0.0021998722860791867,-0.5202621075694643,0.12717410543045443,0.07277184576305129,0.0008053920542659527,0.07146996424932317,0.0007985475330359714,0.16461889510660463,-0.0005856340095261175
ridge_lean_v1,ridge,baa10y_spread,credit_spread_hy,29,chatgpt;gemini,True,queued_engineer,Test before harder credit variants,8,0.2750907196575952,0.0018656915934946892,0.6554739098704616,0.0055067505929574795,-0.6949806772853008,-0.04754446428538206,0.07222301686821012,0.0002565631594247759,0.07251401685682339,0.0018426001405361806,0.16590533821704656,0.000700809100915795
gbt_lean_plus_two,gbt,pgr_vs_peers_6m,mom_3m,5,claude,True,queued_available,Immediate repo-ready relative feature,8,0.05192281897064424,-0.0532459255280399,0.6221886973180076,-0.0004257890895821778,-0.3805255147773558,-0.0276670208618829,0.06863350120924532,0.00019829454858840984,0.0673542817941335,-0.0020888607367482766,0.1631895321635803,0.0023627988892710866
ridge_lean_v1,ridge,npw_vs_npe_spread_pct,npw_growth_yoy,14,chatgpt;claude,True,queued_engineer,Use after npw per pif,8,0.25736010280571636,-0.015864925258384104,0.6355631955847473,-0.014403963692756816,-0.4200054652642622,0.22743074773565655,0.07213712492826141,0.0001706712194760535,0.07042852706756977,-0.00024288964871743268,0.15935973912892878,-0.005844789987201957
ridge_lean_v1,ridge,underwriting_margin_ttm,combined_ratio_ttm,15,chatgpt,True,queued_engineer,Strong Ridge candidate,8,0.26354480090028887,-0.009680227163811634,0.645983967341726,-0.003983191935778133,-0.5696596509098633,0.07777656209005562,0.07198013977395246,1.3686065167101483e-05,0.07046726729449057,-0.00020414942179662696,0.162921152764387,-0.00228337635174374
gbt_lean_plus_two,gbt,used_car_cpi_yoy,vmt_yoy,2,chatgpt;claude,True,queued_available,Pair with medical CPI later,8,0.10260978155060746,-0.0025589629480766863,0.6177262360883051,-0.004888250319284776,-0.3249514783382914,0.027907015577181532,0.06815730521769854,-0.00027790144295836237,0.06800626038992552,-0.0014368821409562627,0.15977082900737968,-0.0010559042669295287
ridge_lean_v1,ridge,duration_rate_shock_3m,real_rate_10y,18,chatgpt,True,queued_engineer,High-value benchmark-aware feature,8,0.30137865662245167,0.02815362855835115,0.6315974502827951,-0.018369708994708994,-0.7671470970238634,-0.11971088402394456,0.0704200352956316,-0.001546418413153762,0.07048448887864739,-0.00018692783763980814,0.16694903739585087,0.0017445082797201347
