model_type,spec,mean_ic,mean_hit_rate,mean_mae,mean_oos_r2,avg_n_obs,n_features,obs_per_feature,delta_ic_vs_B
bayesian_ridge,B_plus_C_best1_plus_E_top2,0.20460680334832557,0.5266404877363131,0.20072201502746945,-4.057094918049948,235.75,14.0,16.839285714285715,0.1262177246871622
bayesian_ridge,B_plus_E_top3_underwriting,0.2026828340134455,0.542871699973218,0.1950218717825429,-2.1520175154325893,235.75,14.0,16.839285714285715,0.12429375535228213
bayesian_ridge,B_plus_E_top2,0.19748937689325344,0.5421130784484675,0.19083108337014604,-2.0488296006815707,235.75,13.0,18.134615384615383,0.11910029823209006
bayesian_ridge,B_plus_C_best2_plus_E_top2,0.1559956108124766,0.5497877312796667,0.1944699504575089,-2.1070914304822708,235.75,15.0,15.716666666666667,0.07760653215131322
bayesian_ridge,B_plus_C_best2,0.09024339556836657,0.5458320844563729,0.2007655932313146,-2.1689772293863254,235.75,13.0,18.134615384615383,0.011854316907203191
bayesian_ridge,B_only,0.07838907866116337,0.5290742830116644,0.19570597806261214,-2.05431395592438,235.75,11.0,21.431818181818183,0.0
ridge,B_plus_C_best1_plus_E_top2,0.099617619002029,0.5195647188934666,0.1638993802717296,-0.9959363564336534,235.75,14.0,16.839285714285715,0.0917706733092834
ridge,B_plus_E_top3_underwriting,0.09831338598111303,0.5189616632761794,0.1663790575591204,-0.906189229349461,235.75,14.0,16.839285714285715,0.09046644028836742
ridge,B_plus_E_top2,0.07067274111450235,0.5114952357480821,0.16295423911001308,-0.7760923434798571,235.75,13.0,18.134615384615383,0.06282579542175674
ridge,B_plus_C_best2_plus_E_top2,0.06923874704463885,0.5332241871852877,0.16578605294576332,-1.0270314590727092,235.75,15.0,15.716666666666667,0.06139180135189324
ridge,B_plus_C_best2,0.036581893162903,0.5262409800692534,0.1708851893050044,-1.0322191718959912,235.75,13.0,18.134615384615383,0.02873494747015739
ridge,B_only,0.00784694569274561,0.5112623819265185,0.16944459419198246,-0.9619827853695259,235.75,11.0,21.431818181818183,0.0
