spec,mean_ic,mean_hit_rate,mean_mae,mean_oos_r2,avg_n_obs,n_features,obs_per_feature,delta_ic_vs_B
elasticnet_B_plus_E_top3_underwriting,0.1006755707594955,0.5663240161413786,0.16401651107777107,-0.863432717630936,235.75,14.0,16.839285714285715,0.0945267022882497
elasticnet_B_plus_E_top2,0.08837299944852943,0.5761151996398676,0.16075619146607506,-0.7770117068769891,235.75,13.0,18.134615384615383,0.08222413097728364
elasticnet_B_plus_C_best1_plus_E_top2,0.07840383489983423,0.5605893108478497,0.16428926479537534,-0.9123340382827265,235.75,14.0,16.839285714285715,0.07225496642858843
elasticnet_B_plus_C_pe_pif_plus_E_top2,0.04860658170341703,0.571382794084407,0.16249140920903807,-0.8000589342089414,235.75,15.0,15.716666666666667,0.042457713232171235
elasticnet_B_plus_C_best2,0.04335756210000614,0.5781654947167281,0.16203159011228044,-0.8429866480695306,235.75,13.0,18.134615384615383,0.037208693628760336
elasticnet_B_plus_C_best2_plus_E_top2,0.037763064200908594,0.5632935259737917,0.16205740792974016,-0.8212257978533555,235.75,15.0,15.716666666666667,0.0316141957296628
elasticnet_B_only,0.006148868471245798,0.5498864068052872,0.1685309625257472,-1.0048652750178226,235.75,11.0,21.431818181818183,0.0
