feature_group,benchmark,model_type,horizon_months,n_obs,n_features,ic,hit_rate,mae,oos_r2
A_price_only,VTI,elasticnet,6,291,4,-0.08166388230315172,0.45495495495495497,0.18398632393818232,-1.4145617231643204
A_price_only,VTI,gbt,6,291,4,0.08449959604482468,0.5135135135135135,0.16430222411855022,-0.9160604190163408
A_price_only,VOO,elasticnet,6,180,4,-0.15328549044336934,0.37962962962962965,0.1900492447392087,-1.0634173935905156
A_price_only,VOO,gbt,6,180,4,-0.20189692266160186,0.39814814814814814,0.30770764344593643,-7.115855558232932
A_price_only,VFH,elasticnet,6,259,4,-0.10599874872619683,0.44086021505376344,0.16187851767596603,-0.913907451535571
A_price_only,VFH,gbt,6,259,4,0.11242031929022064,0.5161290322580645,0.17123340974054385,-1.1490629430857582
A_price_only,BND,elasticnet,6,221,4,0.043718657639235894,0.6666666666666666,0.13403321270436155,-0.6434446076336204
A_price_only,BND,gbt,6,221,4,0.0031842830505275197,0.5533333333333333,0.14742404106043794,-0.6804199086981684
A_price_only,VHT,elasticnet,6,259,4,0.046185414374929706,0.5752688172043011,0.15070712707673437,-0.7028758269978221
A_price_only,VHT,gbt,6,259,4,0.13501923213761352,0.5698924731182796,0.16384248329155826,-0.991664675782894
A_price_only,GLD,elasticnet,6,250,4,0.07833556943956489,0.6166666666666667,0.17656983424026607,-0.6138229807625313
A_price_only,GLD,gbt,6,250,4,0.05688376013864955,0.5166666666666667,0.22394290024217725,-1.4166879713180816
A_price_only,VNQ,elasticnet,6,251,4,0.003812601210351032,0.55,0.18780510459232472,-1.3210791740795815
A_price_only,VNQ,gbt,6,251,4,0.08824729298241374,0.48333333333333334,0.18811901600950826,-1.1865696941691262
A_price_only,VXUS,elasticnet,6,175,4,-0.16740332680941508,0.6470588235294118,0.16393639262631354,-0.31570598250781456
A_price_only,VXUS,gbt,6,175,4,-0.13655706383720334,0.5882352941176471,0.1730125103546102,-0.44920694094159996
B_plus_macro,VTI,elasticnet,6,291,11,-0.0885833413130521,0.45045045045045046,0.18493433977665752,-2.3258437183136187
B_plus_macro,VTI,gbt,6,291,11,0.11807697971559737,0.6036036036036037,0.15469283591623773,-0.6901464103604962
B_plus_macro,VOO,elasticnet,6,180,11,-0.15910176077473073,0.35185185185185186,0.20786565795438797,-1.6335898602976182
B_plus_macro,VOO,gbt,6,180,11,0.013194748776392855,0.5370370370370371,0.2599971020932929,-5.2604282989888045
B_plus_macro,VFH,elasticnet,6,259,11,0.004567106570795138,0.489247311827957,0.1506852537265114,-0.8345720638763476
B_plus_macro,VFH,gbt,6,259,11,0.2713768668369754,0.5752688172043011,0.1361314927834808,-0.43597016064078065
B_plus_macro,BND,elasticnet,6,221,11,-0.014853739141739066,0.6733333333333333,0.13955006621130925,-0.7031996036258397
B_plus_macro,BND,gbt,6,221,11,0.09783997177203556,0.6466666666666666,0.13139961630800945,-0.36821503226111885
B_plus_macro,VHT,elasticnet,6,259,11,0.15347617777220057,0.5913978494623656,0.13560746271529436,-0.40269347630723007
B_plus_macro,VHT,gbt,6,259,11,0.12189317994034707,0.6021505376344086,0.13237666612933915,-0.3284533183835432
B_plus_macro,GLD,elasticnet,6,250,11,0.1126677969893835,0.6055555555555555,0.18027360192311895,-0.7052450490828357
B_plus_macro,GLD,gbt,6,250,11,0.05549988374125926,0.5388888888888889,0.18779605262919208,-0.6686570915137946
B_plus_macro,VNQ,elasticnet,6,251,11,0.1357525505040574,0.6,0.17819144057305308,-0.9701323279630123
B_plus_macro,VNQ,gbt,6,251,11,0.1438760691707927,0.5722222222222222,0.17220426009426598,-0.9363434552739216
B_plus_macro,VXUS,elasticnet,6,175,11,-0.09473384283694836,0.6372549019607843,0.17113987732564503,-0.4636461006760795
B_plus_macro,VXUS,gbt,6,175,11,0.13418302725173237,0.6764705882352942,0.1489487007506607,-0.12205009954748358
C_plus_edgar_core,VTI,elasticnet,6,291,16,-0.03485859106713601,0.49099099099099097,0.18869209394985445,-2.0389466848255373
C_plus_edgar_core,VTI,gbt,6,291,16,0.016129775262706706,0.5225225225225225,0.16323208872767966,-1.0437536406288994
C_plus_edgar_core,VOO,elasticnet,6,180,16,-0.06715333720820783,0.4351851851851852,0.20045303405040288,-1.42481822606545
C_plus_edgar_core,VOO,gbt,6,180,16,-0.059487770710261234,0.3888888888888889,0.16792417219525133,-0.5841655492245434
