subset_label,benchmark,n_obs,n_features,ic,hit_rate,mae,oos_r2
B_plus_C__pif_growth_yoy,VNQ,251,12,0.14473735957214956,0.6,0.17380469262903955,-0.8642209304703896
B_plus_C__pif_growth_yoy,VXUS,175,12,-0.16843036417067858,0.6764705882352942,0.16718833658780816,-0.38959055697571277
B_plus_C__gainshare_est,VTI,291,12,-0.13824052586499003,0.4369369369369369,0.17957384313826638,-1.9283752151998734
B_plus_C__gainshare_est,VOO,180,12,-0.14456604395341127,0.3425925925925926,0.21091517154854347,-1.653502023543762
B_plus_C__gainshare_est,VFH,259,12,-0.021500583242000996,0.4731182795698925,0.16089577084270204,-0.943841667310156
B_plus_C__gainshare_est,BND,221,12,-0.0040241843263205445,0.6466666666666666,0.14095878860905894,-0.7051672017508781
B_plus_C__gainshare_est,VHT,259,12,0.16550946927249907,0.5913978494623656,0.13892416810885705,-0.5070335144394376
B_plus_C__gainshare_est,GLD,250,12,0.07977134840119081,0.6,0.1819795362307795,-0.7418457192123824
B_plus_C__gainshare_est,VNQ,251,12,0.1634920636286958,0.6277777777777778,0.16976955120594497,-0.8936953838430681
B_plus_C__gainshare_est,VXUS,175,12,-0.10450211211378638,0.6666666666666666,0.1679322897200528,-0.3879152612752441
B_plus_C__pe_ratio,VTI,291,12,-0.052754899238373294,0.46846846846846846,0.17951986605514805,-1.8987694891367215
B_plus_C__pe_ratio,VOO,180,12,-0.04021053942260794,0.37037037037037035,0.2191402931235612,-1.8693118578191958
B_plus_C__pe_ratio,VFH,259,12,-0.0010706798128203028,0.489247311827957,0.14780357239238492,-0.6929517974616333
B_plus_C__pe_ratio,BND,221,12,-0.03962246662854906,0.6733333333333333,0.13641248941319561,-0.6018108949367575
B_plus_C__pe_ratio,VHT,259,12,0.165275393564727,0.5913978494623656,0.13727803606341077,-0.41760111875906625
B_plus_C__pe_ratio,GLD,250,12,0.03850889216689171,0.5666666666666667,0.19102786064573998,-0.8725790693106876
B_plus_C__pe_ratio,VNQ,251,12,0.1820263204682094,0.6,0.16669992768739664,-0.712165372655398
B_plus_C__pe_ratio,VXUS,175,12,-0.09931582245705514,0.6274509803921569,0.17430528805974319,-0.4658351876237079
B_plus_C__pb_ratio,VTI,291,12,-0.1279784570288995,0.40540540540540543,0.18443275773812084,-1.423084550070326
B_plus_C__pb_ratio,VOO,180,12,-0.1462559313752028,0.3055555555555556,0.24832415608601638,-3.1312008003724623
B_plus_C__pb_ratio,VFH,259,12,-0.10417368205782122,0.41397849462365593,0.17322235173226458,-1.127058037721227
B_plus_C__pb_ratio,BND,221,12,-0.07437095959177918,0.5933333333333334,0.1716325762200683,-1.5191787174637823
B_plus_C__pb_ratio,VHT,259,12,0.02690745260800879,0.521505376344086,0.1550501412072824,-0.7063696204228802
B_plus_C__pb_ratio,GLD,250,12,0.05013549283865599,0.6,0.1954048250501548,-0.9775234891035851
B_plus_C__pb_ratio,VNQ,251,12,0.06447354224723728,0.5277777777777778,0.18425769350394386,-1.1936895159698642
B_plus_C__pb_ratio,VXUS,175,12,-0.08413628497601015,0.4803921568627451,0.21009709555583894,-0.9987325508367932
B_plus_C__combined_ratio_ttm__pif_growth_yoy,VTI,291,13,-0.0052559715523081505,0.5045045045045045,0.1834020210451951,-2.203157498192137
B_plus_C__combined_ratio_ttm__pif_growth_yoy,VOO,180,13,-0.008429309126610348,0.4537037037037037,0.17332890024893202,-0.8107589389110847
B_plus_C__combined_ratio_ttm__pif_growth_yoy,VFH,259,13,0.02346600408909141,0.5053763440860215,0.14975816629501162,-0.7590577251095749
B_plus_C__combined_ratio_ttm__pif_growth_yoy,BND,221,13,0.0029394453645244308,0.6933333333333334,0.13370556217141513,-0.5467175528368302
B_plus_C__combined_ratio_ttm__pif_growth_yoy,VHT,259,13,0.11079576047103344,0.5752688172043011,0.14227923389771407,-0.4619161010629278
B_plus_C__combined_ratio_ttm__pif_growth_yoy,GLD,250,13,0.2641122913388085,0.6388888888888888,0.1622817376996488,-0.49140196600603314
B_plus_C__combined_ratio_ttm__pif_growth_yoy,VNQ,251,13,0.0964503119415737,0.5777777777777777,0.1851197127457017,-1.0891026910219548
B_plus_C__combined_ratio_ttm__pif_growth_yoy,VXUS,175,13,-0.13721803572606386,0.6764705882352942,0.16637738679462508,-0.3817807114157026
B_plus_C__combined_ratio_ttm__gainshare_est,VTI,291,13,-0.12300887115197479,0.44144144144144143,0.1903717265890385,-2.484444912613492
B_plus_C__combined_ratio_ttm__gainshare_est,VOO,180,13,-0.14243102267015828,0.3425925925925926,0.21438979706148725,-1.7849666131184447
B_plus_C__combined_ratio_ttm__gainshare_est,VFH,259,13,-0.028047563998435762,0.46774193548387094,0.1612679375818397,-0.927363401723921
B_plus_C__combined_ratio_ttm__gainshare_est,BND,221,13,-0.019578502530013225,0.66,0.135483520678422,-0.5880492890607238
B_plus_C__combined_ratio_ttm__gainshare_est,VHT,259,13,0.1433368103507985,0.5698924731182796,0.14092290781152222,-0.5596626669319338
B_plus_C__combined_ratio_ttm__gainshare_est,GLD,250,13,0.16251591955667474,0.5944444444444444,0.17687564023836724,-0.6811223636706689
B_plus_C__combined_ratio_ttm__gainshare_est,VNQ,251,13,0.1280180059575902,0.6055555555555555,0.17638826507219796,-1.0231860857571342
B_plus_C__combined_ratio_ttm__gainshare_est,VXUS,175,13,-0.0842995650527346,0.6666666666666666,0.16736878448489456,-0.40213582363545974
B_plus_C__combined_ratio_ttm__pe_ratio,VTI,291,13,-0.04990660827466477,0.46846846846846846,0.20641959776501845,-5.078360686693506
B_plus_C__combined_ratio_ttm__pe_ratio,VOO,180,13,-0.12066444036922208,0.37962962962962965,0.20883072377885148,-1.6890327382256731
B_plus_C__combined_ratio_ttm__pe_ratio,VFH,259,13,-0.022070200980624295,0.489247311827957,0.14291335439330452,-0.6387150499366572
B_plus_C__combined_ratio_ttm__pe_ratio,BND,221,13,-0.07248183691769866,0.68,0.13493443352685755,-0.5393357220672967
B_plus_C__combined_ratio_ttm__pe_ratio,VHT,259,13,0.16177501057674273,0.5913978494623656,0.13638958913596247,-0.40486866549612155
B_plus_C__combined_ratio_ttm__pe_ratio,GLD,250,13,0.09737171515750678,0.5777777777777777,0.18540192265084943,-0.7838641530973456
B_plus_C__combined_ratio_ttm__pe_ratio,VNQ,251,13,0.1469998543173755,0.5833333333333334,0.17506629050666792,-0.83223811652994
B_plus_C__combined_ratio_ttm__pe_ratio,VXUS,175,13,-0.059260314336446886,0.6862745098039216,0.16795737656915383,-0.39308290174491045
B_plus_C__combined_ratio_ttm__pb_ratio,VTI,291,13,-0.09547785473342256,0.42792792792792794,0.21107544374088502,-3.4445734215240886
B_plus_C__combined_ratio_ttm__pb_ratio,VOO,180,13,-0.13776130930437072,0.32407407407407407,0.24649503471816261,-3.213258445990352
B_plus_C__combined_ratio_ttm__pb_ratio,VFH,259,13,-0.04523780053695308,0.44623655913978494,0.15957005509891237,-0.8060725173877898
B_plus_C__combined_ratio_ttm__pb_ratio,BND,221,13,-0.07581891830002169,0.58,0.16353822031366425,-1.3886673173570925
B_plus_C__combined_ratio_ttm__pb_ratio,VHT,259,13,0.048750735821518815,0.5161290322580645,0.1523355008366973,-0.669845096028501
B_plus_C__combined_ratio_ttm__pb_ratio,GLD,250,13,0.09476428857103322,0.5666666666666667,0.19310906045064843,-0.9623353545078783
B_plus_C__combined_ratio_ttm__pb_ratio,VNQ,251,13,0.0629084599436633,0.5166666666666667,0.19118200637574415,-1.2804092082905343
B_plus_C__combined_ratio_ttm__pb_ratio,VXUS,175,13,-0.0557359474752458,0.5392156862745098,0.20477479253875122,-0.9578014340662939
B_plus_C__pif_growth_yoy__gainshare_est,VTI,291,13,-0.11500688957441224,0.4864864864864865,0.18662054430516947,-2.578328590996946
B_plus_C__pif_growth_yoy__gainshare_est,VOO,180,13,-0.16380498570820706,0.42592592592592593,0.17732588375034603,-0.8507870682641032
B_plus_C__pif_growth_yoy__gainshare_est,VFH,259,13,-0.0471795031374814,0.4731182795698925,0.1649337785266802,-1.0309646076051506
B_plus_C__pif_growth_yoy__gainshare_est,BND,221,13,0.048306302103998756,0.6733333333333333,0.13169191061307695,-0.5001348603578446
B_plus_C__pif_growth_yoy__gainshare_est,VHT,259,13,0.17002947211294928,0.6021505376344086,0.14080935091188942,-0.41256236520789935
B_plus_C__pif_growth_yoy__gainshare_est,GLD,250,13,0.10262843290438033,0.5944444444444444,0.18277593923901034,-0.7426379194475385
B_plus_C__pif_growth_yoy__gainshare_est,VNQ,251,13,0.17811110414847095,0.6277777777777778,0.1773037828570774,-0.9419217132550783
B_plus_C__pif_growth_yoy__gainshare_est,VXUS,175,13,-0.18764269510993778,0.6568627450980392,0.16874673851378647,-0.3785250276539196
B_plus_C__pif_growth_yoy__pe_ratio,VTI,291,13,-0.07471686015804557,0.49099099099099097,0.1819069017320437,-1.8294602296270024
B_plus_C__pif_growth_yoy__pe_ratio,VOO,180,13,-0.03946246393668203,0.4537037037037037,0.18109827211683413,-0.9340916942152566
B_plus_C__pif_growth_yoy__pe_ratio,VFH,259,13,0.10134208671224879,0.5,0.1468009210945258,-0.7855759202219856
B_plus_C__pif_growth_yoy__pe_ratio,BND,221,13,0.011316795869511245,0.68,0.1315865516845699,-0.511852977655862
B_plus_C__pif_growth_yoy__pe_ratio,VHT,259,13,0.14270932125592223,0.5860215053763441,0.14145073470724287,-0.435416307320049
B_plus_C__pif_growth_yoy__pe_ratio,GLD,250,13,0.13280941551529768,0.6277777777777778,0.17273375168017444,-0.5793824223458732
