bucket,subset_label,mean_ic,mean_hit_rate,mean_mae,mean_oos_r2,avg_n_obs,n_features,obs_per_feature,delta_ic_vs_B
baseline,B_only,0.006148868471245798,0.5498864068052872,0.1685309625257472,-1.0048652750178226,235.75,11.0,21.431818181818183,0.0
group_c_single,B_plus_C__pe_ratio,0.0191045248300528,0.5483668725651648,0.16902341668007254,-0.941378098462896,235.75,12.0,19.645833333333332,0.012955656358807001
group_c_single,B_plus_C__combined_ratio_ttm,0.015755194174522726,0.5570200157462966,0.16838927541902154,-1.020519765549617,235.75,12.0,19.645833333333332,0.009606325703276929
group_c_single,B_plus_C__pif_growth_yoy,0.009167470015484607,0.5733206498718832,0.16177643381965032,-0.8255428943813907,235.75,12.0,19.645833333333332,0.0030186015442388095
group_c_single,B_plus_C__gainshare_est,-0.0005075710247654398,0.5481445962091124,0.16886863992552564,-0.9701719983218502,235.75,12.0,19.645833333333332,-0.006656439496011237
group_c_single,B_plus_C__pb_ratio,-0.04942485341697635,0.4809935124878199,0.19030269963671126,-1.384604660245115,235.75,12.0,19.645833333333332,-0.05557372188822214
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__underwriting_income,0.1006755707594955,0.5663240161413786,0.16401651107777107,-0.863432717630936,235.75,14.0,16.839285714285715,0.0945267022882497
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__underwriting_income_3m,0.09744950817267195,0.5487206727600465,0.16475242310756805,-0.873749188528694,235.75,14.0,16.839285714285715,0.09130063970142616
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__underwriting_income_3m__underwriting_income,0.09437750169584799,0.5552858669865312,0.16598224303753964,-0.9113224057220376,235.75,15.0,15.716666666666667,0.0882286332246022
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__investment_book_yield,0.0934757156082232,0.5840407461541237,0.1618617668593595,-0.8103055292212522,235.75,14.0,16.839285714285715,0.0873268471369774
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm,0.08837299944852943,0.5761151996398676,0.16075619146607506,-0.7770117068769891,235.75,13.0,18.134615384615383,0.08222413097728364
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__underwriting_income_3m__investment_book_yield,0.08770206076557287,0.5596127151819752,0.16680230840957294,-0.9211943658019186,235.75,15.0,15.716666666666667,0.08155319229432707
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__underwriting_income_3m__unearned_premium_growth_yoy,0.08138464917202762,0.5487609264862585,0.1695609942554937,-0.88788039717028,235.75,15.0,15.716666666666667,0.07523578070078182
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__investment_book_yield__unearned_premium_growth_yoy,0.0809402872091173,0.5898514881105014,0.16434420665910981,-0.8187991634227354,235.75,15.0,15.716666666666667,0.07479141873787151
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__investment_book_yield__underwriting_income,0.08076100728776718,0.5597887783419093,0.16787113184449728,-0.9339045362437401,235.75,15.0,15.716666666666667,0.07461213881652139
group_e_subset,B_plus_E__roe_net_income_ttm__investment_book_yield__underwriting_income,0.08047110967300228,0.5605673082950122,0.16793888242327043,-0.9889850481680472,235.75,14.0,16.839285714285715,0.07432224120175648
group_e_subset,B_plus_E__investment_income_growth_yoy__roe_net_income_ttm__unearned_premium_growth_yoy,0.07867086212128024,0.5785476843066976,0.16249240111219154,-0.7176369296085447,235.75,14.0,16.839285714285715,0.07252199365003445
