as_of,path_name,candidate_name,policy_name,consensus,confidence_tier,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,aggregate_nw_ic,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow,signal_agrees_with_live,mode_agrees_with_live,sell_agrees_with_live
2025-06-30,ensemble_ridge_gbt_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.15477977047450187,0.16348066800571695,0.6789576965759752,-0.13532060299512283,0.18812449331121636,False,True,True,True,True,True
2025-06-30,ensemble_ridge_gbt_v18,ensemble_ridge_gbt_v18,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1632318796656418,0.1515881305644775,0.6683650558764878,-0.19283429091002846,0.1825059034435329,False,True,True,True,True,True
2025-06-30,ensemble_ridge_gbt_v20_value,ensemble_ridge_gbt_v20_value,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1584836335704246,0.19294535199711144,0.6719661535044885,-0.1781951049348105,0.20254431687108607,False,True,True,True,True,True
2025-06-30,ensemble_ridge_gbt_v20_best,ensemble_ridge_gbt_v20_best,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.16429268957464732,0.18249154732738976,0.668807331227174,-0.18339913994493773,0.19381195379906754,False,True,True,True,True,True
2025-06-30,ensemble_ridge_gbt_v20_usd,ensemble_ridge_gbt_v20_usd,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.16927306738720482,0.14935519106887668,0.6602686506477297,-0.2485274982960135,0.165661859528098,False,True,True,True,True,True
2025-06-30,ensemble_ridge_gbt_v20_pricing,ensemble_ridge_gbt_v20_pricing,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1544049990028283,0.13131429699475372,0.6483300630529821,-0.24781624938575386,0.15093376651694687,False,True,True,True,True,True
2025-07-31,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.052676261248378015,-0.13638377575236404,0.6434146415676366,-0.15179178459109122,0.0016144071981528294,True,True,True,False,True,True
2025-07-31,live_production_ensemble_reduced,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.0919419548333372,0.1421248281241585,0.5910067843963952,-0.8091768477491765,0.12734219320684334,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1565290008716262,0.18052636024176533,0.680956774472241,-0.13191007341821726,0.20452642945498664,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v18,ensemble_ridge_gbt_v18,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.14388543521591668,0.19184118620658341,0.669313146395212,-0.12951411155946668,0.2166901212300752,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v20_value,ensemble_ridge_gbt_v20_value,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.16279647206166742,0.21186779516474114,0.6717561759697493,-0.21744500375605402,0.22520030944824285,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v20_best,ensemble_ridge_gbt_v20_best,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.15680157575172876,0.22586646365016053,0.6697998209500914,-0.19350162006706673,0.2342241566631533,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v20_usd,ensemble_ridge_gbt_v20_usd,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1804547970440013,0.18183422761286855,0.6495052494177749,-0.2771375721198792,0.1928230290290342,False,True,True,True,True,True
2025-07-31,ensemble_ridge_gbt_v20_pricing,ensemble_ridge_gbt_v20_pricing,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.16263585846083306,0.17537405410308565,0.6472539628878372,-0.2530046281475149,0.18634171895768914,False,True,True,True,True,True
2025-08-29,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05164367618829994,-0.14988405684042405,0.6355455006311199,-0.1555119357051855,-0.011906904964802172,True,True,True,False,True,True
2025-08-29,live_production_ensemble_reduced,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.09025750248074067,0.12370096880835019,0.5918509757373115,-0.8218247350710923,0.12980016839058198,False,True,True,True,True,True
2025-08-29,ensemble_ridge_gbt_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.17612241683731428,0.2117708933557201,0.6909959181629228,-0.12336380902890332,0.22480730870413562,False,True,True,True,True,True
2025-08-29,ensemble_ridge_gbt_v18,ensemble_ridge_gbt_v18,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.16770150166187875,0.19041218605944935,0.6856880743996194,-0.154869646670865,0.21251216414185475,False,True,True,True,True,True
2025-08-29,ensemble_ridge_gbt_v20_value,ensemble_ridge_gbt_v20_value,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1854010449856351,0.24560768369777408,0.6855269607843137,-0.15750840966877178,0.24660360631897146,False,True,True,True,True,True
2025-08-29,ensemble_ridge_gbt_v20_best,ensemble_ridge_gbt_v20_best,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.180020514687972,0.2278664306518191,0.6849061553101444,-0.15995953788265682,0.23629072345147678,False,True,True,True,True,True
2025-08-29,ensemble_ridge_gbt_v20_usd,ensemble_ridge_gbt_v20_usd,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1911017294294745,0.19695065097902856,0.666506429519445,-0.20973186876414296,0.20401696874270234,False,True,True,True,True,True
2025-08-29,ensemble_ridge_gbt_v20_pricing,ensemble_ridge_gbt_v20_pricing,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.18112287084847722,0.17655015698139037,0.6712613471314451,-0.21183524817804367,0.18261937534101835,False,True,True,True,True,True
2025-09-30,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True,False,True,True
2025-09-30,live_production_ensemble_reduced,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.09665351698222843,0.13428802537231796,0.5829353386707484,-0.7883033439398377,0.1428332289934383,False,True,True,True,True,True
2025-09-30,ensemble_ridge_gbt_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.14005127883273774,0.16571046452791194,0.678798006750593,-0.15235303921027854,0.16737206613799335,False,True,True,True,True,True
2025-09-30,ensemble_ridge_gbt_v18,ensemble_ridge_gbt_v18,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1528525234958733,0.19110054199654147,0.6857258027732166,-0.13260373398808478,0.20057585812473178,False,True,True,True,True,True
2025-09-30,ensemble_ridge_gbt_v20_value,ensemble_ridge_gbt_v20_value,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1725203129859517,0.18885911828207116,0.6738738368910783,-0.16773286527421338,0.18564106827484333,False,True,True,True,True,True
2025-09-30,ensemble_ridge_gbt_v20_best,ensemble_ridge_gbt_v20_best,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1753782007473794,0.1888651553320395,0.6664424831235176,-0.15046529040891876,0.19778479924383507,False,True,True,True,True,True
2025-09-30,ensemble_ridge_gbt_v20_usd,ensemble_ridge_gbt_v20_usd,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1664455067943751,0.15320358280765128,0.6648485677796023,-0.20327344204388131,0.16335822323027416,False,True,True,True,True,True
