path_name,review_months,mean_predicted,mean_ic,mean_hit_rate,mean_aggregate_oos_r2,mean_sell_pct,signal_changes,mode_changes,signal_agreement_with_shadow_rate,mode_agreement_with_shadow_rate,sell_agreement_with_shadow_rate,signal_agreement_with_live_rate,mode_agreement_with_live_rate,sell_agreement_with_live_rate,outperform_rate,neutral_rate,underperform_rate
shadow_baseline,12,0.05348494323481339,-0.1300579043947634,0.6310956860609535,-0.15654473749475967,0.5,0,0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.0,0.0
live_production_ensemble_reduced,12,-0.06692333828407235,0.1405918527146631,0.5891560860851461,-0.786501551609192,0.5,5,0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.6666666666666666
ensemble_ridge_gbt_v16,12,-0.1540168880464954,0.17392686086059073,0.6815450389064514,-0.14403424665722378,0.5,0,0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0
ensemble_ridge_gbt_v18,12,-0.16118743764556664,0.18458493999998704,0.680933403912079,-0.1453170017759164,0.5,0,0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0
ensemble_ridge_gbt_v20_best,12,-0.17776587377628283,0.1922411976432502,0.6705578133120785,-0.15907963868993566,0.5,0,0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0
ensemble_ridge_gbt_v20_value,12,-0.17568303011762498,0.19753901687953376,0.6763049840596488,-0.16878749063541496,0.5,0,0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0
ensemble_ridge_gbt_v20_usd,12,-0.1745441469833354,0.15758778903045692,0.663734429957734,-0.21309741486274872,0.5,0,0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0
ensemble_ridge_gbt_v20_pricing,12,-0.1740208497417728,0.14477402863403785,0.6600988315928084,-0.2180087713730666,0.5,0,0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0
