mode,benchmark,mean_policy_return,avg_hold_fraction,balanced_accuracy,brier_score,disagreement_rate
reporting_only,VOO,0.04232026291612196,0.6388888888888888,0.7103718199608611,0.18763509669796563,0.3333333333333333
disagreement_flag_only,VOO,0.04232026291612196,0.6388888888888888,0.7103718199608611,0.18763509669796563,0.3333333333333333
abstain_only_overlay,VOO,0.056716654160933,0.6666666666666666,0.7103718199608611,0.18763509669796563,0.3333333333333333
reporting_only,VXUS,0.08464142323787795,0.7407407407407407,0.7796052631578947,0.14905456418200633,0.3055555555555556
disagreement_flag_only,VXUS,0.08464142323787795,0.7407407407407407,0.7796052631578947,0.14905456418200633,0.3055555555555556
abstain_only_overlay,VXUS,0.09688138777344904,0.7592592592592593,0.7796052631578947,0.14905456418200633,0.3055555555555556
reporting_only,VWO,0.07732951399077878,0.7011494252873564,0.6845838587641866,0.2184618943066785,0.3218390804597701
disagreement_flag_only,VWO,0.07732951399077878,0.7011494252873564,0.6845838587641866,0.2184618943066785,0.3218390804597701
abstain_only_overlay,VWO,0.07711164264851053,0.6896551724137931,0.6845838587641866,0.2184618943066785,0.3218390804597701
reporting_only,VMBS,0.10904321170108601,0.7333333333333333,0.7222222222222222,0.20786902034019952,0.31666666666666665
disagreement_flag_only,VMBS,0.10904321170108601,0.7333333333333333,0.7222222222222222,0.20786902034019952,0.31666666666666665
abstain_only_overlay,VMBS,0.10816423279589008,0.6958333333333333,0.7222222222222222,0.20786902034019952,0.31666666666666665
reporting_only,BND,0.09263298066431477,0.7266666666666667,0.6515507518796992,0.23739968392500851,0.3333333333333333
disagreement_flag_only,BND,0.09263298066431477,0.7266666666666667,0.6515507518796992,0.23739968392500851,0.3333333333333333
abstain_only_overlay,BND,0.09226327354929857,0.71,0.6515507518796992,0.23739968392500851,0.3333333333333333
reporting_only,GLD,0.04506103311082259,0.6888888888888889,0.6499999999999999,0.25737286360555856,0.4222222222222222
disagreement_flag_only,GLD,0.04506103311082259,0.6888888888888889,0.6499999999999999,0.25737286360555856,0.4222222222222222
abstain_only_overlay,GLD,0.05645009322227187,0.6083333333333333,0.6499999999999999,0.25737286360555856,0.4222222222222222
reporting_only,DBC,0.07194425610954636,0.8035714285714286,0.6794717887154862,0.22738857046840813,0.34523809523809523
disagreement_flag_only,DBC,0.07194425610954636,0.8035714285714286,0.6794717887154862,0.22738857046840813,0.34523809523809523
abstain_only_overlay,DBC,0.09334964981155912,0.7738095238095238,0.6794717887154862,0.22738857046840813,0.34523809523809523
reporting_only,VDE,0.05275894793973435,0.7666666666666667,0.5279106858054227,0.30592813759195137,0.26666666666666666
disagreement_flag_only,VDE,0.05275894793973435,0.7666666666666667,0.5279106858054227,0.30592813759195137,0.26666666666666666
abstain_only_overlay,VDE,0.05821084494288393,0.7638888888888888,0.5279106858054227,0.30592813759195137,0.26666666666666666
reporting_only,VFH,0.03639079357075442,0.640625,0.6330737517178195,0.25343518201173737,0.3489583333333333
disagreement_flag_only,VFH,0.03639079357075442,0.640625,0.6330737517178195,0.25343518201173737,0.3489583333333333
abstain_only_overlay,VFH,0.043142564325689685,0.6510416666666666,0.6330737517178195,0.25343518201173737,0.3489583333333333
