benchmark,classifier_raw_prob_actionable_sell,classifier_prob_actionable_sell,classifier_history_obs,classifier_weight,classifier_weighted_contribution,classifier_shadow_tier,is_contextual
BND,0.8883448908030279,0.2567612819977868,150,0.15021145770342675,0.03856848645068818,HIGH,False
DBC,0.895200472335318,0.47214429293781035,168,0.14168949875341302,0.06689788820564295,LOW,True
GLD,0.8933429756005217,0.4068336985519173,180,0.1204581761840142,0.04900644533776098,LOW,True
VDE,0.7781937412868957,0.35867616623898596,180,0.11503516753475715,0.041260372874026154,MODERATE,True
VMBS,0.7750115144056705,0.27712180406599746,120,0.13978250129285252,0.038736778935132915,HIGH,True
VOO,0.5860662004467572,0.42998324647369895,108,0.09375,0.040310929356909275,LOW,False
VWO,0.7124046060339114,0.3454309667596846,174,0.12293709883865456,0.04246628090246734,MODERATE,False
VXUS,0.565509564764548,0.36541875357483217,108,0.11613609969288183,0.042438308794815326,MODERATE,False
