candidate_name,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_uplift_vs_sell_50_sign,policy_return_neutral_3pct,policy_uplift_vs_sell_50_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
ridge_lean_v1,ridge,DBC,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.07194425610954636,0.02112741213985822,0.07322841565809138,0.022411571688403242,168,-0.011431912168899735,0.6190476190476191,0.22002672756463598,-1.8851341789706435,-0.011431912168899735,0.9302758810672411,
ridge_lean_v1,ridge,VDE,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.05275894793973435,0.020800046823562932,0.04781648749412203,0.015857586377950615,180,-0.00365237610214307,0.6,0.21879437369355703,-0.9009342872606698,-0.00365237610214307,0.9790166514144086,
bayesian_ridge_current,bayesian_ridge,VOO,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.03718590695145562,0.011255543777359137,0.03629415396307629,0.01036379078897981,108,0.22727142816313697,0.4537037037037037,0.25363010746837994,-7.231707139517573,0.22727142816313697,0.08982176417826054,
bayesian_ridge_current,bayesian_ridge,VXUS,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.04322868984836185,0.0039314536978824885,0.04333445569737899,0.004037219546899633,108,0.10016481370335438,0.48148148148148145,0.23773579028908104,-4.367267510893556,0.10016481370335438,0.5527829068739782,
bayesian_ridge_current,bayesian_ridge,VWO,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.058612718862814654,0.018472346776814568,0.0577443865221133,0.01760401443611321,174,0.09650730373871694,0.5287356321839081,0.19671344583792308,-1.2876729313140758,0.09650730373871694,0.42411417082654373,
bayesian_ridge_current,bayesian_ridge,VMBS,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.08610100343512346,0.029298983904742316,0.08505330427930871,0.02825128474892757,120,0.306646294881589,0.625,0.1902272140865827,-4.913805712503118,0.306646294881589,0.016632085401046565,
bayesian_ridge_current,bayesian_ridge,BND,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.07388924277850857,0.024274287667426227,0.07368235107099894,0.024067395959916596,150,0.28301168940841814,0.62,0.1586297085939186,-1.5902075948537693,0.28301168940841814,0.01978091075614242,
bayesian_ridge_current,bayesian_ridge,GLD,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.05016815551970776,0.02046946602831414,0.04826500903208705,0.018566319540693425,180,0.23910202989804213,0.5944444444444444,0.25632913462470264,-8.338850137733047,0.23910202989804213,0.06672976724293687,
bayesian_ridge_current,bayesian_ridge,DBC,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.07164065160961053,0.020823807639922382,0.07344553035667925,0.022628686386991108,168,0.07411887973840992,0.5357142857142857,0.6138676572159931,-471.9724453653538,0.07411887973840992,0.5936926438371541,
bayesian_ridge_current,bayesian_ridge,VDE,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",0.03318516434718534,0.001226263231013923,0.03397293610096569,0.002014034984794276,180,-0.07342819222815518,0.5,0.7405788956436357,-555.2479701546279,-0.07342819222815518,0.6091764422000815,
gbt_lean_plus_two,gbt,VOO,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.0457970214204665,0.019866658246370024,0.04625701318089192,0.020326650006795434,108,0.11275401816443709,0.5925925925925926,0.1393427882422982,-0.19087942493517973,0.11275401816443709,0.3750194717448066,
gbt_lean_plus_two,gbt,VXUS,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.07956515744916165,0.040267921298682285,0.07679098471093827,0.03749374856045891,108,0.21319811463822066,0.7037037037037037,0.14281684217800727,-0.053915284640039474,0.21319811463822066,0.12719517638902858,
gbt_lean_plus_two,gbt,VWO,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.0649427586150401,0.02480238652904001,0.06728549474015043,0.027145122654150353,174,0.08596668671568773,0.5862068965517241,0.14528054685265615,-0.1971211691433541,0.08596668671568773,0.4151803292245394,
gbt_lean_plus_two,gbt,VMBS,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield,underwriting_income_growth_yoy",0.10163424697528022,0.044832227444899085,0.1044185647807993,0.04761654525041815,120,0.1038527650126153,0.6916666666666667,0.13559715409601159,-0.2614516365560713,0.1038527650126153,0.45184393314173266,
