feature_name,category,target_model,priority_rank,research_source,available_in_matrix,evaluation_status,blocked_reason,best_model,best_replace_feature,best_policy_return_sign_delta,best_oos_r2_delta,best_ic_delta
breakeven_momentum_3m,benchmark_predictive,gbt,32,geminipro,True,tested,,gbt_lean_plus_two,vol_63d,0.0034262036268899645,0.013236326956140299,-0.004661764356703749
real_yield_change_6m,shared_regime,both,33,geminipro,True,tested,,gbt_lean_plus_two,real_rate_10y,0.0010078400787524294,-0.008813709744274145,-0.02506851998482873
term_premium_10y,benchmark_predictive,ridge,34,gemini,True,tested,,ridge_lean_v1,yield_slope,-0.0037273304001210292,-0.26917860860444387,-0.0662537491644459
gold_vs_treasury_6m,benchmark_predictive,gbt,35,geminipro,True,tested,,gbt_lean_plus_two,mom_12m,-0.0024415310200502265,-0.0015969738027908909,-0.043576084732860815
commodity_equity_momentum,benchmark_predictive,gbt,36,gemini,True,tested,,gbt_lean_plus_two,mom_6m,0.0038938377184521197,0.05922474688371818,0.06019922085063115
legal_services_ppi_relative,PGR_specific,ridge,37,gemini,True,tested,,ridge_lean_v1,vix,-0.0004596017311525348,0.06378091343164297,-0.09415288485114122
gasoline_retail_sales_delta,benchmark_predictive,gbt,38,gemini,True,tested,,gbt_lean_plus_two,yield_curvature,-0.0017653189157020004,-0.10638017703684219,-0.059129062958007295
vwo_vxus_spread_6m,benchmark_predictive,gbt,39,geminipro,True,tested,,gbt_lean_plus_two,mom_6m,0.0056813378961782885,0.04781556256136635,0.02463414160784164
pgr_cr_vs_peer_cr,PGR_specific,gbt,40,geminipro,False,blocked,"Requires point-in-time peer combined-ratio history for ALL/TRV/CB/HIG, which the repo does not currently ingest.",,,,,
pgr_price_to_book_relative,PGR_specific,ridge,41,gemini,True,tested,,ridge_lean_v1,roe_net_income_ttm,-0.0007441623459588766,0.0009899705171317608,-0.09276471044882334
pgr_pe_vs_market_pe,PGR_specific,ridge,42,geminipro,True,tested,,ridge_lean_v1,roe_net_income_ttm,0.0036042781441706527,0.011038637969749049,-0.03516642141119165
equity_risk_premium,benchmark_predictive,ridge,43,geminipro;gemini,True,tested,,ridge_lean_v1,yield_curvature,-0.009228806166947268,-0.4315267089731263,-0.12272322111736206
pgr_fcf_yield,PGR_specific,ridge,44,geminipro,False,blocked,"Requires quarterly operating-cash-flow and capex ingestion from EDGAR, which is not present in the current fundamentals schema.",,,,,
pgr_premium_to_surplus,PGR_specific,ridge,45,gemini,True,tested,,ridge_lean_v1,npw_growth_yoy,-0.0058767633441704735,-0.04978725707362888,-0.08239888770556855
excess_bond_premium_proxy,shared_regime,both,46,claude,True,tested,,ridge_lean_v1,credit_spread_hy,-0.0008227822279071491,0.048885052606434554,-0.018244103648553885
