candidate_name,model_type,candidate_feature,replace_feature,priority_rank,research_source,candidate_available_now,status,notes,n_benchmarks,mean_ic,mean_ic_delta,mean_hit_rate,mean_hit_rate_delta,mean_oos_r2,mean_oos_r2_delta,mean_policy_return_sign,mean_policy_return_sign_delta,mean_policy_return_neutral_3pct,mean_policy_return_neutral_3pct_delta,mean_mae,mean_mae_delta
bayesian_ridge_current,bayesian_ridge,commodity_equity_momentum,mom_6m,36,gemini,True,queued,,8,0.23987987009347678,0.08320558918053775,0.6049100301039956,0.0625250866630177,-142.55122987088703,-10.682489052537418,0.06672173070552595,0.009970289036429974,0.06387532575221368,0.007401309874387657,0.3209511371087045,-0.010012857111322552
bayesian_ridge_current,bayesian_ridge,vwo_vxus_spread_6m,mom_6m,39,geminipro,True,queued,,8,0.17705480497299533,0.020380524060056304,0.5957518016785258,0.05336685823754788,-178.8528712671693,-46.98413044881969,0.06571090387007907,0.00895946220098309,0.06544205107629295,0.008968035198466926,0.3607017817177341,0.029737787497707027
bayesian_ridge_current,bayesian_ridge,breakeven_momentum_3m,vol_63d,32,geminipro,True,queued,,8,0.1822533769884349,0.025579096075495876,0.5718976920270024,0.029512748586024456,-165.66643227754938,-33.797691459199775,0.06248835198963784,0.005736910320541864,0.060364008144027245,0.0038899922662012174,0.3310777162306461,0.00011372201061897805
gbt_lean_plus_two,gbt,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,8,0.16723595077554437,0.06206720627686024,0.6526978425469805,0.030083356139390616,-0.23548369264807906,0.11737480126739387,0.07412975555836689,0.005694548897709983,0.07113736532082585,0.0016942227899440585,0.15283453138308206,-0.007992201891227168
gbt_lean_plus_two,gbt,vwo_vxus_spread_6m,mom_6m,39,geminipro,True,queued,,8,0.1298028861065258,0.02463414160784164,0.6378682037949279,0.015253717387338064,-0.30504293135410654,0.04781556256136635,0.0741165445568352,0.0056813378961782885,0.07272417178011831,0.0032810292492365225,0.15642757003841448,-0.0043991632358947284
elasticnet_current,elasticnet,book_value_per_share_growth_yoy,roe_net_income_ttm,17,claude,True,queued,,8,0.07163372325201331,0.014715108944097314,0.6206410782703886,0.02396175424192666,-0.6781783014180507,0.11711244022159503,0.06841903346918243,0.004761487435794584,0.06725321714291668,0.0036988094433378876,0.16991874570504073,-0.006871651411801944
gbt_lean_plus_two,gbt,commodity_equity_momentum,mom_6m,36,gemini,True,queued,,8,0.16536796534931528,0.06019922085063115,0.6344825305601167,0.01186804415252693,-0.2936337470317547,0.05922474688371818,0.07232904437910903,0.0038938377184521197,0.07170711726528628,0.002263974734404486,0.1548129830217045,-0.00601375025260472
ridge_lean_v1,ridge,pgr_pe_vs_market_pe,roe_net_income_ttm,42,geminipro,True,queued,,8,0.23805860665290882,-0.03516642141119165,0.6655492838898012,0.015582124612297035,-0.6363975750301697,0.011038637969749049,0.075570731852956,0.0036042781441706527,0.07416002855066163,0.003488611834374423,0.16642309345820566,0.001218564342074912
gbt_lean_plus_two,gbt,breakeven_momentum_3m,vol_63d,32,geminipro,True,queued,,8,0.1005069801419804,-0.004661764356703749,0.6419729520160554,0.019358465608465603,-0.3396221669593326,0.013236326956140299,0.07186141028754686,0.0034262036268899645,0.0695276000242514,8.445749336961732e-05,0.16009898491719787,-0.0007277483571113477
gbt_lean_plus_two,gbt,usd_broad_return_3m,nfci,25,chatgpt;claude,True,queued,,8,0.1123966496728443,0.00722790517416015,0.6366139846743295,0.013999498266739657,-0.3194780589665619,0.03338043494891102,0.07154287955671114,0.0031076728960542418,0.07025325122088419,0.0008101086900024011,0.15935230878239107,-0.0014744244919181436
