benchmark,predicted_relative_return,prediction_std,signal_to_noise,ic,hit_rate,signal,prob_outperform,confidence_tier,calibrated_prob_outperform,ci_lower,ci_upper,ci_width,ci_empirical_coverage,ci_n_calibration,ci_trailing_empirical_coverage,ci_trailing_coverage_gap,ci_trailing_n,benchmark_role
VOO,0.005358116086340272,0.0,0.0,0.07137962249863591,0.5138888888888888,NEUTRAL,0.5,LOW,0.673839919011766,-0.2657375602050656,0.2764537923777462,0.5421913525828118,0.9444444444444444,108,0.6666666666666666,-0.13333333333333341,12,Buy candidate
VXUS,0.03626111593303042,0.0,0.0,0.18891214771284176,0.6990740740740741,OUTPERFORM,0.5,LOW,0.6996250509149661,-0.326989250613939,0.3995114824799999,0.7265007330939389,0.9814814814814815,108,0.5833333333333334,-0.21666666666666667,12,Buy candidate
VWO,-0.023725946454945305,0.0,0.0,0.21111618757669523,0.6293103448275863,UNDERPERFORM,0.5,LOW,0.6980753953318379,-0.3076070171705995,0.2601551242607089,0.5677621414313084,0.9252873563218391,174,0.5,-0.30000000000000004,12,Buy candidate
VMBS,0.003313376413293858,0.0,0.0,0.22857083830888186,0.7875,NEUTRAL,0.5,LOW,0.6451119634671139,-0.2019790739034099,0.2086058267299976,0.4105849006334075,0.825,120,0.75,-0.050000000000000044,12,Forecast only
BND,0.0053583117891817505,0.0,0.0,0.24717616191186975,0.71,NEUTRAL,0.5,LOW,0.6938566604115086,-0.20482617845464576,0.21554280203300927,0.42036898048765503,0.8666666666666667,150,0.75,-0.050000000000000044,12,Buy candidate
GLD,-0.00016087504257559948,0.0,0.0,0.1473754722922912,0.6000000000000001,NEUTRAL,0.5,LOW,0.6625776811267672,-0.2645113802022572,0.26418963011710594,0.5287010103193631,0.8666666666666667,180,0.4166666666666667,-0.38333333333333336,12,Forecast only
DBC,-0.09529068229172356,0.0,0.0,0.14483618571063764,0.7380952380952381,UNDERPERFORM,0.5,LOW,0.46826179881605884,-0.36293674862494874,0.17235538404150164,0.5352921326664504,0.8392857142857143,168,0.5833333333333334,-0.21666666666666667,12,Forecast only
VDE,-0.12724187998567055,0.0,0.0,0.12321089480958539,0.6277777777777778,UNDERPERFORM,0.5,LOW,0.41244437343526785,-0.4323990219576197,0.1779152619862786,0.6103142839438983,0.8555555555555555,180,0.3333333333333333,-0.46666666666666673,12,Forecast only
