benchmark,target_horizon,date,before,after,data_only,delta,status,sign_flip,delta_data,delta_window
VOO,6,2012-11-30,0.05197152762,0.04948936536,0.05197152762,-0.002482162258,changed,False,0,-0.002482162258
VOO,6,2013-02-28,-0.07678157861,-0.07271683519,-0.07678157861,0.004064743425,changed,False,0,0.004064743425
VOO,6,2013-04-30,-1.197677352,-0.07382875125,-0.07382875125,1.1238486,changed,False,1.1238486,0
VOO,6,2013-05-31,-1.140627035,-0.02245161077,-0.02245161077,1.118175424,changed,False,1.118175424,0
VOO,6,2013-06-28,-1.255900844,-0.09549566189,-0.09549566189,1.160405182,changed,False,1.160405182,0
VOO,6,2013-07-31,-1.199686946,-0.1348993043,-0.1348993043,1.064787642,changed,False,1.064787642,0
VOO,6,2013-08-30,-1.287302253,-0.1355238829,-0.1355238829,1.15177837,changed,False,1.15177837,0
VOO,6,2013-09-30,-1.303124034,-0.1949929194,-0.1949929194,1.108131114,changed,False,1.108131114,0
VOO,6,2013-11-29,-0.1285824075,-0.1438685236,-0.1285824075,-0.01528611602,changed,False,0,-0.01528611602
VOO,6,2014-02-28,-0.06764376662,-0.06641303062,-0.06764376662,0.001230736002,changed,False,0,0.001230736002
VOO,6,2014-04-30,0.02279273974,0.01681799116,0.02279273974,-0.005974748577,changed,False,0,-0.005974748577
VOO,6,2014-11-28,-0.01053941608,0.001135212632,-0.01053941608,0.01167462871,changed,True,0,0.01167462871
VOO,6,2015-01-30,0.1546807447,0.1417039841,0.1546807447,-0.01297676058,changed,False,0,-0.01297676058
VOO,6,2015-02-27,0.178003634,0.1726002857,0.178003634,-0.005403348362,changed,False,0,-0.005403348362
VOO,6,2015-06-30,0.1392482497,0.1404896332,0.1392482497,0.001241383423,changed,False,0,0.001241383423
VOO,6,2016-09-30,0.1849711255,0.1654192488,0.1849711255,-0.01955187661,changed,False,0,-0.01955187661
VOO,6,2018-02-28,0.1036528142,0.1041511257,0.1036528142,0.0004983114594,changed,False,0,0.0004983114594
VOO,6,2018-09-28,0.09271335678,0.0709689661,0.09271335678,-0.02174439068,changed,False,0,-0.02174439068
VOO,6,2018-11-30,0.2223319065,0.2347914226,0.2223319065,0.01245951609,changed,False,0,0.01245951609
VOO,6,2019-02-28,0.01232465809,-0.006347289522,0.01232465809,-0.01867194761,changed,True,0,-0.01867194761
VOO,6,2020-06-30,0.02452636106,0.01529164382,0.02452636106,-0.009234717235,changed,False,0,-0.009234717235
VOO,6,2021-01-29,-0.1081731829,-0.09959071154,-0.1081731829,0.008582471332,changed,False,0,0.008582471332
VOO,6,2021-02-26,-0.03644179081,-0.05537534097,-0.03644179081,-0.01893355016,changed,False,0,-0.01893355016
VOO,6,2021-06-30,-0.04751143488,-0.04289983102,-0.04751143488,0.004611603863,changed,False,0,0.004611603863
VOO,6,2022-09-30,0.09320273193,0.07742907042,0.09320273193,-0.01577366151,changed,False,0,-0.01577366151
VOO,6,2023-11-30,0.08035743695,0.1300882319,0.08035743695,0.04973079497,changed,False,0,0.04973079497
VOO,6,2024-02-29,0.1479418451,0.2022605086,0.1479418451,0.05431866347,changed,False,0,0.05431866347
VOO,6,2024-11-29,0.08343183015,0.09534806726,0.08343183015,0.01191623712,changed,False,0,0.01191623712
VOO,6,2025-02-28,-0.2085657649,-0.2159560122,-0.2085657649,-0.007390247267,changed,False,0,-0.007390247267
VOO,6,2025-04-30,-0.409993353,-0.4683511545,-0.409993353,-0.05835780153,changed,False,0,-0.05835780153
VOO,6,2025-11-28,-0.1655994974,-0.2238546374,-0.1655994974,-0.05825514001,changed,False,0,-0.05825514001
VOO,6,2026-01-30,-0.03890557577,-0.06230214137,-0.03890557577,-0.02339656559,changed,False,0,-0.02339656559
VOO,6,2026-02-27,-0.08832999405,-0.09692088162,-0.08832999405,-0.008590887578,changed,False,0,-0.008590887578
VGT,6,2004-06-30,-0.03269791619,-0.0424030835,-0.03269791619,-0.009705167307,changed,False,0,-0.009705167307
VGT,6,2005-09-30,-0.08118003792,-0.08807976058,-0.08118003792,-0.006899722662,changed,False,0,-0.006899722662
VGT,6,2006-09-29,-0.1741978691,-0.1724364452,-0.1741978691,0.001761423921,changed,False,0,0.001761423921
VGT,6,2007-02-28,-0.0799201648,-0.1274808846,-0.0799201648,-0.04756071985,changed,False,0,-0.04756071985
VGT,6,2008-04-30,0.02894020697,0.07110336129,0.02894020697,0.04216315433,changed,False,0,0.04216315433
VGT,6,2008-11-28,-0.1083184592,-0.1510109943,-0.1083184592,-0.04269253509,changed,False,0,-0.04269253509
VGT,6,2009-01-30,-0.1232691658,-0.1316772362,-0.1232691658,-0.008408070347,changed,False,0,-0.008408070347
VGT,6,2009-02-27,-0.05598633008,-0.08575451532,-0.05598633008,-0.02976818524,changed,False,0,-0.02976818524
VGT,6,2009-06-30,-0.1045756781,-0.09897734968,-0.1045756781,0.005598328383,changed,False,0,0.005598328383
VGT,6,2010-01-29,0.1279673756,0.1321579638,0.1279673756,0.0041905882,changed,False,0,0.0041905882
VGT,6,2010-02-26,0.1629806827,0.2038446311,0.1629806827,0.04086394835,changed,False,0,0.04086394835
VGT,6,2010-06-30,-0.1245424124,-0.1159726802,-0.1245424124,0.008569732149,changed,False,0,0.008569732149
VGT,6,2012-02-29,-0.1070488619,-0.1153783132,-0.1070488619,-0.0083294513,changed,False,0,-0.0083294513
VGT,6,2012-11-30,0.12898861,0.1054666455,0.12898861,-0.02352196445,changed,False,0,-0.02352196445
VGT,6,2013-02-28,-0.08227055997,-0.07609970581,-0.08227055997,0.006170854162,changed,False,0,0.006170854162
VGT,6,2013-11-29,-0.1462166125,-0.1627084963,-0.1462166125,-0.01649188386,changed,False,0,-0.01649188386
VGT,6,2014-02-28,-0.08939695561,-0.0845860194,-0.08939695561,0.004810936206,changed,False,0,0.004810936206
VGT,6,2014-04-30,-0.01590836429,-0.03299903634,-0.01590836429,-0.01709067205,changed,False,0,-0.01709067205
VGT,6,2014-11-28,-0.02118015936,-0.01419686146,-0.02118015936,0.006983297893,changed,False,0,0.006983297893
VGT,6,2015-01-30,0.1324149814,0.1287459501,0.1324149814,-0.00366903127,changed,False,0,-0.00366903127
VGT,6,2015-02-27,0.2043234947,0.1827944613,0.2043234947,-0.02152903343,changed,False,0,-0.02152903343
VGT,6,2015-06-30,0.1089007324,0.1113662008,0.1089007324,0.002465468383,changed,False,0,0.002465468383
VGT,6,2016-09-30,0.1556406867,0.1322928147,0.1556406867,-0.02334787193,changed,False,0,-0.02334787193
VGT,6,2018-02-28,0.03987817613,0.02231819151,0.03987817613,-0.01755998462,changed,False,0,-0.01755998462
VGT,6,2018-09-28,0.0761191733,0.05644335804,0.0761191733,-0.01967581525,changed,False,0,-0.01967581525
VGT,6,2018-11-30,0.1645611945,0.1716976795,0.1645611945,0.00713648493,changed,False,0,0.00713648493
