candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_return_neutral_2pct,policy_return_neutral_3pct,policy_return_tiered,avg_hold_sign,avg_hold_neutral_2pct,avg_hold_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
ridge_lean_v1,model,ridge,VOO,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.04232026291612196,0.04128355504600362,0.041233821350506156,0.024287647936417973,0.6388888888888888,0.6527777777777778,0.6574074074074074,108,0.32848419026932274,0.5740740740740741,0.15378816281765198,-0.45340948172318973,0.32848419026932274,0.004486403903089164,
gbt_lean_plus_two,model,gbt,VOO,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.044583727232534044,0.04360481997656503,0.04315999132607896,0.023943488093235515,0.8333333333333334,0.8148148148148148,0.8055555555555556,108,0.10984425364172323,0.5833333333333334,0.13809888462449682,-0.17418537203296514,0.10984425364172323,0.36850826564220374,
elasticnet_lean_v1,model,elasticnet,VOO,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.022800775220663684,0.022218924871402895,0.021459454678635463,0.016629705731224874,0.5462962962962963,0.5555555555555556,0.5601851851851852,108,0.15203209308066243,0.42592592592592593,0.18252909291683594,-1.0782531909306736,0.15203209308066243,0.3551331482324946,
ensemble_ridge_gbt,ensemble,ridge+gbt,VOO,25,"ridge_lean_v1,gbt_lean_plus_two",0.04480048974696065,0.04595157199129738,0.04742815854245511,0.019621769164768335,0.7407407407407407,0.7361111111111112,0.7129629629629629,108,0.26577876856535865,0.6018518518518519,0.1345579059160836,-0.12313054119384237,0.26577876856535865,0.03173203508295065,
ensemble_ridge_gbt_elasticnet,ensemble,ridge+gbt+elasticnet,VOO,38,"ridge_lean_v1,gbt_lean_plus_two,elasticnet_lean_v1",0.039197130475447005,0.037641979075340434,0.03725399252131258,0.017635949068152065,0.7129629629629629,0.6712962962962963,0.6666666666666666,108,0.24278106452504117,0.5555555555555556,0.1419942982869884,-0.20105615994299075,0.24278106452504117,0.06994457138469394,
baseline_historical_mean,baseline,baseline,VOO,0,,0.017055814216141222,0.017055814216141222,0.019484042540006533,0.006665364977103103,0.7222222222222222,0.7222222222222222,0.6944444444444444,108,-0.31313990675372155,0.4166666666666667,0.1661429675649001,-0.5115917712132123,-0.31313990675372155,0.03137841234964962,historical_mean
ridge_lean_v1,model,ridge,VXUS,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.08464142323787795,0.0834043736689062,0.08382644066065545,0.050131885505100046,0.7407407407407407,0.7407407407407407,0.7268518518518519,108,0.41492087989558624,0.7037037037037037,0.1431198192577981,-0.026757702810232153,0.41492087989558624,0.0268279882978242,
gbt_lean_plus_two,model,gbt,VXUS,13,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,pif_growth_yoy,investment_book_yield",0.07924530159085216,0.07789478878807993,0.07624656418020663,0.039873476002629624,0.9259259259259259,0.9027777777777778,0.8935185185185185,108,0.18051255183574985,0.6851851851851852,0.14202516578958352,-0.0666231153278396,0.18051255183574985,0.22178746160242932,
elasticnet_lean_v1,model,elasticnet,VXUS,13,"mom_3m,mom_6m,mom_12m,yield_slope,yield_curvature,credit_spread_hy,nfci,vix,investment_income_growth_yoy,roe_net_income_ttm,underwriting_income,medical_cpi_yoy,roe",0.08788178127713653,0.08514612946515804,0.08197019059181523,0.04563590913293062,0.8888888888888888,0.8842592592592593,0.8703703703703703,108,0.18591508753466218,0.7407407407407407,0.14377211196514111,-0.04395174183287898,0.18591508753466218,0.2125945051522118,
ensemble_ridge_gbt,ensemble,ridge+gbt,VXUS,25,"ridge_lean_v1,gbt_lean_plus_two",0.07637624966677138,0.07945353226523288,0.07776360465975217,0.0451768421231363,0.8055555555555556,0.7962962962962963,0.7870370370370371,108,0.34017357836272355,0.6574074074074074,0.13794194535079624,0.10605447485207709,0.34017357836272355,0.028095866321049538,
