candidate_name,candidate_type,model_type,n_benchmarks,mean_n_features,mean_ic,mean_hit_rate,mean_oos_r2,mean_mae,mean_policy_return_sign,mean_policy_return_neutral_2pct,mean_policy_return_neutral_3pct,mean_policy_return_tiered,weighted_policy_return_sign,contextual_penalty,diversification_aware_utility,mean_benchmark_diversification_score
ensemble_ridge_gbt,ensemble,ridge,9,12.0,0.2595544197470378,0.638512474913337,-0.6391836319811459,0.16246788047600846,0.06801360258233746,0.06636838090683322,0.06663566988740925,0.034829781365413974,0.06887346719696677,0.03639079357075442,0.059775768804278165,0.444174166714971
ensemble_ridge_gbt_elasticnet,ensemble,ridge,9,12.0,0.2595544197470378,0.638512474913337,-0.6391836319811459,0.16246788047600846,0.06801360258233746,0.06636838090683322,0.06663566988740925,0.034829781365413974,0.06887346719696677,0.03639079357075442,0.059775768804278165,0.444174166714971
ridge_lean_v1,model,ridge,9,12.0,0.2595544197470378,0.638512474913337,-0.6391836319811459,0.16246788047600846,0.06801360258233746,0.06636838090683322,0.06663566988740925,0.034829781365413974,0.06887346719696677,0.03639079357075442,0.059775768804278165,0.444174166714971
baseline_historical_mean,baseline,baseline,9,0.0,-0.13837087105499132,0.6244063836688357,-0.19954031439430445,0.1478919510447115,0.06596329489735757,0.06497283984479729,0.06498308575559492,0.028574622788134805,0.06705034307499735,0.03057525241514385,0.05940652997121139,0.444174166714971
