candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,policy_return_sign,policy_return_neutral_2pct,policy_return_neutral_3pct,policy_return_tiered,avg_hold_sign,avg_hold_neutral_2pct,avg_hold_neutral_3pct,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,strategy
ridge_lean_v1,model,ridge,VOO,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.04232026291612196,0.04128355504600362,0.041233821350506156,0.024287647936417973,0.6388888888888888,0.6527777777777778,0.6574074074074074,108,0.32848419026932274,0.5740740740740741,0.15378816281765198,-0.45340948172318973,0.32848419026932274,0.004486403903089164,
ensemble_ridge_gbt,ensemble,ridge,VOO,12,"ridge_lean_v1,gbt_lean_plus_two",0.04232026291612196,0.04128355504600362,0.041233821350506156,0.024287647936417973,0.6388888888888888,0.6527777777777778,0.6574074074074074,108,0.32848419026932274,0.5740740740740741,0.15378816281765198,-0.45340948172318973,0.32848419026932274,0.004486403903089164,
ensemble_ridge_gbt_elasticnet,ensemble,ridge,VOO,12,"ridge_lean_v1,gbt_lean_plus_two,elasticnet_lean_v1",0.04232026291612196,0.04128355504600362,0.041233821350506156,0.024287647936417973,0.6388888888888888,0.6527777777777778,0.6574074074074074,108,0.32848419026932274,0.5740740740740741,0.15378816281765198,-0.45340948172318973,0.32848419026932274,0.004486403903089164,
baseline_historical_mean,baseline,baseline,VOO,0,,0.017055814216141222,0.017055814216141222,0.019484042540006533,0.006665364977103103,0.7222222222222222,0.7222222222222222,0.6944444444444444,108,-0.31313990675372155,0.4166666666666667,0.1661429675649001,-0.5115917712132123,-0.31313990675372155,0.03137841234964962,historical_mean
ridge_lean_v1,model,ridge,VXUS,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.08464142323787795,0.0834043736689062,0.08382644066065545,0.050131885505100046,0.7407407407407407,0.7407407407407407,0.7268518518518519,108,0.41492087989558624,0.7037037037037037,0.1431198192577981,-0.026757702810232153,0.41492087989558624,0.0268279882978242,
ensemble_ridge_gbt,ensemble,ridge,VXUS,12,"ridge_lean_v1,gbt_lean_plus_two",0.08464142323787795,0.0834043736689062,0.08382644066065545,0.050131885505100046,0.7407407407407407,0.7407407407407407,0.7268518518518519,108,0.41492087989558624,0.7037037037037037,0.1431198192577981,-0.026757702810232153,0.41492087989558624,0.0268279882978242,
ensemble_ridge_gbt_elasticnet,ensemble,ridge,VXUS,12,"ridge_lean_v1,gbt_lean_plus_two,elasticnet_lean_v1",0.08464142323787795,0.0834043736689062,0.08382644066065545,0.050131885505100046,0.7407407407407407,0.7407407407407407,0.7268518518518519,108,0.41492087989558624,0.7037037037037037,0.1431198192577981,-0.026757702810232153,0.41492087989558624,0.0268279882978242,
baseline_historical_mean,baseline,baseline,VXUS,0,,0.07859447230095874,0.07859447230095874,0.07859447230095874,0.03929723615047937,1.0,1.0,1.0,108,-0.3761686155902567,0.7037037037037037,0.14765615964826645,-0.11278975223046794,-0.3761686155902567,0.01761210420579981,historical_mean
ridge_lean_v1,model,ridge,VWO,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.07732951399077878,0.07547831501942721,0.07429854655889442,0.04063972449310723,0.7011494252873564,0.6982758620689655,0.6925287356321839,174,0.3440610495743045,0.6206896551724138,0.1554487743215553,-0.7128462499074357,0.3440610495743045,0.004752337397732221,
ensemble_ridge_gbt,ensemble,ridge,VWO,12,"ridge_lean_v1,gbt_lean_plus_two",0.07732951399077878,0.07547831501942721,0.07429854655889442,0.04063972449310723,0.7011494252873564,0.6982758620689655,0.6925287356321839,174,0.3440610495743045,0.6206896551724138,0.1554487743215553,-0.7128462499074357,0.3440610495743045,0.004752337397732221,
ensemble_ridge_gbt_elasticnet,ensemble,ridge,VWO,12,"ridge_lean_v1,gbt_lean_plus_two,elasticnet_lean_v1",0.07732951399077878,0.07547831501942721,0.07429854655889442,0.04063972449310723,0.7011494252873564,0.6982758620689655,0.6925287356321839,174,0.3440610495743045,0.6206896551724138,0.1554487743215553,-0.7128462499074357,0.3440610495743045,0.004752337397732221,
baseline_historical_mean,baseline,baseline,VWO,0,,0.0728512267311783,0.06629872753457247,0.06629872753457247,0.025571163874361737,0.896551724137931,0.8620689655172413,0.8620689655172413,174,-0.14421049345360057,0.632183908045977,0.14502050646568881,-0.20144206686199073,-0.14421049345360057,0.30386620379028056,historical_mean
ridge_lean_v1,model,ridge,VMBS,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.10904321170108601,0.10740203209527019,0.10707846123713631,0.056272125144909396,0.7333333333333333,0.7291666666666666,0.7291666666666666,120,0.4140009722897423,0.7333333333333333,0.1261464601032056,-0.2323475982161447,0.4140009722897423,0.0015558870028181593,
ensemble_ridge_gbt,ensemble,ridge,VMBS,12,"ridge_lean_v1,gbt_lean_plus_two",0.10904321170108601,0.10740203209527019,0.10707846123713631,0.056272125144909396,0.7333333333333333,0.7291666666666666,0.7291666666666666,120,0.4140009722897423,0.7333333333333333,0.1261464601032056,-0.2323475982161447,0.4140009722897423,0.0015558870028181593,
ensemble_ridge_gbt_elasticnet,ensemble,ridge,VMBS,12,"ridge_lean_v1,gbt_lean_plus_two,elasticnet_lean_v1",0.10904321170108601,0.10740203209527019,0.10707846123713631,0.056272125144909396,0.7333333333333333,0.7291666666666666,0.7291666666666666,120,0.4140009722897423,0.7333333333333333,0.1261464601032056,-0.2323475982161447,0.4140009722897423,0.0015558870028181593,
baseline_historical_mean,baseline,baseline,VMBS,0,,0.11360403906076227,0.11360403906076227,0.11360403906076227,0.05686623132749132,1.0,1.0,1.0,120,-0.20392880932476717,0.75,0.12323531713504687,-0.1502628080895121,-0.20392880932476717,0.28240568048713943,historical_mean
ridge_lean_v1,model,ridge,BND,12,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy",0.09263298066431477,0.09073045331296935,0.092386694560886,0.04597448150796958,0.7266666666666667,0.7233333333333334,0.7166666666666667,150,0.43988266145162014,0.7266666666666667,0.1285655119346581,-0.4406650109003325,0.43988266145162014,0.00017404456214897658,
ensemble_ridge_gbt,ensemble,ridge,BND,12,"ridge_lean_v1,gbt_lean_plus_two",0.09263298066431477,0.09073045331296935,0.092386694560886,0.04597448150796958,0.7266666666666667,0.7233333333333334,0.7166666666666667,150,0.43988266145162014,0.7266666666666667,0.1285655119346581,-0.4406650109003325,0.43988266145162014,0.00017404456214897658,
