candidate_name,operation,feature,benchmark,n_features,feature_columns,policy_return_sign,n_obs,ic,hit_rate,mae,oos_r2,nw_ic,nw_p_value,model_type
ridge_lean_v1,add,investment_book_yield,GLD,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,investment_book_yield",0.0428210757283979,180,0.22555222897826063,0.6111111111111112,0.43379799179631295,-266.18839158651787,0.22555222897826063,0.0708001034155684,ridge
ridge_lean_v1,add,investment_book_yield,DBC,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,investment_book_yield",0.07446254655933063,168,0.022830923107293448,0.6309523809523809,2.2044072351478143,-7901.684056939577,0.022830923107293448,0.8516697114019463,ridge
ridge_lean_v1,add,investment_book_yield,VDE,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,investment_book_yield",0.049913088846364535,180,0.029017356502772717,0.5833333333333334,0.6298203578705285,-239.02021031052303,0.029017356502772717,0.8329371710249474,ridge
ridge_lean_v1,add,investment_book_yield,VFH,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,investment_book_yield",0.03111620414049224,192,0.02726650028483846,0.515625,2.485961031002935,-20472.461378118758,0.02726650028483846,0.8399555228882671,ridge
ridge_lean_v1,add,buyback_yield,VOO,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,buyback_yield",0.04197561273833838,108,0.3005230215210494,0.5648148148148148,0.24832263296807355,-27.49173500572493,0.3005230215210494,0.010104109190606888,ridge
ridge_lean_v1,add,buyback_yield,VXUS,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,buyback_yield",0.08464142323787795,108,0.4167690798060343,0.7037037037037037,0.19116943800832534,-6.122852203275538,0.4167690798060343,0.024323005003848857,ridge
ridge_lean_v1,add,buyback_yield,VWO,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,buyback_yield",0.07962227692773169,174,0.3612870525926136,0.6379310344827587,0.1820350245767307,-4.688992923499308,0.3612870525926136,0.0028529467238918673,ridge
ridge_lean_v1,add,buyback_yield,VMBS,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,buyback_yield",0.11055251025548246,120,0.369483991943885,0.7583333333333333,0.1768015904307084,-11.661470497865634,0.369483991943885,0.004547400191204976,ridge
ridge_lean_v1,add,buyback_yield,BND,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,buyback_yield",0.09259192883419466,150,0.44056180274678874,0.72,0.15339142080372095,-4.190286234777127,0.44056180274678874,0.00012033264420174831,ridge
ridge_lean_v1,add,buyback_yield,GLD,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,buyback_yield",0.04494250061420305,180,0.26404518657983267,0.6166666666666667,0.2518981841701547,-22.50805181770252,0.26404518657983267,0.04394900636998094,ridge
ridge_lean_v1,add,buyback_yield,DBC,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,buyback_yield",0.07366440120085749,168,0.14071603201036645,0.6190476190476191,0.37001733768748357,-84.59129589174952,0.14071603201036645,0.254598983319047,ridge
ridge_lean_v1,add,buyback_yield,VDE,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,buyback_yield",0.05158707510475115,180,0.03394549214481928,0.5833333333333334,0.2880675749538782,-15.071813600670588,0.03394549214481928,0.8087108506355424,ridge
ridge_lean_v1,add,buyback_yield,VFH,13,"mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,npw_growth_yoy,buyback_yield",0.03560678466473869,192,0.13454039280579444,0.546875,0.14680752818909473,-0.9103145700636108,0.13454039280579444,0.31200929351633766,ridge
