candidate_name,candidate_type,model_type,benchmark,n_features,feature_columns,notes,current_predicted_return,policy_return_sign,policy_return_neutral_3pct,ic,hit_rate,mae,oos_r2,nw_ic
ridge_current,model,ridge,DBC,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm",Current deployed Ridge feature set.,-0.00423613310332327,0.07413933477562681,0.07602377018695114,-0.04305252554907092,0.5892857142857143,0.21020538534493372,-1.2230877319202311,-0.04305252554907092
ridge_current,model,ridge,VDE,14,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm",Current deployed Ridge feature set.,-0.04782914696915991,0.047933292425236515,0.046270386180199435,-0.07342613455147792,0.5555555555555556,0.22056719567320207,-0.7072607777299578,-0.07342613455147792
bayesian_ridge_current,model,bayesian_ridge,VOO,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",Current deployed BayesianRidge feature set.,-0.1495218034582961,0.03718590695145562,0.03629415396307629,0.22727142816313697,0.4537037037037037,0.25363010746837994,-7.231707139517573,0.22727142816313697
bayesian_ridge_current,model,bayesian_ridge,VXUS,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",Current deployed BayesianRidge feature set.,-0.2006987575679972,0.04322868984836185,0.04333445569737899,0.10016481370335438,0.48148148148148145,0.23773579028908104,-4.367267510893556,0.10016481370335438
bayesian_ridge_current,model,bayesian_ridge,VWO,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",Current deployed BayesianRidge feature set.,-0.18382160575041406,0.058612718862814654,0.0577443865221133,0.09650730373871694,0.5287356321839081,0.19671344583792308,-1.2876729313140758,0.09650730373871694
bayesian_ridge_current,model,bayesian_ridge,VMBS,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",Current deployed BayesianRidge feature set.,-0.10052238237045738,0.08610100343512346,0.08505330427930871,0.306646294881589,0.625,0.1902272140865827,-4.913805712503118,0.306646294881589
bayesian_ridge_current,model,bayesian_ridge,BND,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",Current deployed BayesianRidge feature set.,-0.09426021077315445,0.07388924277850857,0.07368235107099894,0.28301168940841814,0.62,0.1586297085939186,-1.5902075948537693,0.28301168940841814
bayesian_ridge_current,model,bayesian_ridge,GLD,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",Current deployed BayesianRidge feature set.,-0.43388084837434804,0.05016815551970776,0.04826500903208705,0.23910202989804213,0.5944444444444444,0.25632913462470264,-8.338850137733047,0.23910202989804213
bayesian_ridge_current,model,bayesian_ridge,DBC,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",Current deployed BayesianRidge feature set.,-0.23933686402045007,0.07164065160961053,0.07344553035667925,0.07411887973840992,0.5357142857142857,0.6138676572159931,-471.9724453653538,0.07411887973840992
bayesian_ridge_current,model,bayesian_ridge,VDE,16,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy,combined_ratio_ttm,investment_income_growth_yoy,roe_net_income_ttm,buyback_yield,buyback_acceleration",Current deployed BayesianRidge feature set.,-0.24603324849516417,0.03318516434718534,0.03397293610096569,-0.07342819222815518,0.5,0.7405788956436357,-555.2479701546279,-0.07342819222815518
gbt_current,model,gbt,VOO,11,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy",Current deployed GBT feature set.,-0.07922474619203661,0.03761833268841267,0.03553107698600325,0.07563563614872379,0.5092592592592593,0.23978670683467604,-4.061843739855997,0.07563563614872379
gbt_current,model,gbt,VXUS,11,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy",Current deployed GBT feature set.,-0.13782485698882602,0.07930984228374645,0.06895903432697358,0.1928733557326226,0.7129629629629629,0.14776533851062354,-0.1016903405202092,0.1928733557326226
gbt_current,model,gbt,VWO,11,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy",Current deployed GBT feature set.,-0.09663651149132553,0.06345959571749404,0.06321154354492242,0.1183364219331618,0.5459770114942529,0.15425158609731784,-0.35262019662817545,0.1183364219331618
gbt_current,model,gbt,VMBS,11,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy",Current deployed GBT feature set.,-0.12201703299059367,0.09937588616854377,0.09808853855103843,0.0492787543426844,0.675,0.14042255749197158,-0.3483254883217022,0.0492787543426844
gbt_current,model,gbt,BND,11,"mom_3m,mom_6m,mom_12m,vol_63d,yield_slope,yield_curvature,real_rate_10y,credit_spread_hy,nfci,vix,vmt_yoy",Current deployed GBT feature set.,-0.11136566956751885,0.07914356137795144,0.08303989679171624,0.14729371272039624,0.6133333333333333,0.13171375962862367,-0.30847218690776357,0.14729371272039624
