candidate_name,model_type,candidate_feature,replace_feature,priority_rank,research_source,candidate_available_now,status,notes,n_benchmarks,mean_ic,mean_ic_delta,mean_hit_rate,mean_hit_rate_delta,mean_oos_r2,mean_oos_r2_delta,mean_policy_return_sign,mean_policy_return_sign_delta,mean_policy_return_neutral_3pct,mean_policy_return_neutral_3pct_delta,mean_mae,mean_mae_delta
bayesian_ridge_current,bayesian_ridge,breakeven_momentum_3m,vol_63d,32,geminipro,True,queued,,8,0.1822533769884349,0.025579096075495876,0.5718976920270024,0.029512748586024456,-165.66643227754938,-33.797691459199775,0.06248835198963784,0.005736910320541864,0.060364008144027245,0.0038899922662012174,0.3310777162306461,0.00011372201061897805
gbt_lean_plus_two,gbt,rate_adequacy_gap_yoy,vmt_yoy,8,chatgpt;claude,True,queued,,8,0.16723595077554437,0.06206720627686024,0.6526978425469805,0.030083356139390616,-0.23548369264807906,0.11737480126739387,0.07412975555836689,0.005694548897709983,0.07113736532082585,0.0016942227899440585,0.15283453138308206,-0.007992201891227168
elasticnet_current,elasticnet,book_value_per_share_growth_yoy,roe_net_income_ttm,17,claude,True,queued,,8,0.07163372325201331,0.014715108944097314,0.6206410782703886,0.02396175424192666,-0.6781783014180507,0.11711244022159503,0.06841903346918243,0.004761487435794584,0.06725321714291668,0.0036988094433378876,0.16991874570504073,-0.006871651411801944
gbt_lean_plus_two,gbt,breakeven_momentum_3m,vol_63d,32,geminipro,True,queued,,8,0.1005069801419804,-0.004661764356703749,0.6419729520160554,0.019358465608465603,-0.3396221669593326,0.013236326956140299,0.07186141028754686,0.0034262036268899645,0.0695276000242514,8.445749336961732e-05,0.16009898491719787,-0.0007277483571113477
elasticnet_current,elasticnet,medical_cpi_yoy,vmt_yoy,3,chatgpt,True,queued,,8,0.08146222714963865,0.024543612841722653,0.6086814677978472,0.012002143769385167,-0.7705569985641685,0.02473374307547721,0.06643470325002662,0.0027771572166387817,0.06486508730955337,0.0013106796099745803,0.17634589461341024,-0.0004445025034324132
bayesian_ridge_current,bayesian_ridge,book_value_per_share_growth_yoy,roe_net_income_ttm,17,claude,True,queued,,8,0.07980922412737132,-0.07686505678556774,0.555890234446269,0.013505291005291013,-116.6499615442932,15.218779274056406,0.059140195225148094,0.002388753556052123,0.058209211787759854,0.0017351959099338242,0.3251893158852878,-0.005774678334739297
gbt_lean_plus_two,gbt,severity_index_yoy,vmt_yoy,9,chatgpt,True,queued,,8,0.12694639893383033,0.021777654435146208,0.6297772988505748,0.007162812442984862,-0.3025278261033296,0.05033066781214332,0.0702957303413157,0.0018605236806588004,0.07021497097690818,0.0007718284460263881,0.15750884370141072,-0.003317889572898516
gbt_lean_plus_two,gbt,medical_cpi_yoy,vmt_yoy,3,chatgpt,True,queued,,8,0.11913965423971462,0.013970909741030496,0.6190250410509031,-0.0035894453566867046,-0.3339471971151765,0.01891129680029638,0.06959379865508057,0.0011585919944236672,0.0695199370946829,7.679456380111933e-05,0.160137768614079,-0.0006889646602301971
elasticnet_current,elasticnet,real_yield_change_6m,real_rate_10y,33,geminipro,True,queued,,8,0.06154188944325599,0.004623275135339996,0.6143776226965882,0.017698298668126285,-0.6535519244252628,0.1417388172143828,0.06479859362510274,0.0011410475917148898,0.06393354413512309,0.0003791364355442916,0.17215585444602052,-0.004634542670822136
gbt_lean_plus_two,gbt,real_yield_change_6m,real_rate_10y,33,geminipro,True,queued,,8,0.0801002245138554,-0.02506851998482873,0.6282186188651706,0.005604132457580735,-0.36167220365974706,-0.008813709744274145,0.06944304673940932,0.0010078400787524294,0.07168137563423124,0.0022382331033494463,0.1608211662110144,-5.567063294818764e-06
