as_of,path_name,consensus,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,universe_name,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow,signal_agrees_with_live,mode_agrees_with_live,sell_agrees_with_live
2017-07-31,live_production_ensemble_reduced,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.10400446133951521,0.3512480297860391,0.6057585466523208,-0.6277240845601857,current_reduced,False,True,True,True,True,True
2017-07-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.038674553123546465,0.14535752051471398,0.7286657501676757,-0.571290722441032,current_reduced,True,True,True,False,True,True
2017-08-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05784390013813643,0.2844328219223682,0.6190990314078294,-0.36690829828137805,current_reduced,True,True,True,True,True,True
2017-08-31,live_production_ensemble_reduced,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.09664458312621489,0.3513530358160515,0.5957628861492117,-0.6696546922443283,current_reduced,False,True,True,True,True,True
2017-08-31,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.051198152932557944,0.15883430270525906,0.7236059067851686,-0.5737672222490615,current_reduced,True,True,True,False,True,True
2017-09-29,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05784390013813643,0.2462618316078237,0.6224626068376068,-0.37632057355084836,current_reduced,True,True,True,True,True,True
2017-09-29,live_production_ensemble_reduced,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.11601462952796279,0.2419844785395415,0.5872443528693528,-0.7541342501540114,current_reduced,False,True,True,True,True,True
2017-09-29,ensemble_ridge_gbt_v18,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.04160725156292225,0.09180689534968048,0.7198946886446886,-0.5826159824807295,current_reduced,True,True,True,False,True,True
2017-10-31,shadow_baseline,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.06940621342957584,0.27297562857104046,0.6257962829406336,-0.38349587566270427,current_reduced,True,True,True,True,True,True
2017-10-31,live_production_ensemble_reduced,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.02509804339442345,0.2218074574684314,0.5942423252142344,-0.775407164841734,current_reduced,True,True,True,True,True,True
