multiple,months,median,p10,p90,monthly_log_change_sd,denominator_log_change_sd,price_share_of_variance,autocorr_12m
P/B,265,2.928146,2.102037,4.899733,0.069387,0.039235,0.807408,0.830828
P/E,245,13.750725,10.711688,27.263229,0.163167,0.152129,0.136055,0.303081
