signal,target,month,n_obs,ic
bp,rel_12m,8,21,0.063636
bp,rel_12m,9,21,0.085714
bp,rel_12m,10,21,0.122078
bp,rel_12m,11,21,0.048052
bp,rel_12m,12,21,0.059740
ep,rel_12m,1,20,-0.246617
ep,rel_12m,2,20,-0.099248
ep,rel_12m,3,20,-0.108271
ep,rel_12m,4,20,-0.132331
ep,rel_12m,5,20,-0.206015
ep,rel_12m,6,20,-0.314286
ep,rel_12m,7,20,-0.186466
ep,rel_12m,8,21,-0.325974
ep,rel_12m,9,20,-0.360902
ep,rel_12m,10,20,-0.063158
ep,rel_12m,11,20,0.058647
ep,rel_12m,12,20,-0.133835
bp_z60,rel_12m,1,18,-0.360165
bp_z60,rel_12m,2,18,-0.137255
bp_z60,rel_12m,3,18,-0.242518
bp_z60,rel_12m,4,18,-0.325077
bp_z60,rel_12m,5,18,-0.339525
bp_z60,rel_12m,6,18,-0.261094
bp_z60,rel_12m,7,18,-0.098039
bp_z60,rel_12m,8,19,-0.107018
bp_z60,rel_12m,9,18,0.009288
bp_z60,rel_12m,10,18,0.038184
bp_z60,rel_12m,11,18,0.019608
bp_z60,rel_12m,12,18,-0.089783
ep_z60,rel_12m,1,17,-0.316176
ep_z60,rel_12m,2,17,-0.281863
ep_z60,rel_12m,3,17,-0.230392
ep_z60,rel_12m,4,17,-0.338235
ep_z60,rel_12m,5,17,-0.318627
ep_z60,rel_12m,6,17,-0.436275
ep_z60,rel_12m,7,18,-0.417957
ep_z60,rel_12m,8,18,-0.403509
ep_z60,rel_12m,9,17,-0.375000
ep_z60,rel_12m,10,17,-0.343137
ep_z60,rel_12m,11,17,-0.274510
ep_z60,rel_12m,12,17,-0.399510
pb_roe_adj,rel_12m,1,15,-0.264286
pb_roe_adj,rel_12m,2,15,-0.057143
pb_roe_adj,rel_12m,3,15,-0.239286
pb_roe_adj,rel_12m,4,15,-0.332143
pb_roe_adj,rel_12m,5,15,-0.192857
pb_roe_adj,rel_12m,6,15,-0.142857
pb_roe_adj,rel_12m,7,15,-0.039286
pb_roe_adj,rel_12m,8,16,-0.147059
pb_roe_adj,rel_12m,9,15,-0.157143
pb_roe_adj,rel_12m,10,15,-0.246429
pb_roe_adj,rel_12m,11,15,-0.317857
pb_roe_adj,rel_12m,12,15,-0.135714
ep_6m,rel_12m,1,20,-0.246617
ep_6m,rel_12m,2,21,-0.035065
ep_6m,rel_12m,3,21,0.012987
ep_6m,rel_12m,4,21,-0.183117
ep_6m,rel_12m,5,21,-0.035065
ep_6m,rel_12m,6,21,-0.210390
ep_6m,rel_12m,7,21,-0.257143
ep_6m,rel_12m,8,21,-0.512987
ep_6m,rel_12m,9,20,-0.401504
