model,target,kind,horizon,n_test,oos_r2,oos_ic,first_test
ep_norm,abs_3m,abs,3,144,-0.085377,-0.198875,2014-06-30
ep_norm,rel_3m,rel,3,144,-0.076773,-0.160686,2014-06-30
ep_norm,abs_6m,abs,6,144,-0.230162,-0.284507,2014-03-31
ep_norm,rel_6m,rel,6,144,-0.160970,-0.263017,2014-03-31
ep_norm,abs_12m,abs,12,132,-0.233283,-0.359196,2014-09-30
ep_norm,rel_12m,rel,12,132,-0.170315,-0.437447,2014-09-30
ep_norm,abs_24m,abs,24,108,-0.245302,-0.166500,2015-09-30
ep_norm,rel_24m,rel,24,108,-0.169662,-0.455124,2015-09-30
ep_norm,abs_36m,abs,36,84,-0.196960,-0.020573,2016-09-30
ep_norm,rel_36m,rel,36,84,-0.018476,-0.297762,2016-09-30
roe_gap,abs_1m,abs,1,144,-0.003038,-0.077233,2014-08-29
roe_gap,rel_1m,rel,1,144,0.004522,0.006796,2014-08-29
roe_gap,abs_3m,abs,3,144,-0.001602,-0.131573,2014-06-30
roe_gap,rel_3m,rel,3,144,0.004082,-0.077739,2014-06-30
roe_gap,abs_6m,abs,6,144,0.028734,0.083912,2014-03-31
roe_gap,rel_6m,rel,6,144,0.052655,0.027715,2014-03-31
roe_gap,abs_12m,abs,12,132,0.112347,0.406506,2014-09-30
roe_gap,rel_12m,rel,12,132,0.067086,-0.062665,2014-09-30
roe_gap,abs_24m,abs,24,108,0.053348,0.111235,2015-09-30
roe_gap,rel_24m,rel,24,108,0.013044,-0.220107,2015-09-30
roe_gap,abs_36m,abs,36,84,-0.006711,0.069394,2016-09-30
roe_gap,rel_36m,rel,36,84,0.041118,0.069961,2016-09-30
ep_rel_mkt,abs_1m,abs,1,144,-0.031008,-0.082007,2014-05-30
ep_rel_mkt,rel_1m,rel,1,144,-0.051806,-0.129961,2014-05-30
ep_rel_mkt,abs_3m,abs,3,144,-0.024838,-0.113660,2014-05-30
ep_rel_mkt,rel_3m,rel,3,144,-0.086188,-0.171972,2014-05-30
ep_rel_mkt,abs_6m,abs,6,132,-0.051698,-0.005734,2015-03-31
ep_rel_mkt,rel_6m,rel,6,132,-0.046368,-0.182350,2015-03-31
ep_rel_mkt,abs_12m,abs,12,120,-0.025254,0.039065,2015-09-30
ep_rel_mkt,rel_12m,rel,12,120,-0.089896,-0.432363,2015-09-30
ep_rel_mkt,abs_24m,abs,24,96,0.102703,0.095062,2016-09-30
ep_rel_mkt,rel_24m,rel,24,96,-0.167918,-0.225380,2016-09-30
ep_rel_mkt,abs_36m,abs,36,72,0.032579,0.355264,2017-09-29
ep_rel_mkt,rel_36m,rel,36,72,0.091655,0.521995,2017-09-29
bp+ep,abs_1m,abs,1,180,-0.056652,-0.037935,2011-08-31
