window_start,window_end,signal,target,n_obs,ic,split_year,half
2014-01-01,2100-01-01,ep,abs_24m,128,-0.391818,2013,late
2014-01-01,2100-01-01,ep,rel_24m,128,-0.102362,2013,late
2004-01-01,2014-12-31,bp,abs_12m,124,0.550854,2014,early
2004-01-01,2014-12-31,bp,rel_12m,124,0.255603,2014,early
2004-01-01,2014-12-31,bp,abs_24m,124,0.704900,2014,early
2004-01-01,2014-12-31,bp,rel_24m,124,0.314543,2014,early
2004-01-01,2014-12-31,ep,abs_12m,113,-0.319366,2014,early
2004-01-01,2014-12-31,ep,rel_12m,113,0.210310,2014,early
2004-01-01,2014-12-31,ep,abs_24m,113,-0.209520,2014,early
2004-01-01,2014-12-31,ep,rel_24m,113,0.461200,2014,early
2015-01-01,2100-01-01,bp,abs_12m,128,0.220135,2014,late
2015-01-01,2100-01-01,bp,rel_12m,128,0.271785,2014,late
2015-01-01,2100-01-01,bp,abs_24m,116,0.295583,2014,late
2015-01-01,2100-01-01,bp,rel_24m,116,0.424788,2014,late
2015-01-01,2100-01-01,ep,abs_12m,128,-0.330938,2014,late
2015-01-01,2100-01-01,ep,rel_12m,128,-0.223820,2014,late
2015-01-01,2100-01-01,ep,abs_24m,116,-0.383931,2014,late
2015-01-01,2100-01-01,ep,rel_24m,116,-0.088786,2014,late
2004-01-01,2015-12-31,bp,abs_12m,136,0.554854,2015,early
2004-01-01,2015-12-31,bp,rel_12m,136,0.262993,2015,early
2004-01-01,2015-12-31,bp,abs_24m,136,0.617509,2015,early
2004-01-01,2015-12-31,bp,rel_24m,136,0.267592,2015,early
2004-01-01,2015-12-31,ep,abs_12m,125,-0.281315,2015,early
2004-01-01,2015-12-31,ep,rel_12m,125,0.215877,2015,early
2004-01-01,2015-12-31,ep,abs_24m,125,-0.196135,2015,early
2004-01-01,2015-12-31,ep,rel_24m,125,0.383158,2015,early
2016-01-01,2100-01-01,bp,abs_12m,116,0.334594,2015,late
2016-01-01,2100-01-01,bp,rel_12m,116,0.293092,2015,late
2016-01-01,2100-01-01,bp,abs_24m,104,0.327120,2015,late
2016-01-01,2100-01-01,bp,rel_24m,104,0.490366,2015,late
2016-01-01,2100-01-01,ep,abs_12m,116,-0.342990,2015,late
2016-01-01,2100-01-01,ep,rel_12m,116,-0.266974,2015,late
2016-01-01,2100-01-01,ep,abs_24m,104,-0.403606,2015,late
2016-01-01,2100-01-01,ep,rel_24m,104,-0.097130,2015,late
2004-01-01,2016-12-31,bp,abs_12m,148,0.460259,2016,early
2004-01-01,2016-12-31,bp,rel_12m,148,0.224197,2016,early
2004-01-01,2016-12-31,bp,abs_24m,148,0.485528,2016,early
2004-01-01,2016-12-31,bp,rel_24m,148,0.193043,2016,early
2004-01-01,2016-12-31,ep,abs_12m,137,-0.401773,2016,early
2004-01-01,2016-12-31,ep,rel_12m,137,0.057120,2016,early
2004-01-01,2016-12-31,ep,abs_24m,137,-0.344685,2016,early
2004-01-01,2016-12-31,ep,rel_24m,137,0.137239,2016,early
2017-01-01,2100-01-01,bp,abs_12m,104,0.273232,2016,late
2017-01-01,2100-01-01,bp,rel_12m,104,0.285501,2016,late
2017-01-01,2100-01-01,bp,abs_24m,92,0.164681,2016,late
2017-01-01,2100-01-01,bp,rel_24m,92,0.432455,2016,late
2017-01-01,2100-01-01,ep,abs_12m,104,-0.318436,2016,late
2017-01-01,2100-01-01,ep,rel_12m,104,-0.236893,2016,late
2017-01-01,2100-01-01,ep,abs_24m,92,-0.423901,2016,late
2017-01-01,2100-01-01,ep,rel_24m,92,-0.065210,2016,late
2004-01-01,2017-12-31,bp,abs_12m,160,0.275820,2017,early
2004-01-01,2017-12-31,bp,rel_12m,160,0.085574,2017,early
2004-01-01,2017-12-31,bp,abs_24m,160,0.315258,2017,early
2004-01-01,2017-12-31,bp,rel_24m,160,0.083763,2017,early
2004-01-01,2017-12-31,ep,abs_12m,149,-0.498172,2017,early
2004-01-01,2017-12-31,ep,rel_12m,149,-0.101774,2017,early
2004-01-01,2017-12-31,ep,abs_24m,149,-0.444567,2017,early
2004-01-01,2017-12-31,ep,rel_24m,149,-0.041252,2017,early
2018-01-01,2100-01-01,bp,abs_12m,92,0.145847,2017,late
2018-01-01,2100-01-01,bp,rel_12m,92,0.183700,2017,late
2018-01-01,2100-01-01,bp,abs_24m,80,0.030567,2017,late
2018-01-01,2100-01-01,bp,rel_24m,80,0.313690,2017,late
2018-01-01,2100-01-01,ep,abs_12m,92,-0.231555,2017,late
2018-01-01,2100-01-01,ep,rel_12m,92,-0.189911,2017,late
2018-01-01,2100-01-01,ep,abs_24m,80,-0.382232,2017,late
2018-01-01,2100-01-01,ep,rel_24m,80,-0.015377,2017,late
