signal_a,signal_b,target,kind,horizon,n_obs,slope_a,nw_t_a,slope_b,nw_t_b,corr_ab,r2
bp_z60,ep_z60,abs_36m,abs,36,182,-0.064371,-1.937905,-0.015199,-0.442867,0.293356,0.106029
bp_z60,ep_z60,rel_36m,rel,36,182,-0.078693,-1.609277,0.018351,0.385041,0.293356,0.082522
pb_roe_adj,ep,abs_1m,abs,1,192,0.002153,0.276573,-0.003072,-0.399558,0.850226,0.000842
pb_roe_adj,ep,rel_1m,rel,1,192,0.001396,0.172777,-0.006027,-0.699328,0.850226,0.006818
pb_roe_adj,ep,abs_3m,abs,3,190,0.007844,0.445385,-0.016727,-0.979373,0.852000,0.015081
pb_roe_adj,ep,rel_3m,rel,3,190,0.010138,0.572595,-0.024698,-1.346341,0.852000,0.029309
pb_roe_adj,ep,abs_6m,abs,6,187,0.037318,1.236307,-0.057692,-2.065502,0.854488,0.072411
pb_roe_adj,ep,rel_6m,rel,6,187,0.038934,1.246937,-0.064274,-2.244427,0.854488,0.078593
pb_roe_adj,ep,abs_12m,abs,12,181,0.079271,1.289255,-0.122433,-2.021575,0.857201,0.166730
pb_roe_adj,ep,rel_12m,rel,12,181,0.062080,0.853877,-0.093697,-1.347632,0.857201,0.071325
pb_roe_adj,ep,abs_24m,abs,24,169,0.063834,0.605240,-0.133373,-1.367279,0.871177,0.197053
pb_roe_adj,ep,rel_24m,rel,24,169,0.031245,0.216412,-0.056330,-0.430665,0.871177,0.021554
pb_roe_adj,ep,abs_36m,abs,36,157,-0.066238,-0.582153,0.035115,0.338940,0.873128,0.036550
pb_roe_adj,ep,rel_36m,rel,36,157,-0.078596,-0.478011,0.089192,0.594206,0.873128,0.026847
pb_roe_adj,ep_z60,abs_1m,abs,1,192,0.000115,0.023863,-0.001025,-0.224153,0.560040,0.000278
pb_roe_adj,ep_z60,rel_1m,rel,1,192,-0.001033,-0.207310,-0.004813,-0.971994,0.560040,0.008477
pb_roe_adj,ep_z60,abs_3m,abs,3,190,-0.001627,-0.134815,-0.008544,-0.827719,0.559525,0.011681
pb_roe_adj,ep_z60,rel_3m,rel,3,190,-0.000303,-0.025729,-0.018949,-1.655430,0.559525,0.037447
pb_roe_adj,ep_z60,abs_6m,abs,6,187,0.003359,0.149717,-0.027634,-1.532621,0.555046,0.046705
pb_roe_adj,ep_z60,rel_6m,rel,6,187,0.009721,0.468686,-0.046319,-2.627763,0.555046,0.099795
pb_roe_adj,ep_z60,abs_12m,abs,12,181,0.011132,0.265355,-0.066637,-1.933258,0.552408,0.134716
pb_roe_adj,ep_z60,rel_12m,rel,12,181,0.029653,0.795347,-0.086693,-2.960476,0.552408,0.148901
pb_roe_adj,ep_z60,abs_24m,abs,24,169,0.008181,0.178315,-0.102573,-1.945440,0.590204,0.269053
pb_roe_adj,ep_z60,rel_24m,rel,24,169,0.041342,0.694765,-0.100255,-1.618390,0.590204,0.136714
pb_roe_adj,ep_z60,abs_36m,abs,36,157,0.005535,0.089553,-0.065146,-1.094766,0.631095,0.089554
pb_roe_adj,ep_z60,rel_36m,rel,36,157,0.035338,0.371643,-0.057135,-0.675416,0.631095,0.027894
bp,roe_gap,abs_1m,abs,1,216,0.001104,0.277753,-0.000401,-0.083903,-0.148668,0.000366
bp,roe_gap,rel_1m,rel,1,216,0.000092,0.022236,-0.005437,-1.192807,-0.148668,0.008728
bp,roe_gap,abs_3m,abs,3,214,0.001703,0.169895,-0.007717,-0.737307,-0.142408,0.007313
