variant,variant_label,benchmark,classifier_raw_prob_actionable_sell,classifier_prob_actionable_sell,classifier_history_obs,classifier_weight,classifier_weighted_contribution,classifier_shadow_tier,is_contextual,benchmark_specific_features,benchmark_specific_prob_actionable_sell,benchmark_specific_tier,feature_set,reporting_only
baseline_shadow,,BND,0.9195106788036906,0.2551461801506421,156,0.1496966124647101,0.038194518851861786,HIGH,False,pb_ratio|npw_per_pif_yoy|mortgage_spread_30y_10y|motor_vehicle_ins_cpi_yoy|combined_ratio_ttm|npw_growth_yoy|roe|credit_spread_hy|excess_bond_premium_proxy|real_yield_change_6m|npw_vs_npe_spread_pct|mom_6m,0.8969867170623829,HIGH,,
baseline_shadow,,DBC,0.9792777469587319,0.5845999471817157,168,0.14480067122032883,0.08465046474728122,LOW,True,combined_ratio_ttm|underwriting_margin_ttm|real_yield_change_6m|rate_adequacy_gap_yoy|baa10y_spread|commodity_equity_momentum|npw_per_pif_yoy|real_rate_10y|ppi_auto_ins_yoy|npw_growth_yoy|investment_income_growth_yoy|credit_spread_hy,0.9442947152576808,HIGH,,
baseline_shadow,,GLD,0.9273332091218652,0.49404798931779914,180,0.14114549328580475,0.06973264715912075,LOW,True,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.49404798931779914,LOW,,
baseline_shadow,,VDE,0.8910097388006127,0.39933580790552553,186,0.12200699500506562,0.0487217619204733,MODERATE,True,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.39933580790552553,MODERATE,,
baseline_shadow,,VGT,0.7197117597926596,0.5174305283507143,192,0.0,0.0,LOW,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.5174305283507143,LOW,,
baseline_shadow,,VIG,0.869686027688189,0.5437980847161913,162,0.0,0.0,LOW,False,pb_ratio|wti_return_3m|monthly_combined_ratio_delta|real_yield_change_6m|baa10y_spread|yield_curvature|npw_per_pif_yoy|vwo_vxus_spread_6m|underwriting_income_3m|combined_ratio_ttm|mom_3m|commodity_equity_momentum,0.646398157863805,MODERATE,,
baseline_shadow,,VMBS,0.8615979797166873,0.3274335768255601,120,0.1269920269930413,0.04158145362665959,MODERATE,True,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.3274335768255601,MODERATE,,
baseline_shadow,,VOO,0.8104282468397425,0.5725035374155046,114,0.1215988146190886,0.0696157515149604,LOW,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.5725035374155046,LOW,,
baseline_shadow,,VWO,0.8894595526304637,0.4099307426341057,180,0.10000938641196082,0.04099692204223634,LOW,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.4099307426341057,LOW,,
baseline_shadow,,VXUS,0.8557316332138291,0.5935830852980782,108,0.09375,0.05564841424669484,LOW,False,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,0.5935830852980782,LOW,,
