variant,n_benchmarks,consensus,mean_predicted_return,mean_ic,mean_hit_rate,mean_prob_outperform,confidence_tier,weight_mode,score_col,lambda_mix,top_benchmark,top_benchmark_weight,recommendation_mode,recommended_sell_pct,is_live_path
equal_weight,8,NEUTRAL,-0.03256259445754541,0.0904590441100134,0.6534188044984947,0.5,LOW,equal,,0.0,VOO,0.125,DEFER-TO-TAX-DEFAULT,0.5,False
quality_weighted,8,NEUTRAL,-0.03709498559793728,0.11327854086096459,0.6618104415349373,0.5,LOW,shrink_to_equal,nw_ic,0.25,DBC,0.17138523764769575,DEFER-TO-TAX-DEFAULT,0.5,True
