benchmark,predicted_relative_return,prediction_std,signal_to_noise,ic,hit_rate,signal,prob_outperform,confidence_tier,calibrated_prob_outperform,ci_lower,ci_upper,ci_width,ci_empirical_coverage,ci_n_calibration,ci_trailing_empirical_coverage,ci_trailing_coverage_gap,ci_trailing_n,classifier_raw_prob_actionable_sell,classifier_prob_actionable_sell,classifier_history_obs,classifier_shadow_tier,classifier_weight,classifier_weighted_contribution,benchmark_role
VOO,0.030449391414692814,0.0,0.0,-0.09700637637753454,0.5175438596491228,NEUTRAL,0.5,LOW,0.64838986871544,-0.21841566511433935,0.27931444794372495,0.4977301130580643,0.8859649122807017,114,0.6666666666666666,-0.13333333333333341,12,0.8022693011836748,0.5887699333928761,114,LOW,0.09375,0.05519718125558214,Buy candidate
VXUS,-0.035100857963417796,0.0,0.0,-0.04575794004267092,0.6574074074074074,NEUTRAL,0.5,LOW,0.7599526154371562,-0.32567409471014275,0.2554723787833072,0.5811464734934499,0.8888888888888888,108,0.6666666666666666,-0.13333333333333341,12,0.7873591195713275,0.5898904180446738,108,LOW,0.09375,0.05530222669168817,Buy candidate
VWO,-0.039818033217421264,0.0,0.0,0.03649117312314439,0.6305555555555555,NEUTRAL,0.5,LOW,0.8564963378221656,-0.2869206827888552,0.20728461635401263,0.4942052991428678,0.8666666666666667,180,0.6666666666666666,-0.13333333333333341,12,0.8786284932520433,0.38897916331646953,180,MODERATE,0.09601746874570495,0.03734879465646958,Buy candidate
VMBS,0.0240213903127435,0.0,0.0,0.13211311406217857,0.7619047619047619,OUTPERFORM,0.5,LOW,0.693725181594127,-0.18698962486339282,0.23503240548887983,0.42202203035227265,0.8571428571428571,126,0.5833333333333334,-0.21666666666666667,12,0.8331619863054055,0.27612393861206797,126,HIGH,0.13132790502881428,0.03626277838622781,Forecast only
BND,0.03367897439186082,0.0,0.0,0.1864114683679699,0.7243589743589743,OUTPERFORM,0.5,LOW,0.7386850567630846,-0.17629108872005655,0.2436490375037782,0.41994012622383475,0.8589743589743589,156,0.75,-0.050000000000000044,12,0.915583693100138,0.2472739495516535,156,HIGH,0.13832730479454033,0.03420473898738136,Buy candidate
GLD,-0.02536896470304276,0.0,0.0,0.18162685392578642,0.6021505376344086,UNDERPERFORM,0.5,LOW,0.6066120820408636,-0.38924598003973265,0.3385080506336471,0.7277540306733797,0.9354838709677419,186,0.5,-0.30000000000000004,12,0.8994036959993973,0.4299352018900994,186,LOW,0.1451701642069411,0.06241376385673011,Forecast only
DBC,-0.1121677349472719,0.0,0.0,0.26009249573632326,0.7232142857142857,UNDERPERFORM,0.5,LOW,0.19093649607276275,-0.4627978478194548,0.23846237792491104,0.7012602257443659,0.9702380952380952,168,0.3333333333333333,-0.46666666666666673,12,0.9506512316257898,0.5381181309186494,168,LOW,0.17138523764769575,0.09222550375002657,Forecast only
VDE,-0.1361949209485067,0.0,0.0,0.06970156408491003,0.6102150537634409,UNDERPERFORM,0.5,LOW,0.3527105914754976,-0.45716057977845503,0.18477073788144163,0.6419313176598966,0.8763440860215054,186,0.5,-0.30000000000000004,12,0.8688764077675502,0.3486423332463961,186,MODERATE,0.13027191957630357,0.04541830599756934,Forecast only
