variant,n_benchmarks,consensus,mean_predicted_return,mean_ic,mean_hit_rate,mean_prob_outperform,confidence_tier,weight_mode,score_col,lambda_mix,top_benchmark,top_benchmark_weight,recommendation_mode,recommended_sell_pct,is_live_path
equal_weight,8,NEUTRAL,-0.028963923062541388,0.09072460762167675,0.6336924777220829,0.5,LOW,equal,,0.0,VOO,0.125,DEFER-TO-TAX-DEFAULT,0.5,False
quality_weighted,8,NEUTRAL,-0.026866031730508173,0.10259542670912744,0.6394899265202745,0.5,LOW,shrink_to_equal,nw_ic,0.25,BND,0.1612240802918491,DEFER-TO-TAX-DEFAULT,0.5,True
