path_name,candidate_name,policy_name,consensus,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,aggregate_nw_ic,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow,notes
visible_cross_check,ensemble_ridge_gbt_v18,v21_promoted_cross_check,UNDERPERFORM,DEFER-TO-TAX-DEFAULT,0.5,-0.16253902729713487,0.223182281648366,0.6606449553001277,-0.19226394410286152,0.2280987010602703,False,True,True,v18 assembled stack from the benchmark-side bias-reduction swaps.
simpler_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True,Active recommendation layer remains the simpler diversification-first baseline.
