fold,train_start,train_end,train_obs,test_date,y_true,path_b_prob,path_a_prob,path_a_available_benchmarks,path_a_weight_sum
9,2015-02-27,2020-01-31,60,2021-03-31,1,0.471077019023617,0.2603556141883823,6,1.0
10,2015-08-31,2020-07-31,60,2021-04-30,1,0.9153483055954565,0.5436476267354519,6,1.0
10,2015-08-31,2020-07-31,60,2021-05-31,1,0.7814414099216799,0.5082603137607895,6,1.0
10,2015-08-31,2020-07-31,60,2021-06-30,0,0.6008966893019995,0.41817691375201627,6,1.0
10,2015-08-31,2020-07-31,60,2021-07-30,0,0.6373577823742009,0.45638467743283123,6,1.0
10,2015-08-31,2020-07-31,60,2021-08-31,0,0.3409262754691838,0.3095194287091137,6,1.0
10,2015-08-31,2020-07-31,60,2021-09-30,0,0.1957153038022018,0.25053919094837673,6,1.0
11,2016-02-29,2021-01-29,60,2021-10-29,0,0.10015250258054233,0.21434795008781127,6,1.0
11,2016-02-29,2021-01-29,60,2021-11-30,0,0.04999161825372435,0.19187308667623876,6,1.0
11,2016-02-29,2021-01-29,60,2021-12-31,0,0.03171964279898235,0.18202540010849724,6,1.0
11,2016-02-29,2021-01-29,60,2022-01-31,0,0.043931719753694455,0.18339616143650142,6,1.0
11,2016-02-29,2021-01-29,60,2022-02-28,0,0.012586213708388257,0.16641230444823382,6,1.0
11,2016-02-29,2021-01-29,60,2022-03-31,0,0.011958292504929994,0.16293822206577996,6,1.0
12,2016-08-31,2021-07-30,60,2022-04-29,0,0.05221853289566795,0.17138072185348965,6,1.0
12,2016-08-31,2021-07-30,60,2022-05-31,0,0.019679033890409897,0.15479837781970962,6,1.0
12,2016-08-31,2021-07-30,60,2022-06-30,0,0.04528638340427501,0.15976193602252323,6,1.0
12,2016-08-31,2021-07-30,60,2022-07-29,0,0.014960084210120121,0.14768351607268018,6,1.0
12,2016-08-31,2021-07-30,60,2022-08-31,0,0.022094588271582685,0.1486136039513492,6,1.0
12,2016-08-31,2021-07-30,60,2022-09-30,0,0.018688145511151125,0.14270832907666325,6,1.0
13,2017-02-28,2022-01-31,60,2022-10-31,1,0.040541374247922375,0.14657286116940973,6,1.0
