feature,weighted_importance
combined_ratio_ttm,1.2562749742854638
credit_spread_hy,0.65758874382863
real_yield_change_6m,0.5471512282989571
mom_12m,0.38877692570247413
yield_slope,0.3695936938206587
real_rate_10y,0.3094017131787529
nfci,0.2253388179823318
vix,0.21667376425947882
vol_63d,0.13775609549527934
book_value_per_share_growth_yoy,0.13281705217542472
investment_income_growth_yoy,0.10421975467942146
npw_growth_yoy,0.05003902906398875
