horizon_months,model_name,bvps_model_name,pb_model_name,n_obs,implied_price_mae,implied_price_rmse,directional_hit_rate
6,ridge_bvps_growth__drift_pb,ridge_bvps_growth,drift_pb,174,21.744158837006474,36.28546157645734,0.4367816091954023
6,ridge_bvps_growth__ridge_log_pb,ridge_bvps_growth,ridge_log_pb,174,21.756395475173814,36.52615400864194,0.4367816091954023
6,ridge_bvps_growth__hist_gbt_log_pb,ridge_bvps_growth,hist_gbt_log_pb,174,20.297132829003527,34.40597488136682,0.4540229885057471
6,hist_gbt_bvps_growth__no_change_pb,hist_gbt_bvps_growth,no_change_pb,174,13.057384374445723,25.002895416304078,0.6839080459770115
6,hist_gbt_bvps_growth__drift_pb,hist_gbt_bvps_growth,drift_pb,174,20.972714485414095,34.93167668405084,0.43103448275862066
6,hist_gbt_bvps_growth__ridge_log_pb,hist_gbt_bvps_growth,ridge_log_pb,174,20.917465730374754,34.75707679283722,0.4367816091954023
6,hist_gbt_bvps_growth__hist_gbt_log_pb,hist_gbt_bvps_growth,hist_gbt_log_pb,174,19.28952680387526,32.11877039596483,0.42528735632183906
12,no_change_bvps__no_change_pb,no_change_bvps,no_change_pb,162,20.168024691358028,31.95462545007093,0.14814814814814814
12,no_change_bvps__drift_pb,no_change_bvps,drift_pb,162,32.28496268350156,50.57014115063084,0.30864197530864196
12,no_change_bvps__ridge_log_pb,no_change_bvps,ridge_log_pb,162,33.092558531877685,51.358673651276185,0.2962962962962963
12,no_change_bvps__hist_gbt_log_pb,no_change_bvps,hist_gbt_log_pb,162,32.174715171260026,52.94945642744027,0.3950617283950617
12,drift_bvps_growth__no_change_pb,drift_bvps_growth,no_change_pb,162,16.162572785242705,28.256630436660764,0.7777777777777778
12,drift_bvps_growth__drift_pb,drift_bvps_growth,drift_pb,162,25.72905174381745,43.40481247933407,0.5
12,drift_bvps_growth__ridge_log_pb,drift_bvps_growth,ridge_log_pb,162,26.215158399792465,44.0971617205886,0.4691358024691358
12,drift_bvps_growth__hist_gbt_log_pb,drift_bvps_growth,hist_gbt_log_pb,162,25.788722600176037,46.15215360001662,0.5370370370370371
12,ridge_bvps_growth__no_change_pb,ridge_bvps_growth,no_change_pb,162,16.052971184698123,28.16505731862617,0.7777777777777778
12,ridge_bvps_growth__drift_pb,ridge_bvps_growth,drift_pb,162,25.538370277975446,43.03237280880225,0.5061728395061729
12,ridge_bvps_growth__ridge_log_pb,ridge_bvps_growth,ridge_log_pb,162,26.024551406572698,43.72163722477408,0.4876543209876543
12,ridge_bvps_growth__hist_gbt_log_pb,ridge_bvps_growth,hist_gbt_log_pb,162,25.569554173064784,45.772391112436715,0.5370370370370371
12,hist_gbt_bvps_growth__no_change_pb,hist_gbt_bvps_growth,no_change_pb,162,16.844709453704176,32.032732092441265,0.8271604938271605
12,hist_gbt_bvps_growth__drift_pb,hist_gbt_bvps_growth,drift_pb,162,24.80097620001007,41.013221150737856,0.4691358024691358
12,hist_gbt_bvps_growth__ridge_log_pb,hist_gbt_bvps_growth,ridge_log_pb,162,24.936975476181896,41.50052879949396,0.4506172839506173
12,hist_gbt_bvps_growth__hist_gbt_log_pb,hist_gbt_bvps_growth,hist_gbt_log_pb,162,24.172595540644156,43.239357194335,0.5370370370370371
