horizon_months,model_name,n_obs,fold_count,n_features,pb_mae,pb_rmse,overlay_action_rate,regime_hit_rate,mean_predicted_pb,mean_realized_pb
3,no_change_pb_overlay,180,30,0,0.2874573167194403,0.38554113830012354,0.0,0.37222222222222223,3.316480642786865,3.345329187528053
3,logistic_l2_balanced,180,30,14,0.3296824011025216,0.4324498907762953,0.7166666666666667,0.31666666666666665,3.3201265881904267,3.345329187528053
3,hist_gbt_depth2,180,30,14,0.32745830676924215,0.4435538944243916,0.38333333333333336,0.32222222222222224,3.342484726572213,3.345329187528053
6,no_change_pb_overlay,174,29,0,0.39250836464879596,0.5570526373392389,0.0,0.28735632183908044,3.337893604008928,3.388677117334051
6,logistic_l2_balanced,174,29,14,0.4348667797227773,0.5606927382561514,0.7126436781609196,0.41379310344827586,3.2056453199550674,3.388677117334051
6,hist_gbt_depth2,174,29,14,0.44738121075986725,0.6070576423289538,0.632183908045977,0.3390804597701149,3.3913355141278245,3.388677117334051
