group_label,benchmark,target,feature_set,model_name,n_obs,accuracy,balanced_accuracy,brier_score,log_loss,precision,recall,base_rate,predicted_positive_rate,ece_10,model_family,selected_model,selected_next
pooled_fixed_effects,POOLED,actionable_sell_3pct,lean_baseline,logistic_fixed_effects_balanced,1292,0.6865325077399381,0.5727543522418987,0.2331578796923102,0.7783261687793259,0.3292307692307692,0.36394557823129253,0.22755417956656346,0.2515479876160991,0.1977448697385797,linear_reference,logistic_fixed_effects_balanced,True
pooled_fixed_effects,BND,actionable_sell_3pct,lean_baseline,logistic_fixed_effects_balanced,162,0.7098765432098766,0.540186673580503,0.21801643042272145,0.7450152282090414,0.23529411764705882,0.27586206896551724,0.17901234567901234,0.20987654320987653,0.20537976256804374,linear_reference,logistic_fixed_effects_balanced,True
pooled_fixed_effects,DBC,actionable_sell_3pct,lean_baseline,logistic_fixed_effects_balanced,162,0.691358024691358,0.5827380952380953,0.23327376299133717,0.7997817708704152,0.39473684210526316,0.35714285714285715,0.25925925925925924,0.2345679012345679,0.1989001366823335,linear_reference,logistic_fixed_effects_balanced,True
pooled_fixed_effects,GLD,actionable_sell_3pct,lean_baseline,logistic_fixed_effects_balanced,162,0.5925925925925926,0.4900793650793651,0.29365252749945636,0.9656304409607442,0.21153846153846154,0.3055555555555556,0.2222222222222222,0.32098765432098764,0.3038981534624023,linear_reference,logistic_fixed_effects_balanced,True
pooled_fixed_effects,VDE,actionable_sell_3pct,lean_baseline,logistic_fixed_effects_balanced,162,0.691358024691358,0.6008245877061469,0.23071118882341402,0.767365584259521,0.45,0.391304347826087,0.2839506172839506,0.24691358024691357,0.18497115182814078,linear_reference,logistic_fixed_effects_balanced,True
pooled_fixed_effects,VMBS,actionable_sell_3pct,lean_baseline,logistic_fixed_effects_balanced,162,0.7098765432098766,0.5472285067873304,0.20393641152103137,0.6849476286042716,0.21621621621621623,0.3076923076923077,0.16049382716049382,0.22839506172839505,0.19555963248955086,linear_reference,logistic_fixed_effects_balanced,True
pooled_fixed_effects,VOO,actionable_sell_3pct,lean_baseline,logistic_fixed_effects_balanced,162,0.6728395061728395,0.5986842105263158,0.2483812347434535,0.8240781069031411,0.4444444444444444,0.4166666666666667,0.2962962962962963,0.2777777777777778,0.19781109001307912,linear_reference,logistic_fixed_effects_balanced,True
pooled_fixed_effects,VWO,actionable_sell_3pct,lean_baseline,logistic_fixed_effects_balanced,162,0.7222222222222222,0.6266826923076922,0.22086178377209004,0.7324378823907449,0.3488372093023256,0.46875,0.19753086419753085,0.2654320987654321,0.2132175402814915,linear_reference,logistic_fixed_effects_balanced,True
pooled_fixed_effects,VXUS,actionable_sell_3pct,lean_baseline,logistic_fixed_effects_balanced,158,0.7025316455696202,0.5738675958188153,0.21600619948833616,0.7055559115622314,0.3333333333333333,0.34285714285714286,0.22151898734177214,0.22784810126582278,0.17831719580631034,linear_reference,logistic_fixed_effects_balanced,True
pooled_fixed_effects,POOLED,actionable_sell_3pct,lean_baseline,histgb_depth2,1292,0.6888544891640866,0.48908020121876405,0.22759555632119455,0.7225862082809309,0.2,0.12244897959183673,0.22755417956656346,0.1393188854489164,0.18513148119832282,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,BND,actionable_sell_3pct,lean_baseline,histgb_depth2,162,0.7592592592592593,0.5028519574799066,0.19728729806665476,0.6459955258093414,0.1875,0.10344827586206896,0.17901234567901234,0.09876543209876543,0.19014453114709434,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,DBC,actionable_sell_3pct,lean_baseline,histgb_depth2,162,0.6790123456790124,0.49702380952380953,0.24222911526500732,0.7659047187083791,0.25,0.11904761904761904,0.25925925925925924,0.12345679012345678,0.1840439587928563,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,GLD,actionable_sell_3pct,lean_baseline,histgb_depth2,162,0.6111111111111112,0.4523809523809524,0.26044415819810984,0.7973672842940617,0.15384615384615385,0.16666666666666666,0.2222222222222222,0.24074074074074073,0.24314499308541956,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,VDE,actionable_sell_3pct,lean_baseline,histgb_depth2,162,0.654320987654321,0.48969265367316345,0.25897766727608224,0.809187276567102,0.25,0.10869565217391304,0.2839506172839506,0.12345679012345678,0.19240305787479725,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,VMBS,actionable_sell_3pct,lean_baseline,histgb_depth2,162,0.7777777777777778,0.5254524886877828,0.1778868301913464,0.5965981537252798,0.2222222222222222,0.15384615384615385,0.16049382716049382,0.1111111111111111,0.1777522708984851,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,VOO,actionable_sell_3pct,lean_baseline,histgb_depth2,162,0.6049382716049383,0.46600877192982454,0.26272798432315775,0.813752122533973,0.21428571428571427,0.125,0.2962962962962963,0.1728395061728395,0.20081615918116594,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,VWO,actionable_sell_3pct,lean_baseline,histgb_depth2,162,0.7222222222222222,0.48533653846153846,0.20593330762792467,0.6640125834054618,0.15789473684210525,0.09375,0.19753086419753085,0.11728395061728394,0.1686124603955737,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,VXUS,actionable_sell_3pct,lean_baseline,histgb_depth2,158,0.7025316455696202,0.4921022067363531,0.21496625502127534,0.6869931605183526,0.2,0.11428571428571428,0.22151898734177214,0.12658227848101267,0.15849591390508244,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,POOLED,actionable_sell_3pct,lean_baseline,histgb_depth3,1292,0.6981424148606811,0.52388450370128,0.22187471679564796,0.7174818757138238,0.2777777777777778,0.20408163265306123,0.22755417956656346,0.16718266253869968,0.20212459830656768,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,BND,actionable_sell_3pct,lean_baseline,histgb_depth3,162,0.7222222222222222,0.4937775473165673,0.2083390884166005,0.6692253866788018,0.16666666666666666,0.13793103448275862,0.17901234567901234,0.14814814814814814,0.2303657592693412,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,DBC,actionable_sell_3pct,lean_baseline,histgb_depth3,162,0.691358024691358,0.5285714285714286,0.23172750181518548,0.7841480522761052,0.3333333333333333,0.19047619047619047,0.25925925925925924,0.14814814814814814,0.1830905438434391,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,GLD,actionable_sell_3pct,lean_baseline,histgb_depth3,162,0.6234567901234568,0.4801587301587302,0.26925751160905764,0.8132486536195974,0.1951219512195122,0.2222222222222222,0.2222222222222222,0.25308641975308643,0.2820821528378747,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,VDE,actionable_sell_3pct,lean_baseline,histgb_depth3,162,0.6481481481481481,0.5116191904047976,0.2443210510253613,0.7886897430020613,0.3103448275862069,0.1956521739130435,0.2839506172839506,0.17901234567901234,0.2120168363992953,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,VMBS,actionable_sell_3pct,lean_baseline,histgb_depth3,162,0.7839506172839507,0.5291289592760181,0.17566224910533187,0.5900655617367145,0.23529411764705882,0.15384615384615385,0.16049382716049382,0.10493827160493827,0.183410159352709,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,VOO,actionable_sell_3pct,lean_baseline,histgb_depth3,162,0.6111111111111112,0.49451754385964913,0.2619773131027829,0.8150399479137483,0.2857142857142857,0.20833333333333334,0.2962962962962963,0.21604938271604937,0.20062793525582182,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,VWO,actionable_sell_3pct,lean_baseline,histgb_depth3,162,0.7654320987654321,0.5475961538461538,0.18550929893474025,0.627842392834098,0.3333333333333333,0.1875,0.19753086419753085,0.1111111111111111,0.17855969457263982,nonlinear,logistic_fixed_effects_balanced,False
pooled_fixed_effects,VXUS,actionable_sell_3pct,lean_baseline,histgb_depth3,158,0.740506329113924,0.5880371660859466,0.19760445462347778,0.649927252255429,0.39285714285714285,0.3142857142857143,0.22151898734177214,0.17721518987341772,0.15580166979071905,nonlinear,logistic_fixed_effects_balanced,False
