variant,version,n_total_obs,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio
A_panel_fixed_effects,v48,1292,1292,-1.246479330073727,0.20171425427401027,0.00014485614455098667,0.6346749226006192,0.20828784239689105,0.23581363564829358,0.18122296136609364,1.3012348648906569
B_panel_shared_only,v48,1292,1292,-1.1732024530977716,0.19661880294556047,0.000284742995301915,0.6369969040247678,0.2043622882988701,0.2294556839443916,0.18122296136609364,1.2661512769392487
