variant,n_obs,avg_hold_fraction,mean_policy_return,median_policy_return,cumulative_policy_return,positive_utility_rate,regret_vs_oracle,uplift_vs_sell_all,uplift_vs_sell_50,uplift_vs_hold_all,capture_ratio,hold_fraction_changes,review_months,mean_hold_fraction,defer_rate,sell_all_rate,hold_all_rate,gate_style,threshold,agreement_with_regression_rate,mean_abs_hold_diff_vs_regression,unnecessary_action_rate,action_month_rate,source_version,uplift_vs_regression,changes_vs_regression,promotion_eligible
gemini_veto_0.50,162,0.7253086419753086,0.068089269291367,0.0575854222072723,11.030461625201465,0.7283950617283951,0.0299363233982625,0.068089269291367,0.0270513125060205,-0.0139866442793259,0.6946070655951299,17,162,0.7253086419753086,0.5493827160493827,0.0,0.4506172839506173,veto_regression_sell,0.5,0.9382716049382716,0.0308641975308641,0.0,0.0,v110,0.0005012295128332955,-4,True
gemini_veto_0.55,162,0.7253086419753086,0.068089269291367,0.0575854222072723,11.030461625201465,0.7283950617283951,0.0299363233982625,0.068089269291367,0.0270513125060205,-0.0139866442793259,0.6946070655951299,17,162,0.7253086419753086,0.5493827160493827,0.0,0.4506172839506173,veto_regression_sell,0.55,0.9382716049382716,0.0308641975308641,0.0,0.0,v110,0.0005012295128332955,-4,True
gemini_veto_0.60,162,0.7253086419753086,0.068089269291367,0.0575854222072723,11.030461625201465,0.7283950617283951,0.0299363233982625,0.068089269291367,0.0270513125060205,-0.0139866442793259,0.6946070655951299,17,162,0.7253086419753086,0.5493827160493827,0.0,0.4506172839506173,veto_regression_sell,0.6,0.9382716049382716,0.0308641975308641,0.0,0.0,v110,0.0005012295128332955,-4,True
gemini_veto_0.65,162,0.7253086419753086,0.068089269291367,0.0575854222072723,11.030461625201465,0.7283950617283951,0.0299363233982625,0.068089269291367,0.0270513125060205,-0.0139866442793259,0.6946070655951299,17,162,0.7253086419753086,0.5493827160493827,0.0,0.4506172839506173,veto_regression_sell,0.65,0.9382716049382716,0.0308641975308641,0.0,0.0,v110,0.0005012295128332955,-4,True
gemini_veto_0.70,162,0.7253086419753086,0.068089269291367,0.0575854222072723,11.030461625201465,0.7283950617283951,0.0299363233982625,0.068089269291367,0.0270513125060205,-0.0139866442793259,0.6946070655951299,17,162,0.7253086419753086,0.5493827160493827,0.0,0.4506172839506173,veto_regression_sell,0.7,0.9382716049382716,0.0308641975308641,0.0,0.0,v110,0.0005012295128332955,-4,True
gemini_veto_0.75,162,0.7253086419753086,0.068089269291367,0.0575854222072723,11.030461625201465,0.7283950617283951,0.0299363233982625,0.068089269291367,0.0270513125060205,-0.0139866442793259,0.6946070655951299,17,162,0.7253086419753086,0.5493827160493827,0.0,0.4506172839506173,veto_regression_sell,0.75,0.9382716049382716,0.0308641975308641,0.0,0.0,v110,0.0005012295128332955,-4,True
deviate_from_default_50pct_sell,162,0.7067901234567902,0.0665293793264226,0.0553552429603946,10.777759450880463,0.7283950617283951,0.0314962133632069,0.0665293793264226,0.0254914225410761,-0.0155465342442703,0.6786939767563469,17,162,0.7067901234567902,0.5864197530864198,0.0,0.4135802469135802,target_reformulation,0.7,0.9012345679012346,0.0493827160493827,0.0,0.0,v112,-0.0010586604521111015,-4,False
actionable_hold_3pct,162,0.6450617283950617,0.0633750772544703,0.0520011968424985,10.266762515224196,0.7283950617283951,0.0346505154351592,0.0633750772544703,0.0223371204691238,-0.0187008363162226,0.6465156242934397,15,162,0.6450617283950617,0.7098765432098766,0.0,0.2901234567901234,target_reformulation,0.7,0.7777777777777778,0.1111111111111111,0.0,0.0,v112,-0.0042129625240634044,-6,False
permission_overlay_0.50,162,0.5,0.0410379567853465,0.0461592463485501,6.648148999226132,0.7283950617283951,0.0569876359042831,0.0410379567853465,0.0,-0.0410379567853465,0.4186453318908419,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.5,0.4876543209876543,0.2561728395061728,0.0,0.0,v111,-0.026550082993187202,-20,False
permission_overlay_0.55,162,0.5,0.0410379567853465,0.0461592463485501,6.648148999226132,0.7283950617283951,0.0569876359042831,0.0410379567853465,0.0,-0.0410379567853465,0.4186453318908419,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.55,0.4876543209876543,0.2561728395061728,0.0,0.0,v111,-0.026550082993187202,-20,False
permission_overlay_0.60,162,0.5,0.0410379567853465,0.0461592463485501,6.648148999226132,0.7283950617283951,0.0569876359042831,0.0410379567853465,0.0,-0.0410379567853465,0.4186453318908419,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.6,0.4876543209876543,0.2561728395061728,0.0,0.0,v111,-0.026550082993187202,-20,False
permission_overlay_0.65,162,0.5,0.0410379567853465,0.0461592463485501,6.648148999226132,0.7283950617283951,0.0569876359042831,0.0410379567853465,0.0,-0.0410379567853465,0.4186453318908419,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.65,0.4876543209876543,0.2561728395061728,0.0,0.0,v111,-0.026550082993187202,-20,False
permission_overlay_0.70,162,0.5,0.0410379567853465,0.0461592463485501,6.648148999226132,0.7283950617283951,0.0569876359042831,0.0410379567853465,0.0,-0.0410379567853465,0.4186453318908419,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.7,0.4876543209876543,0.2561728395061728,0.0,0.0,v111,-0.026550082993187202,-20,False
permission_overlay_0.75,162,0.5,0.0410379567853465,0.0461592463485501,6.648148999226132,0.7283950617283951,0.0569876359042831,0.0410379567853465,0.0,-0.0410379567853465,0.4186453318908419,1,162,0.5,1.0,0.0,0.0,permission_to_deviate,0.75,0.4876543209876543,0.2561728395061728,0.0,0.0,v111,-0.026550082993187202,-20,False
actionable_sell_3pct,162,0.5,0.0410379567853465,0.0461592463485501,6.648148999226132,0.7283950617283951,0.0569876359042831,0.0410379567853465,0.0,-0.0410379567853465,0.4186453318908419,1,162,0.5,1.0,0.0,0.0,target_reformulation,0.7,0.4876543209876543,0.2561728395061728,0.0,0.0,v112,-0.026550082993187202,-20,False
