horizon_months,model_name,target_kind,n_obs,fold_count,n_features,target_mae,target_rmse,growth_mae,growth_rmse,future_bvps_mae,future_bvps_rmse,directional_hit_rate,spearman_ic,mean_predicted_growth,mean_realized_growth,target_variant,feature_block
1,no_change_bvps,growth,186,31,0,0.027541312203044576,0.037363264805726104,0.027541312203044576,0.037363264805726104,0.7195698924731183,1.3408294656346043,0.23655913978494625,,0.0,0.009984494206776858,raw,baseline
1,drift_bvps_growth,growth,186,31,0,0.02453083503557744,0.03630330893799383,0.02453083503557744,0.03630330893799383,0.6419204596496533,1.3254844713991771,0.7311827956989247,0.07951843653360821,0.007380239713373652,0.009984494206776858,raw,baseline
1,trailing_3m_growth,growth,186,31,0,0.029470618726674964,0.043844704279225793,0.029470618726674964,0.043844704279225793,0.7783696700024697,1.5793641737645532,0.5913978494623656,-0.0875228969195761,0.012722468201172505,0.009984494206776858,raw,baseline
1,seasonal_month_drift,growth,186,31,0,0.0247413125608073,0.03763702648910089,0.0247413125608073,0.03763702648910089,0.651088721051085,1.3212313776360773,0.7419354838709677,0.062289255367168256,0.014567541157938256,0.009984494206776858,raw,baseline
1,ridge_bridge,growth,186,31,9,0.02467688382759924,0.03636812829983288,0.02467688382759924,0.03636812829983288,0.6432740192085705,1.3306751759513877,0.7258064516129032,0.09644224179328544,0.007087675672661357,0.009984494206776858,raw,bvps_lags
1,elastic_net_bridge,growth,186,31,9,0.030680564078549914,0.04231709973585191,0.030680564078549914,0.04231709973585191,0.8221310319780741,1.5226598827636757,0.5645161290322581,0.06574602893388472,0.0035970007544231398,0.009984494206776858,raw,bvps_lags
1,ridge_bridge,growth,186,31,11,0.0266462219756332,0.04165287469536276,0.0266462219756332,0.04165287469536276,0.7108267591543794,1.4799635885595257,0.6989247311827957,0.09089976642158805,0.005293104237871898,0.009984494206776858,raw,accounting_core
1,elastic_net_bridge,growth,186,31,11,0.030576670860323188,0.046051635292975464,0.030576670860323188,0.046051635292975464,0.7679297203764678,1.5276080834961048,0.6720430107526881,0.23342642280023682,0.009489959056621373,0.009984494206776858,raw,accounting_core
1,ridge_bridge,growth,186,31,6,0.02859176708108388,0.04877706660708292,0.02859176708108388,0.04877706660708292,0.7772158025723155,1.7066442855041029,0.7043010752688172,0.0901482127288579,0.0033850572796417207,0.009984494206776858,raw,logical_interactions
1,elastic_net_bridge,growth,186,31,6,0.023310211067956273,0.03622714193256371,0.023310211067956273,0.03622714193256371,0.5981960411053975,1.3149381094507113,0.7150537634408602,0.31324217092718043,0.012806266397897646,0.009984494206776858,raw,logical_interactions
1,ridge_bridge,growth,186,31,26,0.032334756972000424,0.0672469875745273,0.032334756972000424,0.0672469875745273,0.8964991521339445,2.2949694391779194,0.6935483870967742,0.11654583684944216,-0.0004782829277858477,0.009984494206776858,raw,bridge_combined
1,elastic_net_bridge,growth,186,31,26,0.8743774047048046,5.1615889945927576,0.8743774047048046,5.1615889945927576,28.74744407516738,172.34367294384694,0.6075268817204301,0.06805104224459062,-0.8323531378248694,0.009984494206776858,raw,bridge_combined
1,no_change_bvps,growth,186,31,0,0.0316438386992855,0.04701649596779897,0.0316438386992855,0.04701649596779897,0.8731413978494622,1.8919341673257621,0.20430107526881722,,0.0,0.017982739423810127,adjusted,baseline
1,drift_bvps_growth,growth,186,31,0,0.026366490533333994,0.04390486733709109,0.026366490533333994,0.04390486733709109,0.7474651823831092,1.8097850745537292,0.7526881720430108,0.04283225935204632,0.014207648568345452,0.017982739423810127,adjusted,baseline
1,trailing_3m_growth,growth,186,31,0,0.028679838642395376,0.046091367408729676,0.028679838642395376,0.046091367408729676,0.8145834668871299,1.8601621906530794,0.7311827956989247,0.04166797420499645,0.01975586725657769,0.017982739423810127,adjusted,baseline
1,seasonal_month_drift,growth,186,31,0,0.02782452349855916,0.045117418702582575,0.02782452349855916,0.045117418702582575,0.7780202754464866,1.8299552459187132,0.7741935483870968,0.018225540571126873,0.01780405025645324,0.017982739423810127,adjusted,baseline
1,ridge_bridge,growth,186,31,9,0.026387597983766845,0.04368991804366243,0.026387597983766845,0.04368991804366243,0.7450204214097705,1.790952355096119,0.7473118279569892,0.03863974376308342,0.014289631632778443,0.017982739423810127,adjusted,bvps_lags
1,elastic_net_bridge,growth,186,31,9,0.0335929349074589,0.048022014828320685,0.0335929349074589,0.048022014828320685,0.9597898277319193,1.8589004052573506,0.6182795698924731,-0.02470709453631655,0.011063365098840589,0.017982739423810127,adjusted,bvps_lags
1,ridge_bridge,growth,186,31,11,0.037601402935875806,0.08887649918789593,0.037601402935875806,0.08887649918789593,1.115673550046364,3.118543332911984,0.7419354838709677,0.020632293497568635,0.0030057672229964645,0.017982739423810127,adjusted,accounting_core
