benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,version,optimal_alpha
VOO,90,-0.16856579023103424,0.05110919043503313,0.6715644771363063,0.5888888888888889,0.12902171315006167,0.037026274671998406,0.14050345209057455,0.26352572923354,v38,0.5
VXUS,90,-0.16489265173964673,0.2413055109684323,0.11103065984188261,0.8,0.1372290837831424,0.030455318409679962,0.14675117094697657,0.20753032642365718,v38,0.5
VWO,156,-0.16290970648725378,0.22873038200755474,0.01842449127701332,0.6730769230769231,0.13471349090016477,0.03553166617528964,0.14911748011836,0.23827968489734974,v38,0.5
VMBS,102,-0.4132406131959683,0.09046598549061075,0.605175697556709,0.8529411764705882,0.12434743450805887,0.04093068725787637,0.12987879858984758,0.3151452562102454,v38,0.5
BND,132,-0.24105354782235855,0.2628343934089213,0.039376689777510056,0.7954545454545454,0.11601960001389601,0.0381963564759884,0.12861369547757887,0.2969851409226255,v38,0.5
GLD,162,-0.37902893552989614,0.08810674028065332,0.5170500092036261,0.6049382716049383,0.1496910638045882,0.06920875497743881,0.15995467853943457,0.43267727839780795,v38,0.5
DBC,150,-0.10202149751749312,0.06669274189963999,0.574885707532583,0.7266666666666667,0.15973758924193399,0.06214881337048932,0.18087763888155986,0.3435958903200017,v38,0.5
VDE,162,-0.02385536195540916,0.15355488094885267,0.23885821054578238,0.6296296296296297,0.16927792296336774,0.07519231903673929,0.2134771261034729,0.35222658468942186,v38,0.5
POOLED,1044,-0.13097214770534205,0.15794357451137675,0.001145970884802599,0.7001915708812261,0.14234627975935757,0.056009776471460986,0.1635004646326896,0.342566466690411,v38,0.5
